_id,substance_label
2004-000254-23-DK,Orlistat
2004-000280-99-CZ,Imidapril
2004-000282-35-IT,Bevacizumab / Interferon alfa-2a
2004-000288-89-ES,Roflumilast
2004-000290-58-ES,Lacosamide
2004-000304-41-SE,Tacrolimus
2004-000305-21-LT,Amlodipine
2004-000306-46-IT,Tacrolimus
2004-000311-26-IT,Pioglitazone
2004-000312-93-BE,Glipizide / Metformin / Pioglitazone
2004-000315-26-HU,Bevacizumab
2004-000320-32-AT,Citalopram / Escitalopram
2004-000326-70-CZ,Paliperidone
2004-000327-15-BE,Becatecarin / Calcium / Fluorouracil
2004-000329-31-IT,Cisplatin
2004-000330-36-ES,Gefitinib
2004-000333-10-GB,Levobupivacaine / Lidocaine / Ropivacaine
2004-000336-81-IT,Fosamprenavir
2004-000337-12-HU,Interferon beta-1a
2004-000345-38-SE,Alitretinoin
2004-000346-21-HU,Tedisamil
2004-000347-14-BE,Glibenclamide / Tesaglitazar
2004-000348-25-IT,Tesaglitazar
2004-000349-40-IT,Exenatide / Insulin glargine
2004-000350-24-IT,Metformin / Tesaglitazar
2004-000352-16-ES,Clopidogrel
2004-000353-38-CZ,Girentuximab
2004-000354-22-IE,Amlodipine / Atorvastatin
2004-000356-17-FI,Somatropin
2004-000358-21-BE,Gefitinib
2004-000359-41-SE,Warfarin
2004-000363-10-ES,Daclizumab / Mycophenolate mofetil / Sirolimus / Tacrolimus
2004-000365-35-ES,Voriconazole
2004-000367-98-DK,Eltrombopag
2004-000369-37-HU,Ondansetron
2004-000370-31-BE,Ondansetron
2004-000371-34-CZ,Aprepitant / Dexamethasone / Ondansetron
2004-000376-14-IT,Metformin
2004-000379-32-ES,Vandetanib
2004-000383-27-SE,Robalzotan
2004-000384-10-FR,Anastrozole / Bicalutamide
2004-000394-60-DK,Pridopidine
2004-000397-31-DE,Diphtheria toxoid / Paracetamol / Penetratin / Tetanus toxoid
2004-000404-40-ES,Moxifloxacin hydrochloride
2004-000405-22-GB,Bleomycin / Carboplatin / Cisplatin / Etoposide / Vincristine
2004-000408-41-IT,Taribavirin hydrochloride
2004-000411-25-IT,Cetuximab
2004-000414-39-FI,Buprenorphine
2004-000415-26-ES,Rostafuroxin
2004-000417-18-GB,Peginterferon alfa-2a
2004-000424-32-BE,Caspofungin
2004-000432-85-CZ,Alitretinoin
2004-000438-35-DK,Teduglutide
2004-000439-27-DK,Teduglutide
2004-000440-24-SE,Chlorambucil
2004-000442-21-HU,Furosemide
2004-000443-17-ES,Lamivudine / Telbivudine
2004-000446-20-IE,Lopinavir / Zidovudine
2004-000448-26-GB,Itopride
2004-000452-16-ES,Tolvaptan
2004-000457-34-AT,Mycophenolate mofetil / Sirolimus / Tacrolimus
2004-000462-13-HU,Glatiramer acetate
2004-000463-94-HU,Glatiramer acetate
2004-000464-28-BE,Ganciclovir
2004-000472-14-ES,Esmirtazapine
2004-000476-13-ES,Fesoterodine
2004-000478-30-BE,Bosentan
2004-000480-10-HU,Etoposide / Ifosfamide / Mitoxantrone / Pixantrone / Vinorelbine
2004-000482-35-LT,Rosiglitazone
2004-000483-27-ES,Eslicarbazepine
2004-000485-13-BE,Risedronic acid
2004-000486-35-GB,Risedronate sodium / Risedronic acid
2004-000487-27-HU,Diclofenac sodium / Etoricoxib / Paracetamol
2004-000488-83-IT,Peginterferon alfa-2b / Ribavirin
2004-000492-33-LV,Pantoprazole
2004-000493-32-SK,Pantoprazole
2004-000495-14-IT,Gefitinib
2004-000499-16-FI,Metronidazole
2004-000502-40-GB,Methylphenidate hydrochloride
2004-000506-52-BE,Olmesartan medoxomil
2004-000507-17-IT,Rivastigmine
2004-000509-24-AT,Pamidronate disodium / Zoledronic acid
2004-000511-25-BE,Zoledronic acid
2004-000512-17-CZ,Denosumab
2004-000514-38-IE,Insulin aspart / Insulin detemir
2004-000520-32-ES,Basiliximab / Mycophenolate mofetil / Tacrolimus
2004-000530-37-LT,Onercept
2004-000532-85-GB,Enfuvirtide
2004-000535-29-BE,Onercept
2004-000537-11-DE,Human immunoglobulin g
2004-000540-24-IE,Gliclazide / Vildagliptin
2004-000541-38-IT,Everolimus
2004-000542-20-SK,Gliclazide / Vildagliptin
2004-000551-42-FI,Lacosamide
2004-000555-42-DK,Teriflunomide
2004-000557-35-GB,Ralfinamide
2004-000558-22-ES,Peginterferon alfa-2b / Ribavirin
2004-000562-13-LV,Venlafaxine
2004-000563-96-SE,Etanercept / Methotrexate
2004-000564-28-BE,Erlotinib
2004-000565-34-IT,Bortezomib / Melphalan / Prednisone / Thalidomide
2004-000566-12-SE,Disufenton sodium
2004-000573-54-FI,Exenatide
2004-000576-13-GB,Montelukast
2004-000577-65-FI,Exenatide
2004-000580-10-FI,Tadalafil
2004-000587-26-DE,Ciclosporin / Mycophenolate mofetil
2004-000589-11-HU,Carbamazepine / Olanzapine
2004-000592-33-IT,Defibrotide
2004-000593-32-DE,Desmopressin
2004-000596-34-IT,Mycophenolic acid
2004-000597-31-IT,Deferasirox
2004-000602-44-ES,Capecitabine / Vinorelbine
2004-000603-18-IT,Ubidecarenone
2004-000608-42-ES,Zoledronic acid
2004-000610-39-LT,Odiparcil / Warfarin
2004-000611-25-HU,Mesalazine
2004-000612-54-SE,Acetylsalicylic acid / Celecoxib
2004-000614-39-IT,Montelukast
2004-000616-70-BE,Insulin glargine / Insulin glulisine / Insulin human / Insulin lispro
2004-000617-19-HU,Docetaxel / Doxorubicin
2004-000618-38-GB,Capecitabine
2004-000625-30-ES,Nitric oxide / Oxygen
2004-000629-32-SI,Bevacizumab
2004-000631-28-IT,Bosentan
2004-000632-82-IT,Bosentan
2004-000638-35-ES,Zoledronic acid
2004-000642-21-IE,Recombinant human n-acetylgalactosamine-6-sulfatase
2004-000644-25-SK,Mecasermin
2004-000646-20-SE,Eculizumab
2004-000647-24-DK,Doxorubicin
2004-000649-39-SE,Cetuximab
2004-000654-23-BE,Dacarbazine / Temozolomide
2004-000658-22-GB,Alteplase / Dornase alfa
2004-000663-99-CZ,Dimethyl fumarate
2004-000664-27-ES,Fingolimod hydrochloride
2004-000665-35-ES,Capecitabine / Vinorelbine
2004-000669-36-IT,Melphalan / Prednisone
2004-000671-34-IE,Amlodipine / Valsartan
2004-000673-57-AT,Epoetin beta / Epoetin omega
2004-000675-34-ES,Eptotermin alfa
2004-000676-13-SK,Epoetin omega
2004-000677-62-LV,Amlodipine / Valsartan
2004-000678-30-CZ,Epoetin beta / Epoetin omega
2004-000679-32-FI,Budesonide / Formoterol
2004-000686-35-FI,Licarbazepine
2004-000687-27-SK,Licarbazepine
2004-000691-13-ES,Cyanocobalamin / Dexamethasone / Doxorubicin / Folic acid / Pemetrexed
2004-000700-41-BE,Methyl aminolevulinate hydrochloride
2004-000701-21-AT,Everolimus / Letrozole
2004-000703-18-ES,Eprosartan mesylate / Hydrochlorothiazide / Moxonidine / Ramipril
2004-000707-18-IT,Bifeprunox
2004-000711-26-IT,Iodixanol / Iomeprol
2004-000715-26-HU,Bevacizumab / Capecitabine / Oxaliplatin
2004-000718-37-CZ,Beclomethasone dipropionate / Formoterol
2004-000722-69-ES,Carboplatin / Gemcitabine / Paclitaxel
2004-000723-15-AT,Catumaxomab
2004-000725-30-GB,Dacarbazine / Sorafenib
2004-000726-78-ES,Eflornithine
2004-000727-15-HU,Exemestane / Fulvestrant
2004-000730-37-CZ,Methylphenidate hydrochloride
2004-000731-28-AT,Cisplatin / Poskine
2004-000733-12-CZ,Mesalamine
2004-000734-36-CZ,Mesalamine
2004-000738-34-DE,Cefuroxime / Telithromycin
2004-000745-37-ES,Bosentan
2004-000746-20-PT,Nebivolol
2004-000748-26-ES,Capecitabine / Trastuzumab / Vinorelbine
2004-000750-22-DE,Quetiapine fumarate
2004-000751-42-DE,Quetiapine fumarate
2004-000752-17-AT,Docetaxel / Paclitaxel / Trastuzumab
2004-000753-30-ES,Capecitabine / Vinorelbine
2004-000754-24-GB,Abacavir sulfate / Lamivudine / Zidovudine
2004-000755-41-CZ,Formoterol
2004-000759-40-IT,Glatiramer acetate
2004-000762-13-IT,Glatiramer acetate
2004-000771-34-ES,Rupatadine
2004-000772-14-CZ,Agalsidase alfa
2004-000773-60-LV,Glycyrrhizin
2004-000774-31-DE,Capecitabine / Indisulam
2004-000775-34-EE,Atorvastatin
2004-000782-35-IT,Mycophenolic acid
2004-000786-35-IT,Lopinavir / Tenofovir disoproxil
2004-000789-11-DE,Awd-12-281
2004-000795-14-LV,Meropenem
2004-000798-71-GB,Levetiracetam
2004-000803-17-LT,Methylprednisolone
2004-000804-41-HU,Cisplatin / Paclitaxel / Pegfilgrastim
2004-000805-23-IT,Levofloxacin
2004-000806-39-HU,Cyclophosphamide / Epirubicin / Fluorouracil / Pegfilgrastim
2004-000808-40-LT,Goserelin
2004-000811-24-DK,Estradiol
2004-000815-25-ES,Pemetrexed
2004-000816-24-ES,Lamivudine / Lopinavir / Ritonavir / Zidovudine
2004-000817-20-LT,Entacapone / Istradefylline
2004-000820-34-PT,Peginterferon alfa-2b / Ribavirin
2004-000821-31-AT,Ethinyl estradiol / Gestodene / Norelgestromin
2004-000822-58-ES,Clopidogrel
2004-000825-31-HU,Ciclesonide / Fluticasone
2004-000827-13-BE,Cefepime hydrochloride / Linezolid / Vancomycin
2004-000829-30-IT,Fluvastatin / Valsartan
2004-000830-35-IT,Risperidone
2004-000833-12-ES,Safinamide
2004-000835-27-IT,Safinamide
2004-000843-61-IT,Diclofenac / Ketoprofen
2004-000848-24-ES,Talnetant
2004-000849-38-GB,Everolimus / Letrozole
2004-000850-22-IT,Naproxen / Paracetamol
2004-000860-28-AT,Bendamustine / Chlorambucil
2004-000864-29-HU,Bevacizumab
2004-000866-11-IT,Dextromethorphan / Pholcodine
2004-000867-92-DE,Pioglitazone
2004-000870-29-IT,Quetiapine / Risperidone
2004-000871-33-CZ,Propiverine
2004-000874-30-IT,Hydroxyurea
2004-000876-14-ES,Metindizate / Torsemide
2004-000877-80-CZ,Dexamethasone / Gentamicin sulfate / Oxytetracycline
2004-000881-10-LT,Imatinib
2004-000894-67-SE,Teriparatide
2004-000895-16-SK,Aliskiren / Losartan
2004-000903-17-BE,Aripiprazole
2004-000904-41-CZ,Heparin / Otamixaban
2004-000905-24-IE,Salicylic acid
2004-000912-13-EE,Quetiapine / Quetiapine fumarate
2004-000913-21-FI,Quetiapine
2004-000914-37-GB,Melatonin
2004-000915-25-LT,Lithium carbonate / Quetiapine fumarate
2004-000916-25-IT,Mesalazine
2004-000922-59-ES,Abatacept / Infliximab
2004-000929-30-IT,Mepolizumab
2004-000930-35-BE,Mepolizumab
2004-000933-12-ES,Pheneridine
2004-000935-27-CZ,Sirolimus
2004-000940-26-AT,Pimecrolimus
2004-000944-26-BE,Dexamethasone / Doxorubicin hydrochloride / Filgrastim / Melphalan / Thalidomide / Vincristine sulfate
2004-000948-25-ES,Abacavir / Lamivudine / Lopinavir / Nevirapine / Ritonavir / Tenofovir
2004-000953-46-LT,Gadodiamide
2004-000954-22-LV,Pregabalin
2004-000955-40-LV,Gamma-aminobutyric acid
2004-000957-47-SI,Bisoprolol / Carvedilol
2004-000959-42-FI,Atorvastatin / Ezetimibe / Rosuvastatin
2004-000960-28-IT,Lacosamide
2004-000962-11-CZ,Anastrozole / Vinorelbine
2004-000963-81-BE,Vinorelbine
2004-000966-10-IT,Chlorthalidone / Irbesartan / Losartan / Telmisartan / Valsartan
2004-000972-15-DK,Isotretinoin
2004-000973-69-SE,Sirolimus
2004-000975-32-CZ,Brivaracetam
2004-000983-29-SE,Epoetin beta
2004-000984-81-SE,Vernakalant hydrochloride
2004-000985-12-ES,Rosiglitazone
2004-000990-78-FI,Escitalopram
2004-000994-69-BE,Gadodiamide
2004-000996-33-DK,Tolterodine
2004-001000-12-SK,Capsaicin
2004-001010-13-DK,Escitalopram
2004-001020-20-IE,Dexamethasone / Ondansetron
2004-001021-22-FI,Ondansetron / Vestipitant
2004-001033-41-IT,Tadalafil
2004-001035-32-IT,Cyclophosphamide / Fludarabine / Thiotepa
2004-001036-23-SE,Pimecrolimus
2004-001041-15-LV,Ocaperidone / Olanzapine
2004-001043-30-IT,Gimatecan
2004-001044-72-IT,Cisplatin / Docetaxel / Gemcitabine
2004-001052-36-IT,Everolimus / Mycophenolic acid
2004-001054-84-GB,Cholestyramine
2004-001056-36-ES,Ziprasidone
2004-001060-50-HU,Aliskiren / Hydrochlorothiazide / Lisinopril
2004-001061-17-BE,Aliskiren / Hydrochlorothiazide / Ramipril
2004-001062-40-DE,Aliskiren / Ramipril
2004-001065-18-ES,Roflumilast
2004-001069-17-LT,Codeine / Propyphenazone
2004-001072-39-DE,Ciclesonide / Fluticasone
2004-001075-20-LT,Tacrolimus
2004-001086-17-GB,Isopropyl alcohol
2004-001090-25-CZ,Ranolazine
2004-001091-40-FI,Octreotide acetate
2004-001098-25-ES,Acetylcysteine
2004-001100-12-HU,Tesofensine
2004-001101-10-BE,Zoledronic acid
2004-001103-35-DK,Exemestane
2004-001105-96-HU,Cetuximab
2004-001107-36-BE,Budesonide
2004-001108-11-DE,Soblidotin
2004-001109-81-CZ,Beclomethasone dipropionate
2004-001113-33-BE,Etanercept / Infliximab
2004-001114-14-IT,Levocarnitine
2004-001116-31-ES,Tolterodine tartrate
2004-001118-15-ES,Bocodepsin
2004-001125-20-IT,Etoposide
2004-001126-24-BE,Gemcitabine / Oxaliplatin
2004-001128-19-DK,Enoxaparin sodium / Warfarin
2004-001130-16-ES,Rupatadine
2004-001132-23-IT,Celecoxib / Lumiracoxib
2004-001144-71-ES,Glibenclamide / Gliclazide / Glimepiride / Tesaglitazar
2004-001150-88-ES,Ramipril / Zofenopril
2004-001154-86-LV,Darbepoetin alfa
2004-001155-11-BE,Osi-7904
2004-001156-37-CZ,Ezetimibe / Simvastatin
2004-001159-12-IT,Capecitabine / Irinotecan / Oxaliplatin
2004-001162-40-IT,Donepezil
2004-001164-41-SE,Somatropin
2004-001168-28-HU,Budesonide / Formoterol
2004-001174-25-IE,Galantamine / Trimipramine maleate
2004-001177-25-HU,Doxorubicin
2004-001178-13-CZ,Bortezomib
2004-001179-21-CZ,Insulin human
2004-001181-41-CZ,Aripiprazole
2004-001182-18-DK,Alvimopan
2004-001183-41-CZ,Budesonide / Formoterol
2004-001187-52-LV,Pheneridine
2004-001190-25-DK,Pegvisomant
2004-001197-10-HU,Hydrochlorothiazide / Valsartan
2004-001199-37-ES,Cyclophosphamide / Doxorubicin / Prednisone / Vincristine
2004-001200-12-BE,Aztreonam / Linezolid / Metronidazole / Vancomycin
2004-001201-10-ES,Fentanyl / Morphine
2004-001205-99-IT,Mycophenolic acid / Tacrolimus
2004-001210-13-AT,Iomeprol
2004-001213-34-CZ,Budesonide / Mesalazine
2004-001216-31-SK,Mesalazine
2004-001218-15-DE,Mesalazine
2004-001220-20-IT,Peginterferon alfa-2b / Ribavirin
2004-001222-25-SE,Testosterone
2004-001223-37-ES,Troxolamide
2004-001224-21-ES,Enfuvirtide
2004-001225-16-AT,Dobutamine / Levosimendan
2004-001234-17-BE,Celecoxib / Diclofenac sodium / Omeprazole
2004-001236-23-FI,Efalizumab
2004-001239-42-CZ,Ketoprofen
2004-001241-14-DE,Ethylene / Titanium dioxide
2004-001243-30-SK,Propiverine
2004-001246-33-IT,Ritonavir
2004-001249-14-ES,Troxolamide
2004-001252-36-DE,Delapril / Hydrochlorothiazide / Losartan / Manidipine 6300
2004-001258-94-DE,Insulin human
2004-001262-40-ES,Imiquimod
2004-001263-22-EE,Cyclophosphamide / Epirubicin / Tesmilifene
2004-001264-45-BE,Gaboxadol
2004-001265-18-BE,Gaboxadol
2004-001270-77-ES,Valsartan
2004-001272-39-ES,Doxorubicin
2004-001273-26-ES,Pimecrolimus
2004-001277-25-ES,Ribavirin / Thymosin
2004-001285-40-BE,Ropivacaine / Sufentanil
2004-001286-17-PT,Mitoxantrone
2004-001287-49-CZ,Insulin aspart / Insulin glargine / Insulin glulisine / Insulin human
2004-001290-25-AT,Everolimus / Mycophenolic acid
2004-001298-24-ES,Epoetin beta
2004-001301-10-IT,Pegaptanib sodium
2004-001302-27-HU,Levetiracetam
2004-001307-35-GB,Follitropin alfa / Menotropins
2004-001308-11-ES,Olanzapine
2004-001317-34-FI,Dabigatran etexilate / Enoxaparin sodium
2004-001321-25-IT,Piperacillin / Tazobactam
2004-001323-37-ES,Lopinavir / Ritonavir
2004-001331-36-IT,Gefitinib
2004-001332-23-BE,Cisplatin / Gefitinib / Gemcitabine
2004-001336-22-SE,Pheneridine
2004-001339-41-BE,Carbamazepine / Levetiracetam / Valproate sodium
2004-001341-14-ES,Rivaroxaban
2004-001346-33-ES,Adefovir dipivoxil
2004-001347-29-DK,Oxaliplatin / Tegafur
2004-001349-14-DE,Paclitaxel
2004-001356-37-DK,Cisplatin / Combretastatin
2004-001362-40-IT,Imatinib
2004-001363-22-CZ,Glufosfamide
2004-001369-17-ES,Letrozole / Zoledronic acid
2004-001373-26-ES,Dexketoprofen / Ketorolac
2004-001376-39-CZ,Asenapine / Olanzapine
2004-001383-46-SE,Rivastigmine
2004-001388-23-DK,Icodextrin / Sodium bicarbonate / Sodium lactate
2004-001390-26-DE,Icodextrin / Sodium acetate / Sodium bicarbonate / Sodium lactate
2004-001396-19-GB,Imatinib
2004-001397-92-GB,Imatinib
2004-001403-35-ES,Stavudine
2004-001404-12-ES,Methylphenidate
2004-001412-30-HU,Azithromycin / Cefuroxime axetil / Telithromycin
2004-001413-34-ES,Somatropin
2004-001417-33-FI,Darbepoetin alfa / Iron sucrose
2004-001426-24-HU,Melphalan / Thalidomide
2004-001449-13-HU,Filgrastim
2004-001450-84-HU,Filgrastim
2004-001452-36-HU,Filgrastim
2004-001453-28-AT,Ranibizumab / Verteporfin
2004-001456-36-IT,Capecitabine / Lapatinib
2004-001458-10-GB,Estradiol
2004-001460-42-DE,Amoxicillin / Clavulanic acid / Telithromycin
2004-001461-18-ES,Insulin detemir / Isoprazone
2004-001473-25-BE,Everolimus
2004-001474-12-GB,Fluticasone propionate / Prednisolone
2004-001482-17-LT,Olanzapine / Valproic acid
2004-001483-51-AT,Nilotinib
2004-001485-41-AT,Cabergoline / Carbidopa / Ioflupane / Levodopa
2004-001487-43-GB,Ascorbic acid / Citric acid / Magnesium / Potassium chloride / Sodium ascorbate / Sodium picosulfate / Sodium sulfate anhydrous
2004-001490-26-EE,Dipyridamole
2004-001491-39-BE,Caspofungin / Micafungin
2004-001496-20-ES,Carboplatin
2004-001497-13-IT,Azithromycin
2004-001500-13-SE,Pregabalin / Venlafaxine hydrochloride
2004-001503-36-ES,Lutropin alfa
2004-001507-35-HU,Azacitidine
2004-001511-54-IE,Dicloxacillin / Linezolid / Oxacillin / Vancomycin
2004-001518-15-DK,Somatropin
2004-001529-88-AT,Alprostadil / Epoprostenol sodium
2004-001540-71-SE,Icatibant acetate / Tranexamic acid
2004-001545-15-IE,Testosterone
2004-001546-32-FI,Glimepiride
2004-001548-60-HU,Ibandronic acid
2004-001549-13-IT,Vardenafil
2004-001551-11-SE,Iloprost
2004-001552-37-GB,Levonorgestrel
2004-001557-29-BE,Insulin glargine / Insulin human / Insulin lispro
2004-001558-10-PL,Bleomycin / Cyclophosphamide / Dacarbazine / Doxorubicin / Etoposide / Prednisone / Procarbazine / Vinblastine / Vincristine
2004-001562-41-ES,Arzoxifene
2004-001563-21-ES,Epratuzumab
2004-001580-22-DE,Ezetimibe
2004-001583-52-SE,Atropine sulfate / Glycopyrronium / Remifentanil
2004-001586-18-GB,Celecoxib / Diclofenac sodium
2004-001588-22-IT,Buprenorphine
2004-001589-42-AT,Lisuride
2004-001590-26-IT,Lamivudine
2004-001593-10-IT,Sarizotan hydrochloride
2004-001594-25-AT,Sarizotan hydrochloride
2004-001607-35-GB,Nicotine / Varenicline tartrate
2004-001608-11-GB,Lanthanum carbonate / Sevelamer
2004-001609-89-AT,Doripenem / Imipenem
2004-001610-14-AT,Gelatin / Hydroxyethyl starch 130|0.4
2004-001613-34-CZ,Dienogest / Ethinyl estradiol / Levonorgestrel
2004-001614-13-DE,Dienogest / Ethinyl estradiol / Levonorgestrel
2004-001616-31-IT,Olmesartan medoxomil / Ramipril
2004-001617-34-BE,Daclizumab / Mycophenolate mofetil / Tacrolimus
2004-001620-21-FI,Fentanyl citrate
2004-001621-16-CZ,Rituximab
2004-001622-24-IE,Imatinib / Peginterferon alfa-2a
2004-001633-42-GB,Amoxicillin / Clarithromycin / Lansoprazole
2004-001637-41-BE,Paracetamol / Pseudoephedrine
2004-001644-80-HU,Tacrolimus
2004-001646-32-ES,Abacavir / Lamivudine / Tenofovir / Zidovudine
2004-001647-30-IT,Asparaginase / Cyclophosphamide / Cytarabine / Daunorubicin / Dexamethasone / Etoposide / Ifosfamide / Imatinib / Leucovorin / Mercaptopurine / Methotrexate / Thioguanine / Vincristine
2004-001648-64-LT,Teverelix
2004-001657-29-ES,Etravirine
2004-001658-10-BE,Etravirine
2004-001662-41-IT,Vancomycin
2004-001664-50-IT,Fotemustine
2004-001666-40-BE,Zoledronic acid
2004-001667-22-IT,Cetuximab
2004-001672-39-ES,Atorvastatin
2004-001673-25-IT,Valsartan
2004-001674-80-BE,Argatroban / Heparin
2004-001680-22-SE,Ropinirole
2004-001681-40-IT,Ciclesonide / Fluticasone
2004-001682-17-ES,Abciximab / Heparin sodium
2004-001685-40-SK,Capecitabine / Oxaliplatin
2004-001690-26-GB,Niacin
2004-001692-19-DE,Insulin detemir / Insulin glargine
2004-001696-19-ES,Cetuximab
2004-001700-12-ES,Cetuximab / Fluorouracil / Leucovorin / Oxaliplatin
2004-001701-97-GB,Teicoplanin
2004-001712-31-GB,Everolimus
2004-001713-34-GB,Diclofenac sodium / Valdecoxib
2004-001716-31-DE,Palifermin
2004-001718-15-AT,Peginterferon alfa-2a / Ribavirin
2004-001719-77-IE,Tipifarnib
2004-001720-21-GB,Leuprorelin / Sufugolix
2004-001721-13-GB,Sufugolix
2004-001724-20-HU,Budesonide / Fluticasone / Formoterol / Salbutamol / Salmeterol
2004-001730-17-LT,Ceftazidime / Linezolid
2004-001731-28-FI,Fenofibrate / Metformin
2004-001735-37-SI,Desmopressin
2004-001737-41-SE,Budesonide / Hydrocortisone butyrate / Tixocortol pivalate
2004-001738-17-IT,Cyclophosphamide / Cytarabine / Daunorubicin / Idarubicin / Mercaptopurine / Methotrexate / Methylprednisolone / Mitoxantrone / Pegaspargase / Prednisone / Vincristine
2004-001739-53-IT,Alemtuzumab
2004-001746-32-DE,Doxorubicin
2004-001748-66-ES,Eslicarbazepine acetate
2004-001749-13-AT,Temozolomide
2004-001750-81-DE,Ibandronic acid
2004-001754-92-DE,Balicatib
2004-001756-36-BE,Rituximab
2004-001766-40-ES,Amiodarone
2004-001770-40-GB,Doxorubicin / Sorafenib
2004-001773-26-BE,Sorafenib
2004-001778-21-ES,Maraviroc
2004-001779-20-BE,Maraviroc
2004-001782-18-CZ,Neramexane mesylate
2004-001786-18-IT,Zoledronic acid
2004-001789-42-ES,Dexketoprofen / Dipyrone
2004-001805-90-ES,Amino acids / Glutamine
2004-001806-29-HU,Glycopyrronium / Tiotropium
2004-001810-16-BE,Imatinib
2004-001814-14-ES,Alvimopan
2004-001823-39-SE,"Diphtheria toxoid|tetanus toxoid|bordetella pertussis antigens (pertussis toxoid, filamentous haemagglutinin, pertactin)|hepatitis b surface antigen|poliovirus (inactivated) (type-1 (mahoney strain), type-2 (mef-1 strain), type-3 (saukett strain))|haemophilus influenzae type b polysaccharide / Diphtheria toxoid|tetanus toxoid|bordetella pertussis antigens (pertussis toxoid, filamentous haemagglutinin, pertactin)|poliovirus (inactivated) (type 1 (mahoney strain), type 2 (mef-1 strain), type 3 (saukett strain))|hepatitis b surface antigen / Pneumococcal polysaccharide conjugate vaccine (adsorbed)"
2004-001825-69-IT,Methoxsalen
2004-001827-39-IT,Abacavir / Amprenavir / Didanosine / Efavirenz / Indinavir / Lamivudine / Lopinavir / Nelfinavir / Nevirapine / Ritonavir / Saquinavir / Stavudine / Tenofovir disoproxil / Zalcitabine / Zidovudine
2004-001838-16-CZ,Ciclesonide / Formoterol fumarate
2004-001841-14-BE,Clopidogrel
2004-001842-34-IT,Bortezomib / Doxorubicin
2004-001845-13-DE,Botulinum toxin type a
2004-001854-10-DE,Ibandronic acid / Zoledronic acid
2004-001855-12-HU,Ibandronic acid
2004-001858-90-AT,Fluorouracil / Irinotecan / Leucovorin
2004-001861-17-NO,Dexamethasone / Methotrexate / Prednisolone
2004-001862-42-IE,Lisinopril / Zofenopril
2004-001876-37-DE,Infliximab
2004-001883-39-AT,Desloratadine / Pseudoephedrine
2004-001888-21-GB,Dornase alfa / Mannitol
2004-001894-24-DK,Paroxetine
2004-001900-12-ES,Escitalopram
2004-001901-81-IT,Thiamphenicol
