_id,raw_sponsor,is_commercial
2004-000346-21-HU,Solvay Pharmaceuticals GmbH,TRUE
2004-000347-14-BE,AstraZeneca Sverige,TRUE
2004-000348-25-IT,ASTRAZENECA,TRUE
2004-000349-40-IT,ELI LILLY,TRUE
2004-000350-24-IT,ASTRAZENECA,TRUE
2004-000352-16-ES,AstraZeneca AB,TRUE
2004-000353-38-CZ,Wilex AG,TRUE
2004-000354-22-IE,Pfizer Healthcare Ireland,TRUE
2004-000356-17-FI,Ipsen Scandinavia,TRUE
2004-000358-21-BE,AstraZeneca AB,TRUE
2004-000359-41-SE,AstraZeneca AB,TRUE
2004-000361-35-CZ,Eisai Limited,TRUE
2004-000362-12-CZ,Kowa Research Europe Ltd,TRUE
2004-000363-10-ES,Wyeth Pharmaceuticals,TRUE
2004-000365-35-ES,Pfizer S.A,TRUE
2004-000367-98-DK,GlaxoSmithKline Research and Development Limited,TRUE
2004-000368-28-ES,GlaxoSmithKline Group of Companies,TRUE
2004-000369-37-HU,GlaxoSmithKline Group of Companies,TRUE
2004-000370-31-BE,GlaxoSmithKline Group of Companies,TRUE
2004-000371-34-CZ,GlaxoSmithKline Group of Companies,TRUE
2004-000374-31-IT,GLAXO SMITHKLINE,TRUE
2004-000376-14-IT,NOVARTIS FARMA,TRUE
2004-000379-32-ES,AstraZeneca AB,FALSE
2004-000383-27-SE,AstraZeneca AB,TRUE
2004-000384-10-FR,AstraZeneca AB,TRUE
2004-000390-59-IT,SCHERING-PLOUGH,TRUE
2004-000394-60-DK,A. Carlsson Research AB,TRUE
2004-000397-31-DE,Wyeth Vaccines Research,TRUE
2004-000398-76-ES,"MADAUS, S.A.",TRUE
2004-000404-40-ES,Bayer plc,TRUE
2004-000405-22-GB,Medical Research Council,FALSE
2004-000406-51-LV,GlaxoSmithKline SIA Latvia,TRUE
2004-000408-41-IT,RIBAPHARM,TRUE
2004-000411-25-IT,G.O.N.O. - GRUPPO ONCOLOGICO NORD OVEST,FALSE
2004-000414-39-FI,Mundipharma OY,TRUE
2004-000415-26-ES,Sigma-Tau Industrie Farmaceutiche Riunite S.p.A.,TRUE
2004-000417-18-GB,Southampton University Hospitals NHS Trust,FALSE
2004-000422-73-IT,FARMACEUTICI DAMOR,TRUE
2004-000424-32-BE,Merck Sharp  Dohme BV,TRUE
2004-000432-85-CZ,Basilea Pharmaceutica Ltd,TRUE
2004-000438-35-DK,NPS Allelix Corporation,TRUE
2004-000439-27-DK,NPS Allelix Corporation,TRUE
2004-000440-24-SE,Cephalon UK Limited,TRUE
2004-000441-38-AT,"National Institute of Allergy and Infectious Diseases, National Institutes of Health",FALSE
2004-000442-21-HU,Solvay Pharmaceuticals GmbH,TRUE
2004-000443-17-ES,"Idenix Pharmaceuticals, Inc.",TRUE
2004-000446-20-IE,Imperial College,FALSE
2004-000448-26-GB,Axcan Pharma Inc. Axcan Pharma International BV is subsidiary of Axcan Pharma Inc.,TRUE
2004-000450-23-LV,"Wyeth Research Division of Wyeth Pharmaceuticals Inc., Clinical Research and Development",TRUE
2004-000452-16-ES,Otsuka Maryland Research Institute,TRUE
2004-000457-34-AT,Fujisawa GmbH,TRUE
2004-000462-13-HU,TEVA Pharmaceutical Industries Ltd.,TRUE
2004-000463-94-HU,TEVA Pharmaceutical Industries Ltd.,TRUE
2004-000464-28-BE,Ark Therapeutics Limited,TRUE
2004-000469-36-IT,ORGANON ITALIA,TRUE
2004-000472-14-ES,NV Organon,TRUE
2004-000476-13-ES,Schwarz Biosciences GmbH,TRUE
2004-000478-30-BE,Actelion Pharmaceuticals Ltd.,TRUE
2004-000480-10-HU,CELL THERAPEUTICS EUROPE S.r.l.,TRUE
2004-000482-35-LT,GlaxoSmithKline Research  Development Ltd.,TRUE
2004-000483-27-ES,Bial  Portela  C S.A.,TRUE
2004-000485-13-BE,Procter  Gamble Ltd,TRUE
2004-000486-35-GB,Procter  Gamble Pharmaceuticals,TRUE
2004-000487-27-HU,"Merck  Co., Inc.",TRUE
2004-000488-83-IT,SCHERING-PLOUGH,TRUE
2004-000492-33-LV,ALTANA Pharma AG,TRUE
2004-000493-32-SK,ALTANA Pharma AG,TRUE
2004-000495-14-IT,ASTRAZENECA,NA
2004-000499-16-FI,Novatreat Ltd,TRUE
2004-000501-21-GB,XTL Biopharmaceuticals,TRUE
2004-000502-40-GB,Southampton University Hospitals Trust,FALSE
2004-000506-52-BE,Daiichi Sankyo Europe GmbH,TRUE
2004-000507-17-IT,FONDAZIONE SANTA LUCIA,FALSE
2004-000509-24-AT,Amgen Inc,TRUE
2004-000511-25-BE,Amgen Inc,TRUE
2004-000512-17-CZ,Amgen Inc,TRUE
2004-000514-38-IE,Novo Nordisk Pharmaceuticals Ltd,TRUE
2004-000517-19-GB,Blackpool Fylde  Wyre Healthcare NHS Trust,FALSE
2004-000518-37-NO,GlaxoSmithKline AS,TRUE
2004-000520-32-ES,Fujisawa GmbH,TRUE
2004-000526-75-ES,Aspreva pharmaceuticals Corporation,TRUE
2004-000530-37-LT,Serono International S.A.,TRUE
2004-000532-85-GB,"Penine Acute NHS Trust, North Manchester General Hospital",FALSE
2004-000534-36-SK,Laboratoires Expanscience,TRUE
2004-000535-29-BE,Serono International S.A.,TRUE
2004-000537-11-DE,ZLB Behring AG,TRUE
2004-000539-27-SE,Novartis Sverige AB,TRUE
2004-000540-24-IE,Novartis Pharma CH,TRUE
2004-000541-38-IT,NOVARTIS FARMA,TRUE
2004-000542-20-SK,Novartis Pharma Services AG,TRUE
2004-000551-42-FI,SCHWARZ BIOSCIENCES GmbH,TRUE
2004-000555-42-DK,"Sanofi-aventis US, Inc",TRUE
2004-000557-35-GB,Newron Pharmaceuticals SpA,TRUE
2004-000558-22-ES,Schering-Plough Research Insitute,TRUE
2004-000562-13-LV,Wyeth Research Division of Wyeth Pharmaceuticals Inc. Clinical Research and Development,TRUE
2004-000563-96-SE,Wyeth Pharmaceuticals,TRUE
2004-000564-28-BE,F. Hoffmann-La Roche Ltd,TRUE
2004-000565-34-IT,AZIENDA SANITARIA OSPEDALIERA S. GIOVANNI BATTISTA DI TORINO,FALSE
2004-000566-12-SE,AstraZeneca AB,TRUE
2004-000572-14-BE,"Aventis Pharmaceuticals, Inc. a subsidiary of sanofi-aventis group",TRUE
2004-000573-54-FI,Eli Lilly and Company Ltd,TRUE
2004-000576-13-GB,GlaxoSmithKline Research  Development Limited,TRUE
2004-000577-65-FI,Eli Lilly and Company,TRUE
2004-000580-10-FI,Oy Eli Lilly Finland Ab,TRUE
2004-000585-13-BE,"MedImmune Vaccines, Inc.",TRUE
2004-000587-26-DE,Novartis Pharma Services AG,TRUE
2004-000589-11-HU,ELI LILLY and COMPANY,TRUE
2004-000592-33-IT,GENTIUM,TRUE
2004-000593-32-DE,Ferring Arzneimittel GmbH,TRUE
2004-000596-34-IT,ASPREVA PHARMACEUTICALS CORPORATION,TRUE
2004-000597-31-IT,NOVARTIS FARMA,TRUE
2004-000602-44-ES,"Pierre Fabre Ibrica, S.A.",TRUE
2004-000603-18-IT,AZIENDA OSPEDALIERA UMBERTO I,FALSE
2004-000607-17-BE,"Seattle Genetics, Inc.",TRUE
2004-000608-42-ES,University of Sheffield,FALSE
2004-000609-23-IT,BIOXELL SPA,TRUE
2004-000610-39-LT,GlaxoSmithKline Research and Development Ltd.,TRUE
2004-000611-25-HU,"Otsuka Maryland Research Institute, Inc.",TRUE
2004-000612-54-SE,Merck Sharp  Dohme Sweden AB,TRUE
2004-000614-39-IT,MERCK SHARP DOHME,TRUE
2004-000616-70-BE,"Aventis Pharmaceuticals, Inc.",TRUE
2004-000617-19-HU,Johnson  Johnson Pharmaceutical Research and Development,TRUE
2004-000618-38-GB,Aventis Pharmaceuticals Inc.,TRUE
2004-000622-67-GB,Wyeth Research Division of Wyeth Pharmaceuticals Inc.,TRUE
2004-000623-16-BE,n.v. Boehringer Ingelheim s.a.,TRUE
2004-000625-30-ES,INO Therapeutics,TRUE
2004-000629-32-SI,University of Oxford,FALSE
2004-000630-37-CZ,Schering AG,TRUE
2004-000631-28-IT,ACTELION PHARMACEUTICALS ITALIA,TRUE
2004-000632-82-IT,ACTELION PHARMACEUTICALS ITALIA,TRUE
2004-000638-35-ES,Novartis Pharmaceuticals Corporation,TRUE
2004-000642-21-IE,BioMarin Pharmaceutical Inc.,TRUE
2004-000644-25-SK,Insmed Incorporated,TRUE
2004-000645-37-AT,Amgen Inc,TRUE
2004-000646-20-SE,ALEXION PHARMACEUTICALS INCORPORATED,TRUE
2004-000647-24-DK,"Dept. Oncology, Aarhus University Hospital",FALSE
2004-000649-39-SE,Merck KGaA,TRUE
2004-000651-42-SE,ProstaLundOperations AB,TRUE
2004-000654-23-BE,EORTC,FALSE
2004-000655-41-ES,Novartis Farmacutica S.A,TRUE
2004-000658-22-GB,"University of Oxford, NDM",FALSE
2004-000663-99-CZ,Biogen Idec Inc. / Biogen Idec Ltd,TRUE
2004-000664-27-ES,Novartis Farmaceutica S.A.,TRUE
2004-000665-35-ES,Pierre Fabre Medicament,TRUE
2004-000669-36-IT,AZIENDA SANITARIA OSPEDALIERA S. GIOVANNI BATTISTA DI TORINO,FALSE
2004-000671-34-IE,Novartis Pharma AG,TRUE
2004-000673-57-AT,Baxter Healthcare S.A.,TRUE
2004-000675-34-ES,University Medical Center Utrecht,FALSE
2004-000676-13-SK,Baxter Healthcare S.A.,TRUE
2004-000677-62-LV,Novartis Pharma AG,TRUE
2004-000678-30-CZ,Baxter Healthcare S.A.,TRUE
2004-000679-32-FI,AstraZeneca Oy,TRUE
2004-000683-27-GB,Research and Innovation Services,FALSE
2004-000684-10-AT,"Meiji Seika Kaisha, Ltd.",TRUE
2004-000686-35-FI,Novartis Pharma AG,TRUE
2004-000687-27-SK,Novartis Pharma AG,TRUE
2004-000690-63-IT,CRINOS S.P.A.,TRUE
2004-000691-13-ES,Lilly S.A.,TRUE
2004-000693-31-FI,Colotech A/S,TRUE
2004-000696-34-HU,"Daiichi Pharmaceutical Co., Ltd",TRUE
2004-000700-41-BE,GALDERMA RD,TRUE
2004-000701-21-AT,Novartis Services AG,TRUE
2004-000703-18-ES,SOLVAY PHARMACEUTICALS GMBH,TRUE
2004-000707-18-IT,LUNDBECK ITALIA,TRUE
2004-000711-26-IT,BRACCO IMAGING,TRUE
2004-000712-42-SE,Bracco Imaging S.p.A.,TRUE
2004-000715-26-HU,F. Hoffmann-La Roche Ltd.,TRUE
2004-000718-37-CZ,Chiesi Farmaceutici S.p.A.,TRUE
2004-000722-69-ES,Grupo Espaol de Investigacin en Cncer de Ovario GEICO,FALSE
2004-000723-15-AT,Fresenius Biotech GmbH,TRUE
2004-000725-30-GB,Bayer HealthCare AG,TRUE
2004-000726-78-ES,Shire Pharmaceuticals Group plc,TRUE
2004-000727-15-HU,AstraZeneca AB,TRUE
2004-000730-37-CZ,Janssen-Cilag Medical Affairs EMEA,TRUE
2004-000731-28-AT,EORTC,FALSE
2004-000733-12-CZ,Shire Pharmaceutical Development Inc,TRUE
2004-000734-36-CZ,Shire Pharmaceutical Development Inc.,TRUE
2004-000738-34-DE,"Aventis Pharmaceuticals, Inc.",TRUE
2004-000742-21-IT,AMERSHAM HEALTH,TRUE
2004-000745-37-ES,Actelion Pharmaceuticals Ltd.,TRUE
2004-000746-20-PT,Menarini Benelux S.A/N.V.,TRUE
2004-000748-26-ES,"Pierre Fabre Ibrica, S.A. en representacin de Pierre Fabre Mdicament",TRUE
2004-000750-22-DE,AstraZeneca AB,TRUE
2004-000751-42-DE,AstraZeneca AB,TRUE
2004-000752-17-AT,Hoffmann-La Roche Ltd/Inc/AG/Roche Global Development,TRUE
2004-000753-30-ES,Pierre Fabre Ibrica S.A. as legal representative of Pierr Fabre Mdicament,TRUE
2004-000754-24-GB,GlaxoSmithKline RD UK Ltd,TRUE
2004-000755-41-CZ,Chiesi Farmaceurtici S.p.A,TRUE
2004-000759-40-IT,TEVA,TRUE
2004-000762-13-IT,TEVA ITALIA srl,TRUE
2004-000763-98-DE,Aventis Pharmaceuticals Inc.,TRUE
2004-000766-12-AT,"BIAL Portela  Companhia, S.A.",TRUE
2004-000767-10-IT,CHIRON,TRUE
2004-000771-34-ES,"J. Uriach y Compaa, S.A.",TRUE
2004-000772-14-CZ,TKT Inc,TRUE
2004-000773-60-LV,Healthcare  Pharma Consulting AG Europe,TRUE
2004-000774-31-DE,Eisai Limited,TRUE
2004-000775-34-EE,Takeda Europe RD Centre Ltd,TRUE
2004-000782-35-IT,NOVARTIS FARMA,TRUE
2004-000784-97-IT,GLAXO SMITHKLINE,TRUE
2004-000786-35-IT,ABBOTT,TRUE
2004-000789-11-DE,GlaxoSmithKline Research  Development Limited,TRUE
2004-000795-14-LV,AstraZeneca,TRUE
2004-000798-71-GB,Imperial College London,FALSE
2004-000799-15-NO,Aker University Hospital,FALSE
2004-000803-17-LT,The SAVE trial group,FALSE
2004-000804-41-HU,CECOG,FALSE
2004-000805-23-IT,GLAXO SMITHKLINE,TRUE
2004-000806-39-HU,CECOG,FALSE
2004-000808-40-LT,Hexal AG,TRUE
2004-000811-24-DK,Schering AG,TRUE
2004-000815-25-ES,Eli Lilly and Company Limited,TRUE
2004-000816-24-ES,Abbott France,TRUE
2004-000817-20-LT,Kyowa Hakko U.K. Limited,TRUE
2004-000820-34-PT,"Integrated Therapeutics Group, Incorporated-a subsidiary of Schering Plough",TRUE
2004-000821-31-AT,Schering AG,TRUE
2004-000822-58-ES,sanofi-synthelabo groupe,TRUE
2004-000825-31-HU,ALTANA Pharma AG,TRUE
2004-000827-13-BE,Pfizer Global Pharmaceutical Group,TRUE
2004-000829-30-IT,NOVARTIS FARMA,TRUE
2004-000830-35-IT,JANSSEN-CILAG,TRUE
2004-000833-12-ES,Newron Pharmaceuticals S.p.A.,TRUE
2004-000835-27-IT,NEWRON PHARMACEUTICALS,TRUE
2004-000838-36-HU,Pharmexa A/S,TRUE
2004-000843-61-IT,ZAMBON GROUP,TRUE
2004-000848-24-ES,GlaxoSmithKline S.A.,NA
2004-000849-38-GB,Novartis Pharma Services AG,TRUE
2004-000850-22-IT,ANGELINI,TRUE
2004-000851-41-FI,Sanofi-Synthelabo AB,TRUE
2004-000860-28-AT,ribosepharm GmbH,TRUE
2004-000864-29-HU,F. Hoffmann-La Roche Ltd.,TRUE
2004-000866-11-IT,ZAMBON GROUP,TRUE
2004-000867-92-DE,"Merck  Co., Inc.",TRUE
2004-000870-29-IT,JANSSEN-CILAG,TRUE
2004-000871-33-CZ,Apogepha Arzneimittel GmbH,TRUE
2004-000874-30-IT,AOP ORPHAN PHARMACEUTICALS,TRUE
2004-000876-14-ES,"FERRER INTERNACIONAL, S.A.",TRUE
2004-000877-80-CZ,SK Pharma Schumann und Kohl GmbH,TRUE
2004-000881-10-LT,CELSG Central European Leukemia Study Group,FALSE
2004-000882-36-FI,GlaxoSmithKine Research  Development Limited,TRUE
2004-000894-67-SE,Eli Lilly and Company,TRUE
2004-000895-16-SK,Novartis s.r.o. org zlozka,TRUE
2004-000903-17-BE,Bristol-Myers Squibb International Corporation,TRUE
2004-000904-41-CZ,Aventis Pharmaceuticals Inc.,TRUE
2004-000905-24-IE,University of York,FALSE
2004-000907-16-ES,Bonaventura Clotet/Ramn Planas/Ricard Sol,FALSE
2004-000909-22-ES,MDS Pharma Services,TRUE
2004-000912-13-EE,AstraZeneca RD Sdertlje,TRUE
2004-000913-21-FI,AstraZeneca RD Sdertlje,TRUE
2004-000914-37-GB,Neurim Pharmaceuticals 1991 Ltd,TRUE
2004-000915-25-LT,AstraZeneca RD Sodertalje,TRUE
2004-000916-25-IT,GIULIANI,TRUE
2004-000919-26-FI,Newcastle upon Tyne Hospitals NHS Trust / Johns Hopkins University,FALSE
2004-000922-59-ES,Bristol Myers Squibb International Corporation,TRUE
2004-000929-30-IT,GLAXO SMITHKLINE,TRUE
2004-000930-35-BE,SmithKline Beecham plc,TRUE
2004-000933-12-ES,Axonyx Inc,TRUE
2004-000935-27-CZ,Wyeth  Research Division of Wyeth Pharmaceuticals Inc.Clinical Research  Development Department,TRUE
2004-000940-26-AT,Novartis Pharma,TRUE
2004-000944-26-BE,HOVON foundation,FALSE
2004-000948-25-ES,Fundaci de Lluita Contra la Sida,FALSE
2004-000953-46-LT,Amersham plc,TRUE
2004-000954-22-LV,Pfizer Global Research  Development,TRUE
2004-000955-40-LV,Pfizer Global Research  Development,TRUE
2004-000957-47-SI,Charit,FALSE
2004-000959-42-FI,"Integrated Therapeutics Group, Inc./Schering-Plough Oy",TRUE
2004-000960-28-IT,SCHWARZ PHARMA,TRUE
2004-000962-11-CZ,Pierre Fabre Medicament represented by IRPF,TRUE
2004-000963-81-BE,Pierre Fabre Medicament,TRUE
2004-000966-10-IT,AZIENDA OSPEDALIERA DI BOLOGNA POLICLINICO S. ORSOLA M. MALPIGHI,FALSE
2004-000971-33-IT,PFIZER,TRUE
2004-000972-15-DK,Michael Larsen,FALSE
2004-000973-69-SE,Wyeth Research Division of Wyeth Pharmaceuticals Inc,TRUE
2004-000975-32-CZ,UCB S.A. Pharma Sector,TRUE
2004-000979-33-IT,LABORATOIRES EXPANSCIENCE,TRUE
2004-000980-93-IT,CRINOS S.P.A.,TRUE
2004-000983-29-SE,F. Hoffmann-La Roche Ltd.,TRUE
2004-000984-81-SE,"Astellas Pharma US, Inc.",TRUE
2004-000985-12-ES,GlaxoSmithKline S.A.,TRUE
2004-000986-37-BE,Eli Lilly and Company Limited,TRUE
2004-000990-78-FI,H. Lundbeck A/S,TRUE
2004-000994-69-BE,Amersham Health,TRUE
2004-000996-33-DK,Pfizer ApS,TRUE
2004-001000-12-SK,"AlgoRx Pharmaceuticals, Inc.",TRUE
2004-001010-13-DK,"Dept. of Neurology, Odense University Hospital",FALSE
2004-001012-32-AT,Gloucester Pharmaceuticals Inc.,TRUE
2004-001020-20-IE,GlaxoSmithKline Group of Companies,TRUE
2004-001021-22-FI,GlaxoSmithKline Research and Development Limited,TRUE
2004-001033-41-IT,ELI LILLY,TRUE
2004-001035-32-IT,ITALIAN SARCOMA GROUP,FALSE
2004-001036-23-SE,Novartis Sverige AB,TRUE
2004-001041-15-LV,Neuro3d,TRUE
2004-001043-30-IT,SIGMA-TAU,TRUE
2004-001044-72-IT,AVENTIS PHARMA S.P.A.,TRUE
2004-001052-36-IT,NOVARTIS FARMA,TRUE
2004-001054-84-GB,NHS Lothian- University Hospitals Division,FALSE
2004-001056-36-ES,Institut de Recerca,FALSE
2004-001060-50-HU,Novartis Pharma Services AG,TRUE
2004-001061-17-BE,Novartis Pharma Services AG,TRUE
2004-001062-40-DE,Novartis Pharma Services AG,TRUE
2004-001065-18-ES,ALTANA Pharma AG,TRUE
2004-001069-17-LT,Novartis Pharma GmbH,TRUE
2004-001072-39-DE,ALTANA Pharma AG,TRUE
2004-001075-20-LT,Fujisawa GmbH,TRUE
2004-001083-43-HU,Bayer HealthCare AG,TRUE
2004-001086-17-GB,Medi-Flex,TRUE
2004-001090-25-CZ,CV THERAPEUTICS INC,TRUE
2004-001091-40-FI,Beaufour Ipsen Pharma,TRUE
2004-001093-11-GR,Pfizer Hellas A.E.,TRUE
2004-001098-25-ES,Zambon SA,TRUE
2004-001100-12-HU,Boehringer Ingelheim Pharma GmbH  Co. KG,TRUE
2004-001101-10-BE,Novartis Pharma Services AG,TRUE
2004-001103-35-DK,Nordic Society for Gynecologic Oncology,FALSE
2004-001105-96-HU,Merck KGaA,TRUE
2004-001107-36-BE,AstraZeneca NV/SA,TRUE
2004-001108-11-DE,European Organisation for the Research and Treatment of Cancer,FALSE
2004-001109-81-CZ,Chiesi Farmaceutici SpA,TRUE
2004-001113-33-BE,University Hospital Ghent,FALSE
2004-001114-14-IT,SIGMA-TAU,TRUE
2004-001116-31-ES,Laboratorios Dr. Esteve S.A.,TRUE
2004-001117-34-ES,Pharma Mar S.A.,TRUE
2004-001118-15-ES,"Pharma Mar, S.A",TRUE
2004-001119-69-ES,"Laboratorios Dr. Esteve, SA",TRUE
2004-001124-20-DK,Sigrun Kjtrd,FALSE
2004-001125-20-IT,AZIENDA OSPEDALIERA S. LUIGI GONZAGA,FALSE
2004-001126-24-BE,University Hospital Ghent,FALSE
2004-001128-19-DK,Bristol-Myers Squibb International Corporation,TRUE
2004-001130-16-ES,J. URIACH  COMPAIA,TRUE
2004-001132-23-IT,NOVARTIS FARMA,TRUE
2004-001144-71-ES,AstraZeneca AB,TRUE
2004-001149-14-ES,"Pfizer, S.A.",TRUE
2004-001150-88-ES,Menarini International Operation Luxembourg -SA,TRUE
2004-001154-86-LV,Amgen Inc.,TRUE
2004-001155-11-BE,"OSI Pharmaceuticals, Inc.",TRUE
2004-001156-37-CZ,University of Oxford,FALSE
2004-001159-12-IT,AZIENDA OSPEDALIERA S. CARLO,FALSE
2004-001162-40-IT,EISAI LTD UK,TRUE
2004-001164-41-SE,Beaufour Ipsen Pharma,TRUE
2004-001168-28-HU,AstraZeneca AB,TRUE
2004-001173-26-DK,GlaxoSmithKline Biologicals,TRUE
2004-001174-25-IE,Neurocure Ltd,TRUE
2004-001175-19-CZ,GlaxoSmithKline,TRUE
2004-001177-25-HU,Schering-Plough CE AG Hungarian Commercial Representative Office,TRUE
2004-001178-13-CZ,"Janssen-Cilag, div.Johnson and Johnson s.r.o.",TRUE
2004-001179-21-CZ,MannKind Corporation,TRUE
2004-001181-41-CZ,Bristol-Myers Squibb International  Corporation,TRUE
2004-001182-18-DK,GlaxoSmithKline R  D Limited,TRUE
2004-001183-41-CZ,AstraZeneca AB,TRUE
2004-001186-17-BG,CSL Behring GmbH,TRUE
2004-001187-52-LV,Axonyx Corporation,NA
