raw_sponsor,sponsor_clean,sponsor_parent,sponsor_type,match_status,confidence,decided_by,n_trials
Novartis Pharma GmbH,Novartis,,industry,accepted,0.95,model,123
GlaxoSmithKline Research  Development Limited,GlaxoSmithKline,,industry,accepted,0.97,model,119
UZ Leuven,UZ Leuven,,hospital,accepted,0.93,model,116
AZIENDA OSPEDALIERA DI BOLOGNA POLICLINICO S. ORSOLA M. MALPIGHI,Azienda Ospedaliero-Universitaria di Bologna Policlinico S. Orsola-Malpighi,,hospital,accepted,0.96,model,115
Sanofi-Aventis Recherche & Developpement,Sanofi,,industry,accepted,0.96,model,114
University Medical Center Groningen,Universitair Medisch Centrum Groningen,,hospital,accepted,0.95,model,114
AbbVie Deutschland GmbH & Co. KG,AbbVie,,industry,accepted,0.95,model,112
Janssen - Cilag International,Janssen,Johnson & Johnson,industry,accepted,0.95,model,108
Leiden University Medical Center,Leiden University Medical Center,,hospital,accepted,0.93,model,108
University of Oxford,University of Oxford,,academic,accepted,0.95,model,103
Odense University Hospital,Odense Universitetshospital,,hospital,accepted,0.94,model,102
Bayer HealthCare AG,Bayer,,industry,accepted,0.95,model,101
Karolinska University Hospital,Karolinska Universitetssjukhuset,,hospital,accepted,0.88,model,100
Institut de Recherches Internationales Servier,Servier,,industry,accepted,0.95,model,97
Erasmus Universitair Medisch Centrum Rotterdam (Erasmus MC),Erasmus MC,,hospital,accepted,0.93,model,95
Janssen-Cilag International N.V.,Janssen,Johnson & Johnson,industry,accepted,0.95,model,95
Bristol-Myers Squibb Services Unlimited Company,Bristol Myers Squibb,,industry,accepted,0.97,model,93
Janssen Cilag International,Janssen,Johnson & Johnson,industry,accepted,0.95,model,92
SCS Boehringer Ingelheim Comm.V,Boehringer Ingelheim,,industry,accepted,0.97,model,91
Erasmus MC,Erasmus MC,,hospital,accepted,0.93,model,89
Imperial College London,Imperial College London,,academic,accepted,0.9,model,89
"Pfizer Inc., 235 East 42nd Street, New York, NY 10017",Pfizer,,industry,accepted,0.97,model,89
Glaxosmithkline Research & Development Limited,GlaxoSmithKline,,industry,accepted,0.97,model,88
Celgene Corporation,Celgene,,industry,accepted,0.95,model,87
H. Lundbeck A/S,Lundbeck,,industry,accepted,0.96,model,87
Chiesi Farmaceutici S.p.A.,Chiesi,,industry,accepted,0.96,model,85
Vertex Pharmaceuticals Incorporated,Vertex Pharmaceuticals,,industry,accepted,0.98,model,84
sanofi-aventis recherche  dveloppement,Sanofi,,industry,accepted,0.95,model,84
Boehringer Ingelheim Pharma GmbH  Co. KG,Boehringer Ingelheim,,industry,accepted,0.97,model,82
F. Hoffmann-La Roche Ltd.,Roche,,industry,accepted,0.97,model,82
University of Birmingham,University of Birmingham,,academic,accepted,0.9,model,82
Aarhus University Hospital,Aarhus Universitetshospital,,hospital,accepted,0.93,model,81
Regeneron Pharmaceuticals Inc.,Regeneron,,industry,accepted,0.98,model,81
Amsterdam UMC Stichting,Amsterdam UMC,,hospital,accepted,0.88,model,79
Biogen Idec Research Limited,Biogen,,industry,accepted,0.93,model,79
Medical University Of Vienna,Medizinische Universität Wien,,academic,accepted,0.93,model,78
University Medical Center Utrecht,University Medical Center Utrecht,,hospital,accepted,0.95,model,76
Hospices Civils de Lyon,Hospices Civils de Lyon,,hospital,accepted,0.98,model,74
Medical University of Vienna,Medizinische Universität Wien,,academic,accepted,0.93,model,72
Universitair Medisch Centrum Groningen,Universitair Medisch Centrum Groningen,,hospital,accepted,0.95,model,72
Gilead Sciences Inc.,Gilead Sciences,,industry,accepted,0.98,model,69
Incyte Corporation,Incyte,,industry,accepted,0.97,model,69
Merck KGaA,Merck KGaA,,industry,accepted,0.85,model,69
Bristol Myers Squibb International Corporation,Bristol Myers Squibb,,industry,accepted,0.97,model,67
ISTITUTO EUROPEO DI ONCOLOGIA,Istituto Europeo di Oncologia,,hospital,accepted,0.95,model,67
Takeda Development Center Americas Inc.,Takeda,,industry,accepted,0.95,model,67
Oslo University Hospital HF,Oslo University Hospital,,hospital,accepted,0.96,model,66
Ghent University Hospital,Ghent University Hospital,,hospital,accepted,0.9,model,65
Karolinska Institutet,Karolinska Institutet,,academic,accepted,0.93,model,64
"Regeneron Pharmaceuticals, Inc.",Regeneron,,industry,accepted,0.98,model,64
Academic Medical Center,Academic Medical Center,,hospital,accepted,0.7,model,63
University Hospital Ghent,Ghent University Hospital,,hospital,accepted,0.9,model,62
University of Leeds,University of Leeds,,academic,accepted,0.93,model,62
Amsterdam UMC,Amsterdam UMC,,hospital,accepted,0.88,model,60
Eisai Limited,Eisai,,industry,accepted,0.97,model,60
Incyte Corp.,Incyte,,industry,accepted,0.97,model,60
LEO Pharma A/S,LEO Pharma,,industry,accepted,0.98,model,60
Unicancer,Unicancer,,cooperative_group,accepted,0.93,model,60
Institut Gustave Roussy,Gustave Roussy,,hospital,accepted,0.97,model,59
OSPEDALE S. RAFFAELE,Ospedale San Raffaele,,hospital,accepted,0.93,model,59
Astrazeneca AB,AstraZeneca,,industry,accepted,0.95,model,58
GlaxoSmithKline Research and Development Ltd,GlaxoSmithKline,,industry,accepted,0.97,model,57
VU University Medical Center,VU University Medical Center,,hospital,accepted,0.95,model,57
Dr. Falk Pharma GmbH,Dr. Falk Pharma,,industry,accepted,0.96,model,56
"Merck  Co., Inc.",MSD,,industry,accepted,0.93,model,56
Region Midtjylland,Region Midtjylland,,public_body,accepted,0.97,model,56
PIERRE FABRE MEDICAMENT,Pierre Fabre,,industry,accepted,0.9,model,53
"Pfizer Inc, 235 East 42nd Street, New York, NY 10017",Pfizer,,industry,accepted,0.97,model,53
University of Cologne,University of Cologne,,academic,accepted,0.85,model,53
Centre Hospitalier Universitaire De Nantes,Centre Hospitalier Universitaire de Nantes,,hospital,accepted,0.97,model,52
Ferring Pharmaceuticals A/S,Ferring,,industry,accepted,0.95,model,52
Genmab A/S,Genmab,,industry,accepted,0.97,model,52
UZ Brussel,Universitair Ziekenhuis Brussel,,hospital,accepted,0.95,model,52
University of Nottingham,University of Nottingham,,academic,accepted,0.95,model,51
Radboud University Nijmegen Medical Centre,Radboudumc,,hospital,accepted,0.94,model,50
Daiichi Sankyo Inc.,Daiichi Sankyo,,industry,accepted,0.94,model,49
Eli Lilly and Company Limited,Eli Lilly,,industry,accepted,0.96,model,49
"Otsuka Pharmaceutical Development  Commercialization, Inc.",Otsuka,,industry,accepted,0.95,model,49
NV Organon,Organon,,industry,accepted,0.9,model,48
Region Hovedstaden,Region Hovedstaden,,public_body,accepted,0.9,model,48
CHU de Bordeaux,CHU de Bordeaux,,hospital,accepted,0.97,model,47
Celgene Corp.,Celgene,,industry,accepted,0.95,model,47
Genentech Inc.,Genentech,Roche,industry,accepted,0.95,model,47
Oslo University Hospital,Oslo University Hospital,,hospital,accepted,0.96,model,47
University of Dundee,University of Dundee,,academic,accepted,0.86,model,47
Charit - Universittsmedizin Berlin,Charité – Universitätsmedizin Berlin,,hospital,accepted,0.96,model,46
Het Nederlands Kanker Instituut-Antoni van Leeuwenhoek Ziekenhuis Stichting,Antoni van Leeuwenhoek - Nederlands Kanker Instituut,,hospital,accepted,0.95,model,46
ROCHE,Roche,,industry,accepted,0.97,model,46
Sun Pharmaceutical Industries Limited,Sun Pharmaceutical Industries,,industry,accepted,0.93,model,45
University Hospitals Leuven,UZ Leuven,,hospital,accepted,0.93,model,45
Cardiff University,Cardiff University,,academic,accepted,0.96,model,44
ISTITUTO NAZIONALE PER LA CURA TUMORI,Fondazione IRCCS Istituto Nazionale dei Tumori,,hospital,accepted,0.82,model,44
Sheffield Teaching Hospitals NHS Foundation Trust,Sheffield Teaching Hospitals NHS Foundation Trust,,hospital,accepted,0.97,model,44
AIO-Studien-gGmbH,AIO-Studien,,cooperative_group,accepted,0.9,model,43
AZIENDA SANITARIA OSPEDALIERA S. GIOVANNI BATTISTA DI TORINO,Azienda Sanitaria Ospedaliera S. Giovanni Battista di Torino,,hospital,accepted,0.97,model,43
Boehringer Ingelheim RCV GmbH  Co KG,Boehringer Ingelheim,,industry,accepted,0.97,model,43
Merck Healthcare KGaA,Merck KGaA,,industry,accepted,0.85,model,43
OSPEDALE POLICLINICO S. MATTEO,Fondazione IRCCS Policlinico San Matteo,,hospital,accepted,0.95,model,43
Abbott GmbH  Co. KG,Abbott,,industry,accepted,0.95,model,42
Actelion Pharmaceuticals Ltd.,Actelion,Johnson & Johnson,industry,accepted,0.97,model,42
Allergan Limited,Allergan,,industry,accepted,0.95,model,42
Astellas Pharma Europe B.V.,Astellas,,industry,accepted,0.95,model,42
Hospices Civils De Lyon,Hospices Civils de Lyon,,hospital,accepted,0.98,model,42
Novartis Vaccines and Diagnostics S.r.l.,Novartis,,industry,accepted,0.95,model,42
Radboudumc,Radboudumc,,hospital,accepted,0.9,model,42
"Teva Branded Pharmaceutical Products RD, Inc.",Teva,,industry,accepted,0.95,model,42
Turku University Hospital,Turku University Hospital,,hospital,accepted,0.9,model,42
Fundaci Clnic per a la Recerca Biomdica,Fundació Clínic per a la Recerca Biomèdica,,foundation,accepted,0.93,model,41
Grnenthal GmbH,Grünenthal,,industry,accepted,0.93,model,41
NOVARTIS FARMA,Novartis,,industry,accepted,0.95,model,41
Universitair Medisch Centrum Utrecht,University Medical Center Utrecht,,hospital,accepted,0.95,model,41
Centre Hospitalier Universitaire De Toulouse,Centre Hospitalier Universitaire de Toulouse,,hospital,accepted,0.96,model,40
"Genentech, Inc.",Genentech,Roche,industry,accepted,0.95,model,40
GlaxoSmithKline Research and Development Limited,GlaxoSmithKline,,industry,accepted,0.97,model,40
Merz Pharmaceuticals GmbH,Merz,,industry,accepted,0.92,model,40
Alexion Pharmaceuticals Inc.,Alexion,,industry,accepted,0.96,model,39
Genzyme Corporation,Genzyme,Sanofi,industry,accepted,0.97,model,39
Sanofi-Aventis Recherche  Dveloppement,Sanofi,,industry,accepted,0.95,model,39
Baxter Innovations GmbH,Baxter,,industry,accepted,0.94,model,38
Boehringer Ingelheim International GmbH / Boehringer Ingelheim Espana S.A.,Boehringer Ingelheim,,industry,accepted,0.97,model,38
HOVON Foundation,HOVON,,cooperative_group,accepted,0.97,model,38
AZIENDA OSPEDALIERA POLICLINICO DI MODENA,Azienda Ospedaliero-Universitaria Policlinico di Modena,,hospital,accepted,0.92,model,37
European Organisation for Research and Treatment of Cancer,European Organisation for Research and Treatment of Cancer,,cooperative_group,accepted,0.97,model,37
UNICANCER,Unicancer,,cooperative_group,accepted,0.93,model,37
University Medical Center Hamburg-Eppendorf,Universitätsklinikum Hamburg-Eppendorf,,hospital,accepted,0.93,model,37
CHU de Clermont-Ferrand,CHU de Clermont-Ferrand,,hospital,accepted,0.97,model,36
FONDAZIONE POLICLINICO UNIVERSITARIO AGOSTINO GEMELLI IRCCS UNIVERSITA CATTOLICA DEL SACRO CUORE,Fondazione Policlinico Universitario Agostino Gemelli IRCCS,,hospital,accepted,0.9,model,36
SCS Boehringer Ingelheim Comm. V,Boehringer Ingelheim,,industry,accepted,0.97,model,36
Argenx,argenx,,industry,accepted,0.98,model,35
Centre for Human Drug Research,Centre for Human Drug Research,,academic,accepted,0.95,model,35
LYSARC,LYSARC,,cooperative_group,accepted,0.97,model,35
Leids Universitair Medisch Centrum (LUMC),Leids Universitair Medisch Centrum,,hospital,accepted,0.97,model,35
Maastricht University,Maastricht University,,academic,accepted,0.95,model,35
UCB Biopharma,UCB,,industry,accepted,0.95,model,35
BioMarin Pharmaceutical Inc.,BioMarin,,industry,accepted,0.97,model,34
BioNTech SE,BioNTech,,industry,accepted,0.95,model,34
CSL Behring GmbH,CSL Behring,,industry,accepted,0.95,model,34
ISTITUTO GIANNINA GASLINI,Istituto Giannina Gaslini,,hospital,accepted,0.95,model,34
Actelion Pharmaceuticals Ltd,Actelion,Johnson & Johnson,industry,accepted,0.97,model,33
FONDAZIONE CENTRO S. RAFFAELE DEL MONTE TABOR,Fondazione Centro San Raffaele del Monte Tabor,,foundation,accepted,0.75,model,33
Institut Jules Bordet,Institut Jules Bordet,,hospital,accepted,0.96,model,33
Region Skane,Region Skåne,,public_body,accepted,0.85,model,33
Vaestra Goetalandsregionen,Västra Götalandsregionen,,public_body,accepted,0.85,model,33
Wyeth Research Division of Wyeth Pharmaceuticals Inc.,Wyeth,Pfizer,industry,accepted,0.95,model,33
Abbvie Deutschland GmbH & Co. KG,AbbVie,,industry,accepted,0.95,model,32
Radboud University Medical Center,Radboudumc,,hospital,accepted,0.94,model,32
CHU de Nantes,Centre Hospitalier Universitaire de Nantes,,hospital,accepted,0.97,model,31
Centre Hospitalier Regional Universitaire De Tours,Centre Hospitalier Régional Universitaire de Tours,,hospital,accepted,0.93,model,31
Charit Universittsmedizin Berlin,Charité – Universitätsmedizin Berlin,,hospital,accepted,0.96,model,31
ISTITUTI FISIOTERAPICI OSPITALIERI,Istituti Fisioterapici Ospitalieri,,hospital,accepted,0.95,model,31
Institut De Recherches Internationales Servier IRIS,Servier,,industry,accepted,0.95,model,31
Lilly S.A.,Eli Lilly,,industry,accepted,0.96,model,31
Medizinische Universitt Wien,Medizinische Universität Wien,,academic,accepted,0.93,model,31
AZIENDA UNIVERSITARIA POLICLINICO UMBERTO I DI ROMA,Azienda Ospedaliero-Universitaria Policlinico Umberto I,,hospital,accepted,0.95,model,30
IST. DI RICERCHE FARMACOLOG. M. NEGRI,Istituto di Ricerche Farmacologiche Mario Negri,,academic,accepted,0.95,model,30
Medical University of Graz,Medizinische Universität Graz,,academic,accepted,0.93,model,30
Pfizer Pharma GmbH,Pfizer,,industry,accepted,0.97,model,30
Radboud universitair medisch centrum Stichting,Radboud Universitair Medisch Centrum,,hospital,accepted,0.95,model,30
Seagen Inc.,Seagen,,industry,accepted,0.99,model,30
UCB Biopharma SRL,UCB,,industry,accepted,0.95,model,30
UMC Utrecht,University Medical Center Utrecht,,hospital,accepted,0.95,model,30
Universitaetsklinikum Tuebingen AöR,Universitätsklinikum Tübingen,,hospital,accepted,0.93,model,30
BeOne Medicines AG,BeOne Medicines,,industry,accepted,0.93,model,29
Centre Hospitalier Universitaire De Nice,Centre Hospitalier Universitaire de Nice,,hospital,accepted,0.97,model,29
Helsinki University Central Hospital,Helsinki University Hospital,,hospital,accepted,0.9,model,29
"Novartis Farmacutica, S.A.",Novartis,,industry,accepted,0.95,model,29
OSPEDALE SAN RAFFAELE,Ospedale San Raffaele,,industry,accepted,0.93,model,29
Ospedale San Raffaele S.r.l.,Ospedale San Raffaele,,hospital,accepted,0.93,model,29
University College Dublin,University College Dublin,,academic,accepted,0.93,model,29
AZIENDA OSPEDALIERA PISANA,Azienda Ospedaliero-Universitaria Pisana,,hospital,accepted,0.93,model,28
Bispebjerg Hospital,Bispebjerg Hospital,,hospital,accepted,0.9,model,28
Cambridge University Hospitals NHS Foundation Trust,Cambridge University Hospitals NHS Foundation Trust,,hospital,accepted,0.88,model,28
Dr. Willmar Schwabe GmbH  Co. KG,Dr. Willmar Schwabe,,industry,accepted,0.97,model,28
F. Hoffman-La Roche Ltd.,Roche,,industry,accepted,0.96,model,28
Fundacio De Recerca Clinic Barcelona-Institut D’Investigacions Biomediques August Pi I Sunyer,Institut d'Investigacions Biomèdiques August Pi i Sunyer,,academic,accepted,0.86,model,28
Galapagos NV,Galapagos,,industry,accepted,0.96,model,28
Octapharma AG,Octapharma,,industry,accepted,0.96,model,28
Antwerp University Hospital,Universitair Ziekenhuis Antwerpen,,hospital,accepted,0.93,model,27
CSL Behring LLC,CSL Behring,,industry,accepted,0.95,model,27
Centre Hospitalier Universitaire De Bordeaux,CHU de Bordeaux,,hospital,accepted,0.97,model,27
Centre Leon Berard,Centre Léon Bérard,,hospital,accepted,0.98,model,27
Charite Universitaetsmedizin Berlin KöR,Charité – Universitätsmedizin Berlin,,hospital,accepted,0.95,model,27
GlaxoSmithKline,GlaxoSmithKline,,industry,accepted,0.97,model,27
Helse Bergen HF,Helse Bergen,,hospital,accepted,0.85,model,27
IRCCS Istituto Nazionale Tumori Fondazione Pascale,Istituto Nazionale Tumori IRCCS Fondazione G. Pascale,,hospital,accepted,0.93,model,27
Ipsen Pharma,Ipsen,,industry,accepted,0.97,model,27
Philogen S.p.A.,Philogen,,industry,accepted,0.98,model,27
Sanofi Pasteur SA,Sanofi Pasteur,Sanofi,industry,accepted,0.93,model,27
University Hospitals of Leicester NHS Trust,University Hospitals of Leicester NHS Trust,,hospital,accepted,0.95,model,27
AB Science,AB Science,,industry,accepted,0.9,model,26
ALTANA Pharma AG,ALTANA,,industry,accepted,0.9,model,26
Allergan Ltd.,Allergan,,industry,accepted,0.95,model,26
Bayer Healthcare AG,Bayer,,industry,accepted,0.95,model,26
Dermapharm AG,Dermapharm,,industry,accepted,0.9,model,26
Frankfurter Institut Fuer Klinische Krebsforschung IKF GmbH,Institut für Klinische Krebsforschung IKF,,academic,accepted,0.95,model,26
Laboratorios Normon S.A.,Laboratorios Normon,,industry,accepted,0.99,model,26
Medizinische Hochschule Hannover,Medizinische Hochschule Hannover,,academic,accepted,0.95,model,26
NKI-AVL,Antoni van Leeuwenhoek - Nederlands Kanker Instituut,,hospital,accepted,0.95,model,26
UMCG,Universitair Medisch Centrum Groningen,,hospital,accepted,0.85,model,26
UZLeuven,UZ Leuven,,hospital,accepted,0.93,model,26
Zealand Pharma A/S,Zealand Pharma,,industry,accepted,0.97,model,26
Centre Hospitalier Universitaire Amiens Picardie,CHU Amiens-Picardie,,hospital,accepted,0.97,model,25
FONDAZIONE ITALIANA LINFOMI ONLUS,Fondazione Italiana Linfomi,,cooperative_group,accepted,0.97,model,25
Fundaci Lluita contra la SIDA,Fundació Lluita contra la Sida,,foundation,accepted,0.95,model,25
Imperial College,Imperial College London,,academic,accepted,0.9,model,25
Kings College Hospital NHS Foundation Trust,King's College Hospital NHS Foundation Trust,,hospital,accepted,0.95,model,25
LUMC,Leids Universitair Medisch Centrum,,hospital,accepted,0.97,model,25
Medica Scientia Innovation Research S.L.,MedSIR,,industry,accepted,0.95,model,25
Merck Sharp  Dohme LLC,MSD,,industry,accepted,0.93,model,25
"Millennium Pharmaceuticals, Inc.",Millennium Pharmaceuticals,Takeda,industry,accepted,0.97,model,25
Queen Mary University of London,Queen Mary University of London,,academic,accepted,0.9,model,25
Ultragenyx Pharmaceutical Inc.,Ultragenyx,,industry,accepted,0.99,model,25
Universitaetsklinikum Heidelberg AöR,Universitätsklinikum Heidelberg,,hospital,accepted,0.95,model,25
University of Edinburgh / NHS Lothian,University of Edinburgh,,academic,accepted,0.85,model,25
Vertex Pharmaceuticals Inc.,Vertex Pharmaceuticals,,industry,accepted,0.98,model,25
AZIENDA OSPEDALIERA SPEDALI CIVILI DI BRESCIA,ASST degli Spedali Civili di Brescia,,hospital,accepted,0.95,model,24
Astellas Pharma Global Development Inc.,Astellas,,industry,accepted,0.95,model,24
FONDAZIONE IRCCS ISTITUTO NAZIONALE DEI TUMORI,Fondazione IRCCS Istituto Nazionale dei Tumori,,hospital,accepted,0.82,model,24
Fondazione Policlinico Universitario Agostino Gemelli IRCCS,Fondazione Policlinico Universitario Agostino Gemelli IRCCS,,hospital,accepted,0.9,model,24
GBG Forschungs GmbH,German Breast Group,,industry,accepted,0.96,model,24
HUS-Yhtymae,Helsingin ja Uudenmaan sairaanhoitopiiri (HUS),,hospital,accepted,0.88,model,24
ISTITUTO NAZIONALE PER LO STUDIO E LA CURA DEI TUMORI - FONDAZIONE G. PASCALE,Istituto Nazionale Tumori IRCCS Fondazione G. Pascale,,hospital,accepted,0.93,model,24
Inmunotek S.L.,Inmunotek,,industry,accepted,0.99,model,24
Ionis Pharmaceuticals Inc.,Ionis Pharmaceuticals,,industry,accepted,0.99,model,24
Pfizer Inc,Pfizer,,industry,accepted,0.97,model,24
Stichting Amsterdam UMC,Amsterdam UMC,,hospital,accepted,0.88,model,24
Stichting Radboud universitair medisch centrum,Radboud Universitair Medisch Centrum,,hospital,accepted,0.95,model,24
UNIVERSITA CAMPUS BIOMEDICO,Università Campus Bio-Medico di Roma,,academic,accepted,0.93,model,24
Universittsklinikum Erlangen,Universitätsklinikum Erlangen,,hospital,accepted,0.85,model,24
University Of Cologne,University of Cologne,,academic,accepted,0.85,model,24
University of Leicester,University of Leicester,,academic,accepted,0.95,model,24
AZIENDA OSPEDALIERA SENESE,Azienda Ospedaliero-Universitaria Senese,,hospital,accepted,0.93,model,23
AZIENDA OSPEDALIERO-UNIVERSITARIA PISANA,Azienda Ospedaliero-Universitaria Pisana,,hospital,accepted,0.93,model,23
Aalborg University Hospital,Aalborg Universitetshospital,,hospital,accepted,0.93,model,23
"Alcon Research, Ltd.",Alcon,,industry,accepted,0.95,model,23
"Alnylam Pharmaceuticals, Inc.",Alnylam Pharmaceuticals,,industry,accepted,0.99,model,23
Fondazione IRCCS Istituto Nazionale Dei Tumori,Fondazione IRCCS Istituto Nazionale dei Tumori,,hospital,accepted,0.82,model,23
Fundacin PETHEMA,Fundación PETHEMA,,foundation,accepted,0.97,model,23
Hpitaux Universitaires de Strasbourg,Hôpitaux Universitaires de Strasbourg,,hospital,accepted,0.98,model,23
Medizinische Universitt Graz,Medizinische Universität Graz,,academic,accepted,0.93,model,23
Sanofi-aventis recherche  dveloppement,Sanofi,,industry,accepted,0.95,model,23
"Alexion Pharmaceuticals, Inc.",Alexion,,industry,accepted,0.96,model,22
Almirall Hermal GmbH,Almirall,,industry,accepted,0.95,model,22
Biotest AG,Biotest,,industry,accepted,0.98,model,22
Centre Hospitalier Universitaire Rouen,CHU de Rouen,,hospital,accepted,0.97,model,22
Centre Oscar Lambret,Centre Oscar Lambret,,hospital,accepted,0.9,model,22
Genzyme Europe BV,Genzyme,Sanofi,industry,accepted,0.97,model,22
Helsinn Healthcare SA,Helsinn,,industry,accepted,0.95,model,22
Medical University Of Graz,Medizinische Universität Graz,,academic,accepted,0.93,model,22
Schering-Plough Research Institute,Schering-Plough,,industry,accepted,0.95,model,22
Steno Diabetes Center Copenhagen,Steno Diabetes Center Copenhagen,,hospital,accepted,0.85,model,22
University Hospitals Bristol NHS Foundation Trust,University Hospitals Bristol NHS Foundation Trust,,hospital,accepted,0.9,model,22
ViiV Healthcare UK Limited,ViiV Healthcare,,industry,accepted,0.96,model,22
Academisch Ziekenhuis Leiden,Leiden University Medical Center,,hospital,accepted,0.93,model,21
CHU Toulouse,Centre Hospitalier Universitaire de Toulouse,,hospital,accepted,0.96,model,21
Centre Hospitalier Universitaire De Dijon,CHU Dijon Bourgogne,,hospital,accepted,0.96,model,21
Centre Hospitalier Universitaire De Montpellier,Centre Hospitalier Universitaire de Montpellier,,hospital,accepted,0.95,model,21
Eisai Ltd,Eisai,,industry,accepted,0.97,model,21
GlaxoSmithKline Research  Development,GlaxoSmithKline,,industry,accepted,0.97,model,21
GlaxoSmithKline S.A.,GlaxoSmithKline,,industry,accepted,0.97,model,21
"GlaxoSmithKline, S.A.",GlaxoSmithKline,,industry,accepted,0.97,model,21
Hannover Medical School,Medizinische Hochschule Hannover,,academic,accepted,0.95,model,21
IFCT,Intergroupe Francophone de Cancérologie Thoracique,,cooperative_group,accepted,0.8,model,21
Kings College London / Guys and St Thomas NHS Foundation Trust,King's College London,,academic,accepted,0.88,model,21
Taiho Oncology Inc.,Taiho Oncology,,industry,accepted,0.97,model,21
ALK-Abell A/S,ALK-Abello,,industry,accepted,0.96,model,20
AZIENDA OSPEDALIERA L. SACCO A.O. DI RILIEVO NAZIONALE,Azienda Ospedaliera L. Sacco,,hospital,accepted,0.93,model,20
Adamed Pharma S.A.,Adamed Pharma,,industry,accepted,0.99,model,20
Almirall S.A.,Almirall,,industry,accepted,0.95,model,20
CHU Clermont-Ferrand,CHU de Clermont-Ferrand,,hospital,accepted,0.97,model,20
CHU de Nmes,Centre Hospitalier Universitaire de Nîmes,,hospital,accepted,0.9,model,20
Fundacio Institut De Recerca De L'Hospital De La Santa Creu I Sant Pau,Fundació Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau,,academic,accepted,0.95,model,20
"Ionis Pharmaceuticals, Inc.",Ionis Pharmaceuticals,,industry,accepted,0.99,model,20
Ipsen Innovation,Ipsen,,industry,accepted,0.97,model,20
Newcastle upon Tyne Hospitals NHS Foundation Trust,Newcastle upon Tyne Hospitals NHS Foundation Trust,,hospital,accepted,0.95,model,20
Orion Corporation,Orion,,industry,accepted,0.95,model,20
Pierre Fabre Mdicament,Pierre Fabre,,industry,accepted,0.9,model,20
Sahlgrenska University Hospital,Sahlgrenska Universitetssjukhuset,,hospital,accepted,0.92,model,20
Sanofi Pasteur,Sanofi Pasteur,Sanofi,industry,accepted,0.93,model,20
"Shire Human Genetic Therapies, Inc.",Shire,Takeda,industry,accepted,0.93,model,20
Technische Universitt Dresden,Technische Universität Dresden,,academic,accepted,0.95,model,20
Universitair Ziekenhuis Gent,Ghent University Hospital,,hospital,accepted,0.9,model,20
University Hospital Southampton NHS Foundation Trust,University Hospital Southampton NHS Foundation Trust,,hospital,accepted,0.9,model,20
University of Leipzig,Universität Leipzig,,academic,accepted,0.96,model,20
AZIENDA OSPEDALIERA DI PADOVA,Azienda Ospedale-Università di Padova,,hospital,accepted,0.93,model,19
"Astellas Pharma Global Development, Inc.",Astellas,,industry,accepted,0.95,model,19
Baxalta Innovations GmbH,Baxalta,Takeda,industry,accepted,0.9,model,19
EORTC,EORTC,,cooperative_group,accepted,0.97,model,19
G.I.M.E.M.A. GRUPPO ITALIANO MALATTIE EMATOLOGICHE DELLADULTO,GIMEMA - Gruppo Italiano Malattie Ematologiche dell'Adulto,,cooperative_group,accepted,0.95,model,19
