raw_substance,substance_clean,substance_salt,substance_type,match_status,confidence,decided_by,n_trials
Methotrexate,Methotrexate,sodium,,accepted,1,registry,89
AZACITIDINE,Azacitidine,,,accepted,1,registry,88
Ribavirin,Ribavirin,,,accepted,1,registry,85
Tecentriq 1 200 mg concentrate for solution for infusion,Atezolizumab,,,accepted,1,registry,85
DURVALUMAB,Durvalumab,,,accepted,1,registry,84
MYCOPHENOLATE MOFETIL,Mycophenolate mofetil,hydrochloride,,accepted,1,registry,84
Prednisone,Prednisone,,,accepted,1,registry,83
METHYLPREDNISOLONE,Methylprednisolone,acetate,,accepted,1,registry,82
ml solution for injection,,,,rejected,,,82
mL solution for injection,,,,rejected,,,81
RIVAROXABAN,Rivaroxaban,,,accepted,1,registry,77
infusion,,,,rejected,,,77
Prednisolone,Prednisolone,acetate,,accepted,1,registry,76
RANIBIZUMAB,Ranibizumab,,,accepted,1,registry,76
VINORELBINE,Vinorelbine,tartrate,,accepted,1,registry,76
AMOXICILLIN,Amoxicillin,,,accepted,1,registry,75
BORTEZOMIB,Bortezomib,,,accepted,1,registry,75
LAMIVUDINE,Lamivudine,,,accepted,1,registry,75
Simvastatin,Simvastatin,,,accepted,1,registry,75
CICLOSPORIN,Ciclosporin,,,accepted,1,registry,74
INSULIN ASPART,Insulin aspart,,,accepted,1,registry,73
ETANERCEPT,Etanercept,,,accepted,1,registry,72
Propofol,Propofol,,,accepted,1,registry,72
ROPIVACAINE,Ropivacaine,hydrochloride,,accepted,1,registry,72
TEMOZOLOMIDE,Temozolomide,,,accepted,1,registry,72
FLUDARABINE,Fludarabine,phosphate,,accepted,1,registry,70
PANITUMUMAB,Panitumumab,,,accepted,1,registry,70
PROPOFOL,Propofol,,,accepted,1,registry,70
Pembrolizumab,Pembrolizumab,,,accepted,1,registry,70
GLYCOPYRRONIUM BROMIDE,Glycopyrronium,,,accepted,1,registry,69
Metformin,Metformin,hydrochloride,,accepted,1,registry,69
PLACEBO,Placebo,,placebo,accepted,1,registry,69
DOXORUBICIN HYDROCHLORIDE,Doxorubicin,hydrochloride,,accepted,1,registry,68
METFORMIN HYDROCHLORIDE,Metformin,hydrochloride,,accepted,1,registry,68
Paracetamol,Paracetamol,,,accepted,1,registry,68
Avastin 25 mg,Bevacizumab,,,accepted,1,registry,66
Etoposide,Etoposide,phosphate,,accepted,1,registry,66
Cytarabine,Cytarabine,hydrochloride,,accepted,1,registry,65
EVEROLIMUS,Everolimus,,,accepted,1,registry,65
Trastuzumab,Trastuzumab,,,accepted,1,registry,65
VINCRISTINE,Vincristine,sulfate,,accepted,1,registry,65
Ritonavir,Ritonavir,,,accepted,1,registry,64
VANCOMYCIN,Vancomycin,hydrochloride,,accepted,1,registry,63
Pregabalin,Pregabalin,,,accepted,1,registry,62
APIXABAN,Apixaban,,,accepted,1,registry,61
ENZALUTAMIDE,Enzalutamide,,,accepted,1,registry,61
EXEMESTANE,Exemestane,,,accepted,1,registry,61
FOLINIC ACID,Leucovorin,,,accepted,1,registry,61
METRONIDAZOLE,Metronidazole,hydrochloride,,accepted,1,registry,61
Not yet assigned,,,,rejected,,,61
IBUPROFEN,Ibuprofen,sodium,,accepted,1,registry,60
Fluticasone propionate,Fluticasone,,,accepted,1,registry,59
Irinotecan,Irinotecan,hydrochloride,,accepted,1,registry,59
Bortezomib,Bortezomib,,,accepted,1,registry,58
DARATUMUMAB,Daratumumab,,,accepted,1,registry,58
Adalimumab,Adalimumab,,,accepted,1,registry,57
IFOSFAMIDE,Ifosfamide,,,accepted,1,registry,57
Olaparib,Olaparib,,,accepted,1,registry,57
METFORMIN,Metformin,hydrochloride,,accepted,1,registry,56
PEGINTERFERON ALFA-2A,Peginterferon alfa-2a,,,accepted,1,registry,56
Secukinumab,Secukinumab,,,accepted,1,registry,56
TENOFOVIR DISOPROXIL FUMARATE,Tenofovir disoproxil,,,accepted,1,registry,56
docetaxel,Docetaxel,,,accepted,1,registry,56
mL,,,,rejected,,,56
LOPINAVIR,Lopinavir,,,accepted,1,registry,55
MEROPENEM,Meropenem,,,accepted,1,registry,55
Tacrolimus,Tacrolimus,,,accepted,1,registry,55
"ml, solution à diluer pour perfusion",,,,rejected,,,55
DAPAGLIFLOZIN,Dapagliflozin,,,accepted,1,registry,54
mL solution for infusion,,,,rejected,,,54
DARZALEX 1800 mg solution for injection,Daratumumab,,,accepted,1,registry,53
Empagliflozin,Empagliflozin,,,accepted,1,registry,53
FILGRASTIM,Filgrastim,,,accepted,1,registry,53
FULVESTRANT,Fulvestrant,,,accepted,1,registry,53
IVACAFTOR,Ivacaftor,,,accepted,1,registry,53
YERVOY 5 mg,Ipilimumab,,,accepted,1,registry,53
Clopidogrel,Clopidogrel,,,accepted,1,registry,52
GEMCITABINE HYDROCHLORIDE,Gemcitabine,hydrochloride,,accepted,1,registry,52
BENDAMUSTINE HYDROCHLORIDE,Bendamustine,hydrochloride,,accepted,1,registry,51
FLUDARABINE PHOSPHATE,Fludarabine,phosphate,,accepted,1,registry,51
FLUTICASONE PROPIONATE,Fluticasone,,,accepted,1,registry,51
"Gazyvaro 1,000 mg concentrate for solution for infusion.",Obinutuzumab,,,accepted,1,registry,51
OXYGEN,Oxygen,,,accepted,1,registry,51
everolimus,Everolimus,,,accepted,1,registry,51
tocilizumab,Tocilizumab,,,accepted,1,registry,51
CLOPIDOGREL,Clopidogrel,,,accepted,1,registry,50
LIDOCAINE,Lidocaine,hydrochloride,,accepted,1,registry,50
OLANZAPINE,Olanzapine,pamoate,,accepted,1,registry,50
Venetoclax,Venetoclax,,,accepted,1,registry,50
a,,,,rejected,,,50
bevacizumab,Bevacizumab,,,accepted,1,registry,50
capecitabine,Capecitabine,,,accepted,1,registry,50
ml Concentrate for Solution for Infusion,,,,rejected,,,50
ANASTROZOLE,Anastrozole,,,accepted,1,registry,49
ARIPIPRAZOLE,Aripiprazole,monohydrate,,accepted,1,registry,49
BECLOMETASONE DIPROPIONATE,Beclomethasone,dipropionate,,accepted,1,registry,49
ERLOTINIB,Erlotinib,hydrochloride,,accepted,1,registry,49
INSULIN HUMAN,Insulin human,,,accepted,1,registry,49
LIBTAYO 350 mg concentrate for solution for infusion.,Cemiplimab,,,accepted,1,registry,49
Not assigned,,,,rejected,,,49
Venclyxto 100 mg film-coated tablets,Venetoclax,,,accepted,1,registry,49
AFLIBERCEPT,Aflibercept,,,accepted,1,registry,48
FORMOTEROL FUMARATE,Formoterol,fumarate,,accepted,1,registry,48
Pemetrexed,Pemetrexed,,,accepted,1,registry,48
RoActemra 20 mg,Tocilizumab,,,accepted,1,registry,48
SIROLIMUS,Sirolimus,,,accepted,1,registry,48
ml powder for dispersion for infusion.,,,,rejected,,,48
ml solution for infusion,,,,rejected,,,48
n,,,,rejected,,,48
Aflibercept,Aflibercept,,,accepted,1,registry,47
TAMOXIFEN,Tamoxifen,citrate,,accepted,1,registry,47
carboplatin,Carboplatin,,,accepted,1,registry,47
not applicable,,,,rejected,,,47
Abraxane 5 mg,Paclitaxel,,,accepted,1,registry,46
Dupilumab,Dupilumab,,,accepted,1,registry,46
Lenalidomide,Lenalidomide,,,accepted,1,registry,46
Lenvatinib,Lenvatinib,,,accepted,1,registry,46
MIDAZOLAM,Midazolam,hydrochloride,,accepted,1,registry,46
TENOFOVIR ALAFENAMIDE,Tenofovir alafenamide,fumarate,,accepted,1,registry,46
AVELUMAB,Avelumab,,,accepted,1,registry,45
COLECALCIFEROL,Colecalciferol,,,accepted,1,registry,45
Dapagliflozin,Dapagliflozin,,,accepted,1,registry,45
Ibrutinib,Ibrutinib,,,accepted,1,registry,45
MELPHALAN,Melphalan,hydrochloride,,accepted,1,registry,45
MabThera 500 mg concentrate for solution for infusion,Rituximab,,,accepted,1,registry,45
cisplatin,Cisplatin,,,accepted,1,registry,45
ATORVASTATIN,Atorvastatin,calcium,,accepted,1,registry,44
Atorvastatin,Atorvastatin,calcium,,accepted,1,registry,44
Hydrochlorothiazide,Hydrochlorothiazide,,,accepted,1,registry,44
INSULIN LISPRO,Insulin lispro,,,accepted,1,registry,44
Not yet available,,,,rejected,,,44
PACLITAXEL ALBUMIN-BOUND,Paclitaxel,,,accepted,1,registry,44
Valsartan,Valsartan,,,accepted,1,registry,44
SEMAGLUTIDE,Semaglutide,,,accepted,1,registry,43
VENETOCLAX,Venetoclax,,,accepted,1,registry,43
VINCRISTINE SULFATE,Vincristine,sulfate,,accepted,1,registry,43
7,,,,rejected,,,42
FERRIC CARBOXYMALTOSE,Ferric carboxymaltose,,,accepted,1,registry,42
IMIQUIMOD,Imiquimod,,,accepted,1,registry,42
Lynparza 150 mg film-coated tablets,Olaparib,,,accepted,1,registry,42
Methylprednisolone,Methylprednisolone,acetate,,accepted,1,registry,42
Not Applicable,,,,rejected,,,42
Budesonide,Budesonide,,,accepted,1,registry,41
ESCITALOPRAM,Escitalopram,oxalate,,accepted,1,registry,41
Epirubicin,Epirubicin,hydrochloride,,accepted,1,registry,41
GOSERELIN,Goserelin,acetate,,accepted,1,registry,41
Lapatinib,Lapatinib,,,accepted,1,registry,41
TIOTROPIUM BROMIDE,Tiotropium,bromide,,accepted,1,registry,41
Temozolomide,Temozolomide,,,accepted,1,registry,41
Ticagrelor,Ticagrelor,,,accepted,1,registry,41
rituximab,Rituximab,,,accepted,1,registry,41
Aliskiren,Aliskiren,fumarate,,accepted,1,registry,40
DARUNAVIR,Darunavir,,,accepted,1,registry,40
DEXMEDETOMIDINE,Dexmedetomidine,hydrochloride,,accepted,1,registry,40
Denosumab,Denosumab,,,accepted,1,registry,40
ETHINYLESTRADIOL,Ethinyl estradiol,,,accepted,1,registry,40
Forxiga 10 mg film-coated tablets,Dapagliflozin propanediol,monohydrate,,accepted,0.7,model,40
GOLIMUMAB,Golimumab,,,accepted,1,registry,40
Levetiracetam,Levetiracetam,,,accepted,1,registry,40
Sorafenib,Sorafenib,tosylate,,accepted,1,registry,40
VELCADE 3.5 mg powder for solution for injection,Bortezomib,,,accepted,0.97,model,40
paclitaxel,Paclitaxel,,,accepted,1,registry,40
CANAKINUMAB,Canakinumab,,,accepted,1,registry,39
CEFTRIAXONE,Ceftriaxone,sodium,,accepted,1,registry,39
Emtricitabine,Emtricitabine,,,accepted,1,registry,39
HYDROCORTISONE,Hydrocortisone,,,accepted,1,registry,39
Insulin glargine,Insulin glargine,,,accepted,1,registry,39
Ipilimumab,Ipilimumab,,,accepted,1,registry,39
LEVOFLOXACIN,Levofloxacin,anhydrous,,accepted,1,registry,39
Upadacitinib,Upadacitinib,,,accepted,1,registry,39
Vinorelbine,Vinorelbine,tartrate,,accepted,1,registry,39
BUSULFAN,Busulfan,,,accepted,1,registry,38
CALCIUM LEVOFOLINATE,Levoleucovorin,calcium,,accepted,1,registry,38
DACARBAZINE,Dacarbazine,,,accepted,1,registry,38
DS-8201a,Trastuzumab deruxtecan,,,accepted,1,registry,38
PEGFILGRASTIM,Pegfilgrastim,,,accepted,1,registry,38
Ranibizumab,Ranibizumab,,,accepted,1,registry,38
Ropivacaine,Ropivacaine,hydrochloride,,accepted,1,registry,38
SECUKINUMAB,Secukinumab,,,accepted,1,registry,38
Sofosbuvir,Sofosbuvir,,,accepted,1,registry,38
Vincristine,Vincristine,sulfate,,accepted,1,registry,38
B,,,,rejected,,,37
EPIRUBICIN,Epirubicin,hydrochloride,,accepted,1,registry,37
Infliximab,Infliximab,,,accepted,1,registry,37
Melphalan,Melphalan,hydrochloride,,accepted,1,registry,37
RIBOCICLIB,Ribociclib,succinate,,accepted,1,registry,37
TOPOTECAN,Topotecan,hydrochloride,,accepted,1,registry,37
DEXAMETHASONE SODIUM PHOSPHATE,Dexamethasone sodium phosphate,,,accepted,1,registry,36
GLIMEPIRIDE,Glimepiride,,,accepted,1,registry,36
Melatonin,Melatonin,,,accepted,1,registry,36
SORAFENIB,Sorafenib,tosylate,,accepted,1,registry,36
dexamethasone,Dexamethasone,acetate,,accepted,1,registry,36
ml Injektionslösung,,,,rejected,,,36
ml concentraat voor oplossing voor infusie,,,,rejected,,,36
"ml, solution injectable",,,,rejected,,,36
CLINDAMYCIN,Clindamycin,,,accepted,1,registry,35
EXENATIDE,Exenatide,,,accepted,1,registry,35
Efavirenz,Efavirenz,,,accepted,1,registry,35
Etanercept,Etanercept,,,accepted,1,registry,35
LEUPRORELIN ACETATE,Leuprolide,,,accepted,1,registry,35
Letrozole,Letrozole,,,accepted,1,registry,35
Lynparza 100 mg film-coated tablets,Olaparib,,,accepted,1,registry,35
OFATUMUMAB,Ofatumumab,,,accepted,1,registry,35
PALBOCICLIB,Palbociclib,,,accepted,1,registry,35
Remifentanil,Remifentanil,hydrochloride,,accepted,1,registry,35
n.a.,,,,rejected,,,35
sorafenib,Sorafenib,tosylate,,accepted,1,registry,35
Alemtuzumab,Alemtuzumab,,,accepted,1,registry,34
CIPROFLOXACIN,Ciprofloxacin,hydrochloride,,accepted,1,registry,34
California,A/california influenza strain,,vaccine,accepted,0.7,model,34
Ciclosporin,Ciclosporin,,,accepted,1,registry,34
Ciprofloxacin,Ciprofloxacin,hydrochloride,,accepted,1,registry,34
Erbitux 5 mg,Cetuximab,,,accepted,1,registry,34
Filgrastim,Filgrastim,,,accepted,1,registry,34
Hepatitis B surface antigen,Hepatitis b virus hbsag surface protein antigen,,,accepted,1,registry,34
INSULIN DEGLUDEC,Insulin degludec,,,accepted,1,registry,34
LINEZOLID,Linezolid,,,accepted,1,registry,34
Lidocaine,Lidocaine,hydrochloride,,accepted,1,registry,34
OBINUTUZUMAB,Obinutuzumab,,,accepted,1,registry,34
RIFAMPICIN,Rifampin,,,accepted,1,registry,34
Revlimid 5 mg hard capsules,Lenalidomide,,,accepted,1,registry,34
ZOLEDRONIC ACID,Zoledronic acid,,,accepted,1,registry,34
"ml, solution pour perfusion",,,,rejected,,,34
ritonavir,Ritonavir,,,accepted,1,registry,34
sitagliptin,Sitagliptin,,,accepted,1,registry,34
5-fluorouracil,Fluorouracil,,,accepted,1,registry,33
ANAKINRA,Anakinra,,,accepted,1,registry,33
BENDAMUSTINE,Bendamustine,hydrochloride,,accepted,1,registry,33
COBICISTAT,Cobicistat,,,accepted,1,registry,33
DIPHENHYDRAMINE,Diphenhydramine,,,accepted,1,registry,33
FLUTICASONE FUROATE,Fluticasone,,,accepted,1,registry,33
Fentanyl,Fentanyl,,,accepted,1,registry,33
Guselkumab,Guselkumab,,,accepted,1,registry,33
Lamivudine,Lamivudine,,,accepted,1,registry,33
MESALAZINE,Mesalazine,,,accepted,1,registry,33
SALBUTAMOL,Salbutamol,sulfate,,accepted,1,registry,33
Sirolimus,Sirolimus,,,accepted,1,registry,33
TESTOSTERONE,Testosterone,,,accepted,1,registry,33
THIOTEPA,Thiotepa,,,accepted,1,registry,33
emtricitabine,Emtricitabine,,,accepted,1,registry,33
ABATACEPT,Abatacept,,,accepted,1,registry,32
BARICITINIB,Baricitinib,,,accepted,1,registry,32
Fludarabine,Fludarabine,phosphate,,accepted,1,registry,32
Ibuprofen,Ibuprofen,sodium,,accepted,1,registry,32
JEMPERLI 500 mg concentrate for solution for infusion,Dostarlimab,,,accepted,1,registry,32
MERCAPTOPURINE,Mercaptopurine,anhydrous,,accepted,1,registry,32
Morphine,Morphine,,,accepted,1,registry,32
None,,,,rejected,,,32
OMALIZUMAB,Omalizumab,,,accepted,1,registry,32
PAZOPANIB,Pazopanib,hydrochloride,,accepted,1,registry,32
Tocilizumab,Tocilizumab,,,accepted,1,registry,32
not yet available,,,,rejected,,,32
pemetrexed,Pemetrexed,,,accepted,1,registry,32
Celecoxib,Celecoxib,,,accepted,1,registry,31
Diclofenac,Diclofenac,,,accepted,1,registry,31
EMPAGLIFLOZIN,Empagliflozin,,,accepted,1,registry,31
FENTANYL,Fentanyl,,,accepted,1,registry,31
Imatinib,Imatinib,,,accepted,1,registry,31
LEVOBUPIVACAINE,Levobupivacaine,hydrochloride,,accepted,1,registry,31
LIDOCAINE HYDROCHLORIDE,Lidocaine,hydrochloride,,accepted,1,registry,31
MARAVIROC,Maraviroc,,,accepted,1,registry,31
PEGINTERFERON ALFA 2A,Peginterferon alfa-2a,,,accepted,0.99,model,31
PERTUZUMAB,Pertuzumab,,,accepted,1,registry,31
Pomalidomide,Pomalidomide,,,accepted,1,registry,31
Sodium chloride,Sodium chloride,,,accepted,1,registry,31
TRIPTORELIN,Triptorelin,,,accepted,1,registry,31
Tetanus toxoid,Tetanus toxoid,,,accepted,1,registry,31
Ustekinumab,Ustekinumab,,,accepted,1,registry,31
Venclyxto 50 mg film-coated tablets,Venetoclax,,,accepted,1,registry,31
cyclophosphamide,Cyclophosphamide,anhydrous,,accepted,1,registry,31
pour perfusion,,,,rejected,,,31
ABIRATERONE ACETATE,Abiraterone,,,accepted,1,registry,30
Atazanavir,Atazanavir,sulfate,,accepted,1,registry,30
Bupivacaine,Bupivacaine,hydrochloride,,accepted,1,registry,30
CLAVULANIC ACID,Clavulanic acid,,,accepted,1,registry,30
DASATINIB,Dasatinib,,,accepted,1,registry,30
Hydroxychloroquine,Hydroxychloroquine,sulfate,,accepted,1,registry,30
RALTEGRAVIR,Raltegravir,potassium,,accepted,1,registry,30
Ramipril,Ramipril,,,accepted,1,registry,30
Revlimid 10 mg hard capsules,Lenalidomide,,,accepted,1,registry,30
SALINE,Sodium chloride,,,accepted,1,registry,30
Sitagliptin,Sitagliptin,,,accepted,1,registry,30
Somatropin,Somatropin,,,accepted,1,registry,30
Zoledronic acid,Zoledronic acid,,,accepted,1,registry,30
ribavirin,Ribavirin,,,accepted,1,registry,30
ACETYLCYSTEINE,N-acetylcysteine,,,accepted,1,registry,29
Avelumab,Avelumab,,,accepted,1,registry,29
BUPIVACAINE,Bupivacaine,hydrochloride,,accepted,1,registry,29
EFAVIRENZ,Efavirenz,,,accepted,1,registry,29
FUROSEMIDE,Furosemide,,,accepted,1,registry,29
Ifosfamide,Ifosfamide,,,accepted,1,registry,29
Linezolid,Linezolid,,,accepted,1,registry,29
Oxycodone,Oxycodone,hydrochloride,,accepted,1,registry,29
RISPERIDONE,Risperidone,,,accepted,1,registry,29
SUFENTANIL,Sufentanil,citrate,,accepted,1,registry,29
Sevoflurane,Sevoflurane,,,accepted,1,registry,29
nivolumab,Nivolumab,,,accepted,1,registry,29
ASCORBIC ACID,Ascorbic acid,,,accepted,1,registry,28
ATAZANAVIR,Atazanavir,sulfate,,accepted,1,registry,28
Carboplatin 10 mg,Carboplatin,,,accepted,1,registry,28
DIMETHYL FUMARATE,Dimethyl fumarate,,,accepted,1,registry,28
DULOXETINE,Duloxetine,hydrochloride,,accepted,1,registry,28
Datopotamab deruxtecan,Datopotamab deruxtecan,,,accepted,1,registry,28
ENOXAPARIN SODIUM,Enoxaparin sodium,,,accepted,1,registry,28
HYDROCHLOROTHIAZIDE,Hydrochlorothiazide,,,accepted,1,registry,28
Hydrocortisone,Hydrocortisone,,,accepted,1,registry,28
Imnovid 1 mg hard capsules,Pomalidomide,,,accepted,1,registry,28
Infusionslösung,,,,rejected,,,28
Kyprolis 60 mg powder for solution for infusion,Carfilzomib,,,accepted,1,registry,28
Levobupivacaine,Levobupivacaine,hydrochloride,,accepted,1,registry,28
Mepolizumab,Mepolizumab,,,accepted,1,registry,28
Not available yet,,,,rejected,,,28
ONDANSETRON,Ondansetron,hydrochloride,,accepted,1,registry,28
Obinutuzumab,Obinutuzumab,,,accepted,1,registry,28
PRASUGREL,Prasugrel,,,accepted,1,registry,28
Pertactin,Bordetella pertussis pertactin autotransporter,,,accepted,0.7,model,28
Placebo to match LY,Placebo,,placebo,accepted,1,registry,28
SUNITINIB,Sunitinib,malate,,accepted,1,registry,28
TAGRISSO 80 mg film-coated tablets,Osimertinib,,,accepted,0.95,model,28
TENOFOVIR DISOPROXIL,Tenofovir disoproxil,,,accepted,1,registry,28
TRIAMCINOLONE ACETONIDE,Triamcinolone acetonide,,,accepted,1,registry,28
Tenofovir disoproxil,Tenofovir disoproxil,,,accepted,1,registry,28
Trodelvy 200 mg powder for concentrate for solution for infusion,Sacituzumab govitecan,,,accepted,1,registry,28
Venclyxto 10 mg film-coated tablets,Venetoclax,,,accepted,1,registry,28
Wisconsin,A/wisconsin influenza strain,,vaccine,accepted,0.7,model,28
amlodipine,Amlodipine,,,accepted,1,registry,28
fluticasone propionate,Fluticasone,,,accepted,1,registry,28
methotrexate,Methotrexate,sodium,,accepted,1,registry,28
ml concentrato per soluzione per infusione,,,,rejected,,,28
ALLOPURINOL,Allopurinol,sodium,,accepted,1,registry,27
CERTOLIZUMAB PEGOL,Certolizumab pegol,,,accepted,1,registry,27
DAUNORUBICIN,Daunorubicin,,,accepted,1,registry,27
Durvalumab,Durvalumab,,,accepted,1,registry,27
ECULIZUMAB,Eculizumab,,,accepted,1,registry,27
Finerenone,Finerenone,,,accepted,1,registry,27
Formoterol Fumarate,Formoterol,fumarate,,accepted,1,registry,27
Imnovid 2 mg hard capsules,Pomalidomide,,,accepted,1,registry,27
Liraglutide,Liraglutide,,,accepted,1,registry,27
MYCOPHENOLIC ACID,Mycophenolic acid,,,accepted,1,registry,27
Not Available,,,,rejected,,,27
Ofatumumab,Ofatumumab,,,accepted,1,registry,27
SALMETEROL XINAFOATE,Salmeterol,xinafoate,,accepted,1,registry,27
SEVOFLURANE,Sevoflurane,,,accepted,1,registry,27
Semaglutide,Semaglutide,,,accepted,1,registry,27
TICAGRELOR,Ticagrelor,,,accepted,1,registry,27
VALSARTAN,Valsartan,,,accepted,1,registry,27
"mL, solution injectable",,,,rejected,,,27
not yet assigned,,,,rejected,,,27
semaglutide,Semaglutide,,,accepted,1,registry,27
2506,,,,rejected,,,26
Abatacept,Abatacept,,,accepted,1,registry,26
Allopurinol,Allopurinol,sodium,,accepted,1,registry,26
Apremilast,Apremilast,,,accepted,1,registry,26
Atezolizumab,Atezolizumab,,,accepted,1,registry,26
Calcipotriol,Calcipotriene,,,accepted,1,registry,26
Dexamethason 4 mg JENAPHARM®,Dexamethasone (sodium phosphate),,,accepted,0.85,model,26
Erlotinib,Erlotinib,hydrochloride,,accepted,1,registry,26
Escitalopram,Escitalopram,oxalate,,accepted,1,registry,26
Exemestane,Exemestane,,,accepted,1,registry,26
Imnovid 4 mg hard capsules,Pomalidomide,,,accepted,1,registry,26
Jardiance 10 mg film-coated tablets,Empagliflozin,,,accepted,1,registry,26
KETAMINE,Ketamine,hydrochloride,,accepted,1,registry,26
Malaysia,A/malaysia influenza strain,,vaccine,accepted,0.6,model,26
Meropenem,Meropenem,,,accepted,1,registry,26
Mycophenolate mofetil,Mycophenolate mofetil,hydrochloride,,accepted,1,registry,26
NILOTINIB,Nilotinib,,,accepted,1,registry,26
PROGESTERONE,Progesterone,,,accepted,1,registry,26
Panitumumab,Panitumumab,,,accepted,1,registry,26
RAMIPRIL,Ramipril,,,accepted,1,registry,26
Revlimid 25 mg hard capsules,Lenalidomide,,,accepted,1,registry,26
Vancomycin,Vancomycin,hydrochloride,,accepted,1,registry,26
atorvastatin,Atorvastatin,calcium,,accepted,1,registry,26
durvalumab,Durvalumab,,,accepted,1,registry,26
ml oplossing voor injectie,,,,rejected,,,26
5-Fluorouracil,Fluorouracil,,,accepted,1,registry,25
ABIRATERONE,Abiraterone,,,accepted,1,registry,25
ALTEPLASE,Alteplase,,,accepted,1,registry,25
AMIKACIN,Amikacin,sulfate,,accepted,1,registry,25
