raw_sponsor,proposed,confidence,n_trials,review_reason,reason,channel,model_id
University of Edinburgh / NHS Lothian,University of Edinburgh,0.85,25,"high impact, middling confidence","University of Edinburgh, often co-sponsored with NHS Lothian; ACCORD is its joint research office",mint,claude-opus-5
FONDAZIONE IRCCS ISTITUTO NAZIONALE DEI TUMORI,Fondazione IRCCS Istituto Nazionale dei Tumori,0.82,24,"high impact, middling confidence",,mint,claude-opus-5
Universittsklinikum Erlangen,Universitätsklinikum Erlangen,0.85,24,"high impact, middling confidence",University hospital Erlangen and its departments/clinics,mint,claude-opus-5
HUS-Yhtymae,Helsingin ja Uudenmaan sairaanhoitopiiri (HUS),0.88,23,"high impact, middling confidence",All variants of HUS (Helsinki University Hospital group); index 4 is a joint sponsorship listing led by HUS.,mint,claude-opus-5
Stichting Amsterdam UMC,Amsterdam UMC,0.88,23,"high impact, middling confidence",,mint,claude-opus-5
Fondazione IRCCS Istituto Nazionale Dei Tumori,Fondazione IRCCS Istituto Nazionale dei Tumori,0.82,22,"high impact, middling confidence",,mint,claude-opus-5
Steno Diabetes Center Copenhagen,Steno Diabetes Center Copenhagen,0.85,22,"high impact, middling confidence",Variants of Steno Diabetes Center (Copenhagen); person string clustered with institution,mint,claude-opus-5
IFCT,Intergroupe Francophone de Cancérologie Thoracique,0.8,21,"high impact, middling confidence",IFCT is the French thoracic oncology cooperative group.,mint,claude-sonnet-5
University Of Cologne,University of Cologne,0.85,21,"high impact, middling confidence",Variant spellings and department of University of Cologne,mint,claude-opus-5
Kings College London / Guys and St Thomas NHS Foundation Trust,King's College London,0.88,21,"high impact, middling confidence",,mint,claude-opus-5
Organisation name was not entered,Organisation name was not entered,0.3,19,low confidence,Placeholder strings with no identifiable organisation,mint,claude-opus-5
Centre Hospitalier Regional De Marseille,Assistance Publique - Hôpitaux de Marseille,0.62,15,low confidence,"Both strings refer to the public hospital group of Marseille (AP-HM), formerly known as Centre Hospitalier Régional de Marseille.",mint,claude-opus-5
Centre Hospitalier Regional Universitaire,Centre Hospitalier Regional Universitaire,0.5,13,low confidence,Generic French regional university hospital name without city identifier,mint,claude-sonnet-5
Academic Medical Centre,Academic Medical Centre,0.6,12,low confidence,,mint,claude-sonnet-5
Groupe Oncologie Radiotherapie Tete Cou,Groupe Oncologie Radiotherapie Tete et Cou,0.7,12,low confidence,,mint,claude-sonnet-5
AGO Research GmbH,AGO Research,0.7,9,low confidence,,mint,claude-sonnet-5
OSPEDALE ONCOLOGICO DI BARI,Ospedale Oncologico di Bari,0.7,8,low confidence,,mint,claude-sonnet-5
Department of Medical Research,Department of Medical Research,0.3,6,low confidence,Too vague to identify parent institution,mint,claude-sonnet-5
Quralis Corp.,Quralis Corp.,0.6,6,low confidence,,mint,claude-sonnet-5
Center for Cancer Immune Therapy,Center for Cancer Immune Therapy,0.7,6,low confidence,"Same organization, variants including national/CCIT-DK abbreviation",mint,claude-sonnet-5
Summit Oxford Limited,Summit Therapeutics,0.7,6,low confidence,,mint,claude-opus-5
University Hospital,University Hospital,0.3,5,low confidence,"Generic name, cannot identify specific institution",mint,claude-sonnet-5
IMAS,IMAS,0.4,5,low confidence,Insufficient context to identify the organisation beyond the acronym IMAS,mint,claude-sonnet-5
Nrodn onkologick stav,Národní onkologický ústav,0.6,5,low confidence,"Distinct institution name, accents stripped",mint,claude-sonnet-5
IDIBAPS,IDIBAPS,0.7,5,low confidence,,mint,claude-sonnet-5
ISTITUTO C. MONDINO,Fondazione Istituto Neurologico Nazionale C. Mondino,0.7,5,low confidence,,mint,claude-sonnet-5
Pharmaplot P.C.,Pharmaplot,0.7,5,low confidence,,mint,claude-sonnet-5
USWM Ct LLC,US WorldMeds,0.7,5,low confidence,,mint,claude-sonnet-5
Dept of ped hem/onc,Unknown (Department of Pediatric Hematology/Oncology),0.3,4,low confidence,"Only a department name given, no parent institution identifiable",mint,claude-sonnet-5
University Medical Center,University Medical Center,0.3,4,low confidence,"Generic name, cannot identify specific institution",mint,claude-sonnet-5
Department of Anaesthesia,Department of Anaesthesia,0.4,4,low confidence,Too vague to identify parent institution,mint,claude-opus-5
Department of Clinical Pharmacology,Department of Clinical Pharmacology (unspecified),0.4,4,low confidence,Generic department strings with no identifiable parent institution,mint,claude-opus-5
FILO,FILO,0.5,4,low confidence,Single occurrence; likely French Innovative Leukemia Organisation cooperative group,mint,claude-sonnet-5
AMW GmbH,AMW GmbH,0.6,4,low confidence,,mint,claude-sonnet-5
Asso De Recherche Cancers Gynecologiques,ARCAGY (Association de Recherche sur les Cancers Gynecologiques),0.6,4,low confidence,,mint,claude-sonnet-5
Clinirx Tangent Research,ClinirX,0.6,4,low confidence,,mint,claude-sonnet-5
FIMABIS,FIMABIS,0.6,4,low confidence,FIMABIS is a Spanish biomedical research foundation associated with Hospital Regional Universitario de Malaga.,mint,claude-sonnet-5
Itb-Med AB,Itb-Med AB,0.6,4,low confidence,,mint,claude-sonnet-5
PROMEFARM,Promefarm,0.6,4,low confidence,,mint,claude-sonnet-5
Region Vaesterbotten / Umea University,Region Vasterbotten / Umea University,0.6,4,low confidence,"Joint sponsorship string combining two organizations, kept distinct from single-entity entry",mint,claude-sonnet-5
Venter Pharma S.L.,Venter Pharma,0.6,4,low confidence,,mint,claude-sonnet-5
Instituto De Investigacion Marques De Valdecilla,Instituto de Investigación Marqués de Valdecilla,0.65,4,low confidence,Research institute affiliated with Hospital Universitario Marqués de Valdecilla; entry 2 includes a named researcher tied to the same institution.,mint,claude-sonnet-5
Clinical Trials and Research Governance,Clinical Trials and Research Governance,0.7,4,low confidence,,mint,claude-sonnet-5
Copenhagen University Hospital,Copenhagen University Hospital,0.7,4,low confidence,Generic hospital designation,mint,claude-opus-5
Dermatologikum Hamburg,Dermatologikum Hamburg,0.7,4,low confidence,,mint,claude-sonnet-5
Diabeteszentrum Bad Lauterberg,Diabeteszentrum Bad Lauterberg,0.7,4,low confidence,,mint,claude-sonnet-5
FIBHULP,FIBHULP,0.7,4,low confidence,Both refer to Fundacion para la Investigacion Biomedica del Hospital Universitario La Paz; SERMAS is Madrid health service prefix but same foundation.,mint,claude-sonnet-5
Genera Research Ltd,Genera Research,0.7,4,low confidence,,mint,claude-sonnet-5
Groupe D'etude Therapeutique Des Affections Inflammatoires Du Tube Digestif,Groupe d'Etude Therapeutique des Affections Inflammatoires du Tube Digestif,0.7,4,low confidence,,mint,claude-sonnet-5
K-Group Beta Inc.,K-Group Beta,0.7,4,low confidence,,mint,claude-sonnet-5
Netherlands Vaccine Institute,Netherlands Vaccine Institute,0.7,4,low confidence,,mint,claude-sonnet-5
Serono International S.A.,Serono,0.7,4,low confidence,Pre-acquisition Serono International entity,mint,claude-opus-5
ARCO,ARCO,0.3,3,low confidence,Too vague to identify specific organisation,mint,claude-sonnet-5
Arthroscopic Surgery Unit,Arthroscopic Surgery Unit,0.3,3,low confidence,Insufficient context to identify parent institution,mint,claude-sonnet-5
Department of Nephrology,Department of Nephrology (unspecified),0.3,3,low confidence,too vague to identify parent institution,mint,claude-opus-5
Medicinsk Forskning,Medicinsk Forskning,0.3,3,low confidence,"Generic vague name, likely a research fund/department, insufficient info to identify parent.",mint,claude-sonnet-5
Oncology Department,Oncology Department,0.3,3,low confidence,Department string with no identifiable parent,mint,claude-opus-5
FIBICO,FIBICO,0.4,3,low confidence,No further context available to identify the organisation beyond its acronym.,mint,claude-sonnet-5
AISSM ONLUS,AISSM ONLUS,0.5,3,low confidence,Only string; appears to be an Italian charity/non-profit organisation (ONLUS).,mint,claude-sonnet-5
BIOVOMED,Biovomed,0.5,3,low confidence,"Single sponsor string, no further context available; treated as its own industry entity.",mint,claude-sonnet-5
Dermax,Dermax,0.5,3,low confidence,,mint,claude-sonnet-5
Aurealis Oy,Aurealis Oy,0.6,3,low confidence,,mint,claude-sonnet-5
Beroendecentrum Stockholm,Beroendecentrum Stockholm,0.6,3,low confidence,,mint,claude-sonnet-5
BioCis Pharma Oy,BioCis Pharma,0.6,3,low confidence,,mint,claude-sonnet-5
Biothera,Biothera,0.6,3,low confidence,"Different company (Biothera Pharmaceuticals), distinct from Bio-Thera Solutions",mint,claude-sonnet-5
CAIBER,CAIBER,0.6,3,low confidence,Spanish clinical trial research platform (Plataforma de Apoyo a la Investigación Clínica),mint,claude-sonnet-5
Cardoz AB,Cardoz,0.6,3,low confidence,,mint,claude-sonnet-5
Clinical Trial Center Aachen,Clinical Trial Center Aachen,0.6,3,low confidence,,mint,claude-opus-5
Corteria Pharmaceuticals,Corteria Pharmaceuticals,0.6,3,low confidence,,mint,claude-sonnet-5
"DSC Services, s.r.o.",DSC Services,0.6,3,low confidence,,mint,claude-sonnet-5
Danish Pain Research Center,Danish Pain Research Center,0.6,3,low confidence,,mint,claude-sonnet-5
Department of Health,Department of Health,0.6,3,low confidence,Single generic government health department reference,mint,claude-sonnet-5
Ethicare GmbH,Ethicare,0.6,3,low confidence,,mint,claude-sonnet-5
Fundacion Epic,Fundacion Epic,0.6,3,low confidence,,mint,claude-sonnet-5
Hungarian Ministry of Innovation and Technology - Representative: Hecrin Consortium,Hungarian Ministry of Innovation and Technology,0.6,3,low confidence,,mint,claude-sonnet-5
Keele University,Keele University,0.6,3,low confidence,All entries include Keele University as joint or sole sponsor with varying NHS trust partners,mint,claude-sonnet-5
Lybar a.s.,Lybar,0.6,3,low confidence,,mint,claude-sonnet-5
Merete Hdersdal,Merete Hædersdal,0.6,3,low confidence,"Appears to be a personal name, not an organisation",mint,claude-sonnet-5
Orexa B.V.,Orexa,0.6,3,low confidence,,mint,claude-sonnet-5
Præhospitalet,Præhospitalet,0.6,3,low confidence,Single string referring to a Danish prehospital emergency medical services organisation.,mint,claude-sonnet-5
Step Pharma,Step Pharma,0.6,3,low confidence,,mint,claude-sonnet-5
Betagenon AB,Betagenon AB,0.7,3,low confidence,,mint,claude-sonnet-5
Bond Avillion 2 Development LP,Bond Avillion 2 Development LP,0.7,3,low confidence,,mint,claude-sonnet-5
Chronic Obstructive Pulmonary Disease Trial Network COP:TRIN,Chronic Obstructive Pulmonary Disease Trial Network (COP:TRIN),0.7,3,low confidence,Single sponsor string representing a clinical trial network with no further identifying details.,mint,claude-sonnet-5
Colorado Prevention Center,Colorado Prevention Center,0.7,3,low confidence,,mint,claude-sonnet-5
Diamyd Medical AB,Diamyd,0.7,3,low confidence,Diamyd Medical AB and Diamyd Therapeutics AB appear to be the same corporate group under the Diamyd brand.,mint,claude-sonnet-5
Diamyd Therapeutics AB,Diamyd,0.7,3,low confidence,Diamyd Medical AB and Diamyd Therapeutics AB appear to be the same corporate group under the Diamyd brand.,mint,claude-sonnet-5
Fondazione European Myeloma Network Italy O.N.L.U.S.,Fondazione European Myeloma Network Italy,0.7,3,low confidence,,mint,claude-opus-5
Fundacin Teknon,Fundacion Teknon,0.7,3,low confidence,,mint,claude-sonnet-5
Genetix Biotherapeutics Inc.,Genetix Biotherapeutics,0.7,3,low confidence,,mint,claude-sonnet-5
Gillberg Neuropsychiatry Centre,Gillberg Neuropsychiatry Centre,0.7,3,low confidence,"Research centre, likely affiliated with a university",mint,claude-sonnet-5
Hormos Medical Ltd,Hormos Medical,0.7,3,low confidence,,mint,claude-sonnet-5
ITM Solucin GmbH,ITM Solucin,0.7,3,low confidence,,mint,claude-sonnet-5
Klinik fr Ansthesiologie und Operative Intensivmedizin Klinikum Ludwigshafen,Klinikum Ludwigshafen,0.7,3,low confidence,Department of anesthesiology and cardiology center both resolve to Klinikum Ludwigshafen,mint,claude-sonnet-5
Laboratoires S.M.B.,Laboratoires S.M.B.,0.7,3,low confidence,,mint,claude-sonnet-5
Lone Nikolajsen,Lone Nikolajsen,0.7,3,low confidence,,mint,claude-sonnet-5
Medinova AG,Medinova,0.7,3,low confidence,,mint,claude-sonnet-5
Merck Selbstmedikation GmbH,Merck,0.7,3,low confidence,"Merck Selbstmedikation GmbH is a German consumer healthcare subsidiary of Merck KGaA, Darmstadt.",mint,claude-sonnet-5
National Institute of Oncology,National Institute of Oncology,0.7,3,low confidence,,mint,claude-opus-5
Neosil Inc.,Neosil,0.7,3,low confidence,,mint,claude-sonnet-5
Oncoscience AG,Oncoscience,0.7,3,low confidence,,mint,claude-sonnet-5
Serono International SA,Serono,0.7,3,low confidence,Pre-acquisition Serono International entity,mint,claude-opus-5
Stragen France,Stragen,0.7,3,low confidence,Both reference Stragen France; second also mentions co-sponsor ChemGenex but Stragen is primary entity,mint,claude-sonnet-5
Studienzentrale AGO Austria,AGO Austria,0.7,3,low confidence,,mint,claude-sonnet-5
Summit Therapeutics Inc.,Summit Therapeutics,0.7,3,low confidence,,mint,claude-sonnet-5
"The Parker Institute, Bispebjerg and Frederiksberg Hospital, The Capital Region of Denmark",Parker Institute,0.7,3,low confidence,Named research institute with its own identity hosted at Bispebjerg and Frederiksberg Hospital,mint,claude-opus-5
Thirty Respiratory Limited,Thirty Respiratory Limited,0.7,3,low confidence,,mint,claude-sonnet-5
Turku PET Centre,Turku PET Centre,0.7,3,low confidence,,mint,claude-opus-5
Valderm ApS,Valderm,0.7,3,low confidence,,mint,claude-sonnet-5
None,Unknown,0.2,2,low confidence,No identifying information provided.,mint,claude-sonnet-5
ARTIC,ARTIC,0.3,2,low confidence,Insufficient information to identify the organisation behind acronym ARTIC.,mint,claude-sonnet-5
Department of Oncology,Oncology Department,0.3,2,low confidence,Department string with no identifiable parent,mint,claude-opus-5
Department of anesthesiology,Department of Anesthesiology,0.3,2,low confidence,Unidentifiable parent institution,mint,claude-opus-5
Dipartimento di Medicina,Dipartimento di Medicina,0.3,2,low confidence,Too vague to identify institution,mint,claude-opus-5
Gastroenterology MIDT,Gastroenterology MIDT,0.3,2,low confidence,,mint,claude-sonnet-5
Servicio de Anestesiologa y Reanimacin,Servicio de Anestesiologia y Reanimacion,0.3,2,low confidence,"Generic department name, no parent institution given",mint,claude-sonnet-5
UK fr Ansthesiologie und allgemeine Intensivmedizin,Unknown University Clinic for Anaesthesiology,0.3,2,low confidence,Too vague to identify specific institution,mint,claude-sonnet-5
Allergy Centre,Allergy Centre,0.4,2,low confidence,Too vague to identify,mint,claude-opus-5
Centre Hospitalier Universitaire,Centre Hospitalier Universitaire,0.4,2,low confidence,"Generic university hospital name without location, cannot identify specific institution",mint,claude-sonnet-5
Centre Regional Lutte Contre Le Cancer,Centre Régional de Lutte Contre le Cancer,0.4,2,low confidence,,mint,claude-sonnet-5
FFIS,FFIS,0.4,2,low confidence,"Only one occurrence, acronym without further context; likely Fundacion para la Investigacion Sanitaria.",mint,claude-sonnet-5
Fundacin para la Investigacin Biomdica,Fundación para la Investigación Biomédica,0.4,2,low confidence,Too generic to attribute to a specific foundation,mint,claude-opus-5
Fundacin para la Investigacin Biomdica del Hospital,Fundación para la Investigación Biomédica del Hospital,0.4,2,low confidence,"too vague, hospital unnamed",mint,claude-opus-5
GIMURELL,GIMURELL,0.4,2,low confidence,Insufficient information to identify the organisation beyond the acronym provided.,mint,claude-sonnet-5
"Herz-, Thorax- und Gefchirurgische Ansthesie und Intensivmedizin","Herz-, Thorax- und Gefäßchirurgische Anästhesie und Intensivmedizin",0.4,2,low confidence,"Ambiguous department name, no identifiable parent institution given",mint,claude-sonnet-5
Institut for Pharmacology and Toxicology,Department of Pharmacology and Toxicology (unspecified),0.4,2,low confidence,"Generic pharmacology/toxicology institute strings, no parent given",mint,claude-opus-5
Investigacion Independiente,Investigacion Independiente,0.4,2,low confidence,"Generic 'independent research' string, no identifiable organisation",mint,claude-sonnet-5
Joint Research Office,Joint Research Office,0.4,2,low confidence,,mint,claude-sonnet-5
Kon ordinace,Kon ordinace,0.4,2,low confidence,"Vague/unclear sponsor string, insufficient information to identify a specific organisation.",mint,claude-sonnet-5
Kvinnokliniken,Kvinnokliniken,0.4,2,low confidence,"Single vague sponsor string referring to a women's clinic department, insufficient detail to identify parent institution.",mint,claude-sonnet-5
Lung LLC,Lung LLC,0.4,2,low confidence,,mint,claude-sonnet-5
Research and Innovation Services,Research and Innovation Services,0.4,2,low confidence,"Vague generic strings, unidentifiable organisation",mint,claude-opus-5
SIAK,SIAK,0.4,2,low confidence,Acronym without sufficient context to identify the full organisation.,mint,claude-sonnet-5
A.S.L. 2,A.S.L. 2,0.5,2,low confidence,Local health authority (Azienda Sanitaria Locale) identified only generically as ASL 2,mint,claude-sonnet-5
Academic medical centre,Academic Medical Centre,0.5,2,low confidence,"Vague generic name, likely AMC Amsterdam or similar academic medical centre; insufficient specificity.",mint,claude-sonnet-5
Accare,Accare,0.5,2,low confidence,"Single unverified sponsor string, likely a healthcare/research organisation named Accare",mint,claude-sonnet-5
Allerderm,Allerderm,0.5,2,low confidence,,mint,claude-sonnet-5
CENTRO PER LA PREVENZIONE E CURA DEL TABAGISMO,Centro per la Prevenzione e Cura del Tabagismo,0.5,2,low confidence,,mint,claude-sonnet-5
Centre Hospitalier Rgional et Universitaire,Centre Hospitalier Regional et Universitaire,0.5,2,low confidence,"Ambiguous CHRU without city name, grouped together",mint,claude-sonnet-5
"DIPARTIMENTO AD ATTIVIT INTEGRATA CHIRURGICO, MEDICO, ODONTOIATRICO E DI SCIENZE MORFOLOGICHE","Dipartimento ad Attività Integrata Chirurgico, Medico, Odontoiatrico e di Scienze Morfologiche",0.5,2,low confidence,"Departmental unit, likely part of a university hospital; parent institution not specified in string.",mint,claude-sonnet-5
Department of Orthopaedics IKE,Department of Orthopaedics IKE,0.5,2,low confidence,"Same department string, likely a department but parent institution unknown; kept as-is due to insufficient info.",mint,claude-sonnet-5
GUIDOTTI,Guidotti,0.5,2,low confidence,,mint,claude-sonnet-5
Medizinische Universittsklinik,Medizinische Universitätsklinik,0.5,2,low confidence,"Generic medical university clinic name, unclear specific institution",mint,claude-sonnet-5
Middelfart Rygsektor,Middelfart Rygsektor,0.5,2,low confidence,"Single unverified sponsor string, likely a spine/back clinic department in Middelfart, Denmark; treated as its own institution due to lack of parent info.",mint,claude-sonnet-5
Pharma Holdings AS,Pharma Holdings,0.5,2,low confidence,,mint,claude-sonnet-5
"RED VFB, s.r.o.",RED VFB,0.5,2,low confidence,,mint,claude-sonnet-5
SOCIET CAMPANA DI IMMUNOTERAPIA ONCOLOGICA,Societa Campana di Immunoterapia Oncologica,0.5,2,low confidence,,mint,claude-sonnet-5
pharmaand GmbH,pharmaand,0.5,2,low confidence,,mint,claude-sonnet-5
A.S.L. TO 2,A.S.L. TO 2,0.6,2,low confidence,Italian local health authority,mint,claude-sonnet-5
ASSOCIAZIONE MALATTIE SANGUE,Associazione Malattie del Sangue,0.6,2,low confidence,,mint,claude-sonnet-5
Aalst Dermatology Group,Aalst Dermatology Group,0.6,2,low confidence,,mint,claude-opus-5
An-Institut fr Qualittssicherung in der operativen Medizin gGmbH,An-Institut für Qualitätssicherung in der operativen Medizin,0.6,2,low confidence,,mint,claude-sonnet-5
Ann Merete Mller,Ann Merete Mller,0.6,2,low confidence,,mint,claude-sonnet-5
Apcintex Limited,Apcintex Limited,0.6,2,low confidence,,mint,claude-sonnet-5
Aquilon Pharmaceuticals,Aquilon Pharmaceuticals,0.6,2,low confidence,,mint,claude-sonnet-5
Associacio Per A La Recerca Oncologica,Associacio Per a la Recerca Oncologica (APRO),0.6,2,low confidence,,mint,claude-sonnet-5
BIODRUG s.r.o.,BIODRUG,0.6,2,low confidence,,mint,claude-sonnet-5
CENTRO STUDI FADOI,Fondazione FADOI,0.6,2,low confidence,Both appear related to FADOI (Federazione Associazioni Dirigenti Ospedalieri Internisti); Centro Studi FADOI is likely its research center under the same foundation.,mint,claude-sonnet-5
CHU AMBROISE PARE,CHU Ambroise Pare,0.6,2,low confidence,,mint,claude-sonnet-5
COPSAC,COPSAC,0.6,2,low confidence,"Copenhagen Prospective Studies on Asthma in Childhood, a research entity",mint,claude-sonnet-5
Dansk Multipel Sclerose Center,Dansk Multipel Sclerose Center,0.6,2,low confidence,,mint,claude-sonnet-5
Daval International Limited,Daval International,0.6,2,low confidence,,mint,claude-sonnet-5
Diabetology Ltd,Diabetology Ltd,0.6,2,low confidence,,mint,claude-sonnet-5
Diagram B.V.,Diagram,0.6,2,low confidence,,mint,claude-sonnet-5
EctoPharma Limited,EctoPharma,0.6,2,low confidence,,mint,claude-sonnet-5
Ernesto Prez Persona,Ernesto Perez Persona,0.6,2,low confidence,"Appears to be a personal name, not an organisation",mint,claude-sonnet-5
Eurobloodnet Association,Eurobloodnet Association,0.6,2,low confidence,,mint,claude-sonnet-5
FAZ - Floridsdorf Allergy Center,FAZ - Floridsdorf Allergy Center,0.6,2,low confidence,"Single occurrence, appears to be a clinical allergy center.",mint,claude-sonnet-5
FONDAZIONE CHARTA,Fondazione Charta,0.6,2,low confidence,,mint,claude-sonnet-5
FONDAZIONE FADOI,Fondazione FADOI,0.6,2,low confidence,Both appear related to FADOI (Federazione Associazioni Dirigenti Ospedalieri Internisti); Centro Studi FADOI is likely its research center under the same foundation.,mint,claude-sonnet-5
Fundacio Parc Tauli,Fundació Parc Taulí,0.6,2,low confidence,Foundation entity,mint,claude-sonnet-5
"GB001, Inc.","GB001, Inc.",0.6,2,low confidence,,mint,claude-sonnet-5
Galenica AB,Galenica AB,0.6,2,low confidence,Swedish AB entity,mint,claude-sonnet-5
HYKS Naistensairaala,Helsinki University Hospital,0.6,2,low confidence,"HYKS Naistensairaala is the women's hospital department of Helsinki University Central Hospital (HYKS), and 'Hyks' alone likely refers to the same parent institution.",mint,claude-sonnet-5
IKEM,Institut klinické a experimentální medicíny,0.6,2,low confidence,,mint,claude-sonnet-5
ISTITUTO ONCOLOGICO ROMAGNOLO,Istituto Oncologico Romagnolo,0.6,2,low confidence,,mint,claude-sonnet-5
"ImunomedicA, a.s.","ImunomedicA, a.s.",0.6,2,low confidence,,mint,claude-sonnet-5
Institute for Biomedical Aging Research,Institute for Biomedical Aging Research,0.6,2,low confidence,,mint,claude-sonnet-5
Institute for Neurodegenerative Disorders,Institute for Neurodegenerative Disorders,0.6,2,low confidence,,mint,claude-sonnet-5
Janne Rsnen,Janne Räsänen,0.6,2,low confidence,,mint,claude-sonnet-5
Knowledge Centre for Rheumatology and Back Diseases,Knowledge Centre for Rheumatology and Back Diseases,0.6,2,low confidence,,mint,claude-sonnet-5
Lukcs s Trsa Gygyszerkereskedelmi Betti Trsasg,Lukács és Társa Gyógyszerkereskedelmi Betéti Társaság,0.6,2,low confidence,,mint,claude-sonnet-5
Lument AB,Lument AB,0.6,2,low confidence,,mint,claude-sonnet-5
MIGUEL CASARES FERNNDEZ-ALVS,Miguel Casares Fernández-Alvés,0.6,2,low confidence,"Appears to be a person's name, not an organisation.",mint,claude-sonnet-5
Mari Grnroos,Mari Grönroos,0.6,2,low confidence,"Appears to be a personal name, not an organisation.",mint,claude-sonnet-5
"Medical University, Dpt. Internal Medicin, Division of General Inteal Medicine","Medical University, Dpt. of Internal Medicine, Division of General Internal Medicine",0.6,2,low confidence,Same department with spelling/typo variants,mint,claude-sonnet-5
"Medical University, Dpt. Internal Medicine, Div. of General Internal Medicine","Medical University, Dpt. of Internal Medicine, Division of General Internal Medicine",0.6,2,low confidence,Same department with spelling/typo variants,mint,claude-sonnet-5
Mestex,Mestex,0.6,2,low confidence,"Single sponsor string, likely a pharmaceutical company.",mint,claude-sonnet-5
NAMED SRL,NAMED SRL,0.6,2,low confidence,,mint,claude-sonnet-5
Neuro3d,Neuro3d,0.6,2,low confidence,,mint,claude-sonnet-5
NeuroBiotec GmbH,NeuroBiotec,0.6,2,low confidence,,mint,claude-sonnet-5
Neurotherapia Inc.,Neurotherapia,0.6,2,low confidence,,mint,claude-sonnet-5
NoNO Inc.,NoNO,0.6,2,low confidence,,mint,claude-sonnet-5
Ordination Dr. Hommer,Dr. Hommer,0.6,2,low confidence,"Single physician practice, likely an individual-run medical office.",mint,claude-sonnet-5
Oxygen Biotech s.r.o.,Oxygen Biotech,0.6,2,low confidence,,mint,claude-sonnet-5
Paula Diguez Garca,Paula Diguez Garca,0.6,2,low confidence,"Single string appears to be a person's name, no institution given.",mint,claude-sonnet-5
Pia Jger,Pia Jäger,0.6,2,low confidence,,mint,claude-sonnet-5
Profem GmbH,Profem,0.6,2,low confidence,,mint,claude-sonnet-5
Profil Mainz GmbH  Co KG,Profil,0.6,2,low confidence,,mint,claude-sonnet-5
RECOVAC consortium,RECOVAC consortium,0.6,2,low confidence,"Standalone consortium name, no further identifying detail",mint,claude-sonnet-5
Regent Medical,Regent Medical,0.6,2,low confidence,,mint,claude-sonnet-5
Regentree LLC,Regentree,0.6,2,low confidence,,mint,claude-sonnet-5
Region Sjaelland / Reponex Pharmaceuticals A/S,Region Sjælland,0.6,2,low confidence,"joint sponsorship with Reponex, kept separate due to co-sponsor",mint,claude-sonnet-5
Respiratory and Allergy Research Unit,Respiratory and Allergy Research Unit,0.6,2,low confidence,Same unit name with minor spelling/case variants,mint,claude-sonnet-5
Salsarulo Pharma,Salsarulo Pharma,0.6,2,low confidence,,mint,claude-sonnet-5
Seahorse Scientific Services Ltd.,Seahorse Scientific Services,0.6,2,low confidence,,mint,claude-sonnet-5
Sttn zdravotn stav,Statni zdravotni ustav,0.6,2,low confidence,"Accented characters stripped; likely 'Statni zdravotni ustav' (State Health Institute), a Czech public body.",mint,claude-sonnet-5
