entity_id,canonical,legal_entity,parent,entity_type,confidence,decided_by,decided_at_utc,model_id,prompt_version,merged_into,note
ent_000028,AIO-Studien,AIO-Studien-gGmbH,,cooperative_group,0.9,model,2026-08-13T06:30:48Z,claude-opus-5,sponsor-mint-v2,,
ent_000029,AKH Linz,,,hospital,0.85,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000030,AKL Research and Development,AKL Research and Development Ltd,,industry,0.95,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000031,ALK-Abello,,,industry,0.97,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000032,ALK-Abelló,,,industry,0.96,model,2026-08-13T06:30:48Z,claude-opus-5,sponsor-mint-v2,ent_000031,Accent variant of the same company ALK-Abello.
ent_000033,ALTANA,ALTANA Pharma AG,,industry,0.9,model,2026-08-13T06:30:48Z,claude-opus-5,sponsor-mint-v2,,
ent_000034,ALX Oncology,ALX Oncology Inc. / ALX Oncology Holdings Inc.,,industry,0.95,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000035,AM-Pharma,AM-Pharma B.V.,,industry,0.97,model,2026-08-13T06:30:48Z,claude-opus-5,sponsor-mint-v2,,
ent_000036,AMAG Pharmaceuticals,"AMAG Pharmaceuticals, Inc.",,industry,0.95,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000037,AMC Medical Research,AMC Medical Research B.V.,"Amsterdam UMC, locatie AMC",industry,0.7,model,2026-08-13T06:30:48Z,claude-opus-5,sponsor-mint-v2,,
ent_000038,AMO Pharma,AMO Pharma Ltd,,industry,0.95,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000039,ANRS,Agence nationale de recherches sur le sida et les hépatites virales,Inserm,public_body,0.8,model,2026-08-13T06:30:48Z,claude-opus-5,sponsor-mint-v2,ent_000040,"ANRS is the abbreviation of ANRS Maladies Infectieuses Emergentes (the French agency, now part of Inserm); same organisation, surviving under the fuller current name with more raw strings."
ent_000040,ANRS Maladies Infectieuses Émergentes,Agence nationale de recherches sur le sida et les hépatites virales,,public_body,0.9,model,2026-08-13T06:30:48Z,claude-opus-5,sponsor-mint-v2,,
ent_000041,ANZ Breast Cancer Trials Group,ANZ Breast Cancer Trials Group Limited,,cooperative_group,0.9,model,2026-08-13T06:30:48Z,claude-opus-5,sponsor-mint-v2,,
ent_000042,AOP Orphan Pharmaceuticals,,,industry,0.95,model,2026-08-13T06:30:48Z,claude-opus-5,sponsor-mint-v2,,
ent_000043,APEIRON Biologics,APEIRON Biologics AG,,industry,0.93,model,2026-08-13T06:30:48Z,claude-opus-5,sponsor-mint-v2,,
ent_000044,ARCAGY (Association de Recherche sur les Cancers Gynecologiques),Asso De Recherche Cancers Gynecologiques,,academic,0.6,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000045,ARCAGY-GINECO,,,cooperative_group,0.93,model,2026-08-13T06:30:48Z,claude-opus-5,sponsor-mint-v2,,
ent_000046,ARIAD Pharmaceuticals,"ARIAD Pharmaceuticals, Inc.",Takeda,industry,0.95,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000047,"ARNAS Civico, Di Cristina, Benfratelli",,,hospital,0.9,model,2026-08-13T06:30:48Z,claude-opus-5,sponsor-mint-v2,,
ent_000048,ARYx Therapeutics,ARYx Therapeutics Limited,,industry,0.95,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000049,ASAC Pharmaceutical,Asac Pharmaceutical Inmunology S.A.,,industry,0.75,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000050,"ASIH Stockholm Sodra, Langbro Park",,,hospital,0.6,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000051,ASL Brescia,,,public_body,0.8,model,2026-08-13T06:30:48Z,claude-opus-5,sponsor-mint-v2,,
ent_000052,ASONMEC Asociación de Oncología Médica del Hospital de Cruces,,,foundation,0.7,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000053,ASST Grande Ospedale Metropolitano Niguarda,Azienda Ospedaliera Ospedale Niguarda Ca' Granda,,hospital,0.9,model,2026-08-13T06:30:48Z,claude-opus-5,sponsor-mint-v2,,
ent_000054,ASST degli Spedali Civili di Brescia,Azienda Socio Sanitaria Territoriale degli Spedali Civili di Brescia,,hospital,0.95,model,2026-08-13T06:30:48Z,claude-opus-5,sponsor-mint-v2,,
ent_000055,AUSL 8,,,hospital,0.5,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000056,AUSL Piacenza,,,hospital,0.9,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000057,AUSL Viterbo,,,hospital,0.85,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000058,AUVA Traumazentrum Wien,,,hospital,0.8,model,2026-08-13T06:30:48Z,claude-opus-5,sponsor-mint-v2,,
ent_000059,AVEO Pharmaceuticals,"AVEO Pharmaceuticals, Inc.",,industry,0.98,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000060,AVI BioPharma,"AVI BioPharma, Inc.",,industry,0.95,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000061,AVIR Green Hills Biotechnology,AVIR Green Hills Biotechnology Research Development Trade AG,,industry,0.9,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000062,AWD.pharma,AWD.pharma GmbH & Co KG,,industry,0.9,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000063,AZ Groeninge,vzw az groeninge,,hospital,0.95,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000064,AZ Maria Middelares,Az Maria Middelares Gent,,hospital,0.95,model,2026-08-13T06:30:48Z,claude-opus-5,sponsor-mint-v2,,
ent_000065,AZ St Augustinus,,,hospital,0.75,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000066,AZ Turnhout,,,hospital,0.9,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000067,Aalborg Universitet,,,academic,0.9,model,2026-08-13T06:30:48Z,claude-opus-5,sponsor-mint-v2,,
ent_000068,Aalborg Universitetshospital,,,hospital,0.93,model,2026-08-13T06:30:48Z,claude-opus-5,sponsor-mint-v2,,
ent_000069,Aarhus Sygehus,,,hospital,0.7,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000070,Aarhus Universitet,,,academic,0.95,model,2026-08-13T06:30:48Z,claude-opus-5,sponsor-mint-v2,,
ent_000071,Aarhus Universitetshospital,,,hospital,0.93,model,2026-08-13T06:30:48Z,claude-opus-5,sponsor-mint-v2,,
ent_000072,Aarhus University,,,academic,0.85,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,ent_000070,Hospital Danish/English names merge; university names merge separately; Aarhus Sygehus variants merge together; Skejby kept separate as a specific site.
ent_000073,Aarhus University Hospital,,,hospital,0.95,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,ent_000071,Hospital Danish/English names merge; university names merge separately; Aarhus Sygehus variants merge together; Skejby kept separate as a specific site.
ent_000074,AbbVie,AbbVie Deutschland GmbH & Co. KG,,industry,0.95,model,2026-08-13T06:30:48Z,claude-opus-5,sponsor-mint-v2,,
ent_000075,Abbott,,,industry,0.95,model,2026-08-13T06:30:48Z,claude-opus-5,sponsor-mint-v2,,
ent_000076,Abeona Therapeutics,Abeona Therapeutics Europe SL / Abeona Therapeutics Inc,,industry,0.9,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000077,Abertawe Bro Morgannwg University Health Board,,,public_body,0.85,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000078,Ability Pharmaceuticals,Ability Pharmaceuticals S.A. / S.L.,,industry,0.9,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000079,Abiogen Pharma,Abiogen Pharma S.p.A.,,industry,0.97,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000080,Abivax,,,industry,0.98,model,2026-08-13T06:30:48Z,claude-opus-5,sponsor-mint-v2,,
ent_000081,Ablative Solutions,"Ablative Solutions, Inc.",,industry,0.95,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000082,Ablynx,Ablynx NV,,industry,0.98,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000083,Aboca,Aboca S.p.A. Societa Agricola,,industry,0.9,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000084,Abraxis BioScience,"Abraxis BioScience, LLC",Celgene,industry,0.85,model,2026-08-13T06:30:48Z,claude-opus-5,sponsor-mint-v2,,
ent_000085,Acacia Pharma,Acacia Pharma Ltd,,industry,0.85,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000086,Academic Medical Center,,,hospital,0.8,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000087,Academic Medical Center Amsterdam,,,hospital,0.8,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000088,"Academic Medical Center, University of Amsterdam",,,academic,0.85,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000089,Academic Medical Centre,,,hospital,0.7,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000090,Academisch Medisch Centrum Amsterdam,,,hospital,0.9,model,2026-08-13T06:30:48Z,claude-opus-5,sponsor-mint-v2,,
ent_000091,Acceleron Pharma,Acceleron Pharma Inc.,,industry,0.98,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000092,Accord Healthcare,Accord Healthcare Ltd.,,industry,0.9,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000093,Acelyrin,Acelyrin Inc.,,industry,0.99,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000094,Acerta Pharma,Acerta Pharma B.V.,AstraZeneca,industry,0.97,model,2026-08-13T06:30:48Z,claude-opus-5,sponsor-mint-v2,,
ent_000095,Achieve Life Sciences,Achieve Life Sciences Inc.,,industry,0.99,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000096,Achillion Pharmaceuticals,"Achillion Pharmaceuticals, Inc.",,industry,0.99,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000097,Aclaris Therapeutics,"Aclaris Therapeutics, Inc.",,industry,0.98,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000098,Actavis,Actavis Group PTC ehf.,,industry,0.92,model,2026-08-13T06:30:48Z,claude-opus-5,sponsor-mint-v2,,
ent_000099,Actelion,Actelion Pharmaceuticals Ltd,Johnson & Johnson,industry,0.97,model,2026-08-13T06:30:48Z,claude-opus-5,sponsor-mint-v2,,
ent_000100,Active Biotech,Active Biotech AB,,industry,0.9,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000101,Adamas Pharmaceuticals,"Adamas Pharmaceuticals, Inc.",,industry,0.98,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000102,Adamed Pharma,Adamed Pharma S.A.,,industry,0.99,model,2026-08-13T06:30:48Z,claude-opus-5,sponsor-mint-v2,,
ent_000103,Adare Pharmaceuticals,"Adare Pharmaceuticals US, LP",,industry,0.9,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000104,Addenbrooke's Hospital,,,hospital,0.9,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000105,Addex Pharmaceuticals,Addex Pharma SA / Addex Pharmaceuticals SA,,industry,0.95,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000106,Addmedica,Addmedica S.A.S,,industry,0.95,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000107,"Adelaide and Meath Hospital, incorporating the National Children's Hospital",,,hospital,0.9,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000108,Adlai Nortye,Adlai Nortye USA Inc.,,industry,0.98,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000109,Adocia,Adocia SA,,industry,0.97,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000110,Advanced Accelerator Applications,Advanced Accelerator Applications International SA,,industry,0.9,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000111,Advanced Life Sciences,,,industry,0.8,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000112,Advenchen Laboratories,Advenchen Laboratories LLC / Advenchen Pharmaceuticals LLC,,industry,0.8,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000113,Advicenne,Advicenne Pharma SA,,industry,0.95,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000114,Aegerion Pharmaceuticals,Aegerion Pharmaceuticals Inc.,,industry,0.98,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000115,Aelis Farma,,,industry,0.9,model,2026-08-13T06:30:48Z,claude-opus-5,sponsor-mint-v2,,
ent_000116,Aerovance,Aerovance Inc,,industry,0.98,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000117,Aeterna Zentaris,Aeterna Zentaris GmbH,,industry,0.9,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000118,Affimed,Affimed GmbH,,industry,0.95,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000119,Affymax,"Affymax, Inc.",,industry,0.99,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000120,Afimmune,Afimmune Ltd.,,industry,0.98,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000121,Agenus,Agenus Inc.,,industry,0.98,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000122,Agios Pharmaceuticals,"Agios Pharmaceuticals, Inc.",,industry,0.98,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000123,Agomab Therapeutics,Agomab Spain S.L. / S.L.U.,,industry,0.9,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000124,AiCuris,AiCuris Anti-infective Cures AG / AiCuris GmbH & Co. KG,,industry,0.9,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000125,Aimmune Therapeutics,"Aimmune Therapeutics, Inc.",,industry,0.98,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000126,Aintree University Hospital NHS Foundation Trust,,,hospital,0.9,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000127,Air Liquide,Air Liquide Sante International,,industry,0.9,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000128,Aires Pharmaceuticals,"Aires Pharmaceuticals, Inc",,industry,0.95,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000129,Airway Therapeutics,Airway Therapeutics Inc.,,industry,0.9,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000130,Akari Therapeutics,Akari Therapeutics Plc,,industry,0.98,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000131,Akcea Therapeutics,"Akcea Therapeutics, Inc.",Ionis Pharmaceuticals,industry,0.95,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000132,Akela Pharma,Akela Pharma Inc,,industry,0.98,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000133,Aker BioMarine,Aker BioMarine Antarctic AS,,industry,0.9,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000134,Aker University Hospital,,,hospital,0.9,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000135,Aker universitetssykehus,,,hospital,0.6,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,ent_000134,"Aker BioMarine is a company, unrelated to the hospital. Entries 2 and 3 are English/Norwegian names of the same hospital."
ent_000136,Akershus Universitetssykehus,,,hospital,0.97,model,2026-08-13T06:30:48Z,claude-opus-5,sponsor-mint-v2,,
ent_000137,Akershus universitetssykehus,Akershus University Hospital Trust HF,,hospital,0.9,model,2026-08-13T06:30:48Z,claude-opus-5,sponsor-mint-v2,ent_000136,Case variant of the same hospital.
ent_000138,Akron Molecules,Akron Molecules GmbH,,industry,0.9,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000139,Aktion Bronchialkarzinom,Aktion Bronchialkarzinom e.V.,,charity,0.95,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000140,Albert Lecube Torello,,,individual,0.85,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000141,Albert Schweitzer Hospital,,,hospital,0.95,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000142,Albert-Ludwigs-Universität Freiburg,,,academic,0.8,model,2026-08-13T06:30:48Z,claude-opus-5,sponsor-mint-v2,,
ent_000143,Alberto Forteza,,,individual,0.75,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000144,Albireo,Albireo AB,,industry,0.95,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000145,Alcon,,,industry,0.95,model,2026-08-13T06:30:48Z,claude-opus-5,sponsor-mint-v2,,
ent_000146,Alder BioPharmaceuticals,"Alder BioPharmaceuticals, Inc.",,industry,0.95,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000147,Alder Hey Children's NHS Foundation Trust,,,hospital,0.95,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000148,Alector,Alector LLC / Alector Inc.,,industry,0.95,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000149,Alexion,"Alexion Pharmaceuticals, Inc.",,industry,0.96,model,2026-08-13T06:30:48Z,claude-opus-5,sponsor-mint-v2,,
ent_000150,Alfa Wassermann,Alfa Wassermann S.p.A.,,industry,0.95,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000151,Alfasigma,Alfasigma S.p.A.,,industry,0.95,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000152,Alfred E. Tiefenbacher,Alfred E. Tiefenbacher GmbH & Co. KG,,industry,0.95,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000153,Alfred Health,,,hospital,0.9,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000154,Algemeen Ziekenhuis Delta,,,hospital,0.9,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000155,Algemeen Ziekenhuis Rivierenland,,,hospital,0.9,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000156,Algeta,Algeta ASA,,industry,0.95,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000157,AlgiPharma,AlgiPharma AS,,industry,0.95,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000158,Alimentiv,Alimentiv Inc.,,industry,0.98,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000159,Alimera Sciences,Alimera Sciences Europe Limited,,industry,0.95,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000160,Alios BioPharma,"Alios BioPharma, Inc.",,industry,0.95,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000161,Alkahest,"Alkahest, Inc.",,industry,0.99,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000162,Alkermes,,,industry,0.98,model,2026-08-13T06:30:48Z,claude-opus-5,sponsor-mint-v2,,
ent_000163,All-Ireland Cooperative Oncology Research Group,ICORG,,cooperative_group,0.96,model,2026-08-13T06:30:48Z,claude-opus-5,sponsor-mint-v2,,
ent_000164,Allakos,Allakos Inc.,,industry,0.99,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000165,Allecra Therapeutics,Allecra Therapeutics SAS,,industry,0.95,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000166,Allergan,,,industry,0.95,model,2026-08-13T06:30:48Z,claude-opus-5,sponsor-mint-v2,,
ent_000167,Allergopharma,Allergopharma Joachim Ganzer KG,Merck KGaA,industry,0.95,model,2026-08-13T06:30:48Z,claude-opus-5,sponsor-mint-v2,,
ent_000168,Allergy Centre,,,unknown,0.4,model,2026-08-13T06:30:48Z,claude-opus-5,sponsor-mint-v2,,
ent_000169,Allergy Therapeutics,Allergy Therapeutics (UK) Ltd,,industry,0.96,model,2026-08-13T06:30:48Z,claude-opus-5,sponsor-mint-v2,,
ent_000170,Allgemeines Krankenhaus Wien,,,hospital,0.75,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,ent_000171,1/2 accent variant; 3/7 same AKH Vienna; 4/5 Wilhelminenspital same hospital; others distinct.
ent_000171,Allgemeines Krankenhaus der Stadt Wien,,,hospital,0.8,model,2026-08-13T06:30:48Z,claude-opus-5,sponsor-mint-v2,,
ent_000172,Alliance Foundation Trials,,,cooperative_group,0.8,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000173,Alliance Pharmaceuticals,Alliance Pharmaceuticals Ltd,,industry,0.9,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000174,Alliance pour la recherche en cancerologie,,,unknown,0.4,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000175,Alloksys Life Sciences,Alloksys Life Sciences B.V.,,industry,0.95,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000176,Allos Therapeutics,"Allos Therapeutics, Inc.",,industry,0.98,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000177,Alma Mater Studiorum Universita di Bologna,,,academic,0.9,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
