raw_sponsor,entity_id,confidence,channel,reason,decided_by,decided_at_utc,model_id,prompt_version
4moving Biotech,ent_003516,0.8,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
7TM Pharma A/S,ent_003517,0.9,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
858 Therapeutics Inc.,ent_003518,0.8,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
89bio Inc.,ent_000004,0.99,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
"89bio, Inc.",ent_000004,0.99,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
A. Carlsson Research AB,ent_003519,0.8,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
A. MENARINI I.F.R.,ent_002168,0.95,mint,All are Menarini Group subsidiaries/legal variants,model,2026-08-13T19:14:28Z,claude-opus-5,sponsor-mint-v2
"A. MENARINI PHARMA U.K.,",ent_002168,0.95,mint,All are Menarini Group subsidiaries/legal variants,model,2026-08-13T19:14:28Z,claude-opus-5,sponsor-mint-v2
A. Menarini Farmaceutica Internazionale s.r.l.,ent_002168,0.9,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
A. N. M. C. O. - FONDAZIONE ITALIANA LOTTA MALATTIE CARDIOVASCOLARI,ent_000005,0.9,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
A. O. Istituti Ospitalieri di Cremona,ent_000372,0.93,mint,,model,2026-08-13T19:14:28Z,claude-opus-5,sponsor-mint-v2
A.C.O.M. Advanced Center Oncology Macerata S.r.l.,ent_003521,0.7,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
A.C.R.A.F. S.p.A.,ent_000220,0.85,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
A.C.R.A.F. S.p.A. Aziende Chimiche Riunite Angelini Francesco,ent_000220,0.96,mint,All variants of the Angelini/ACRAF pharmaceutical group,model,2026-08-13T19:14:28Z,claude-opus-5,sponsor-mint-v2
A.I.E.O.P.,ent_003522,0.6,mint,"Associazione Italiana Ematologia Oncologia Pediatrica, an Italian pediatric hemato-oncology cooperative group",model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
A.I.E.O.P. - ASSOCIAZIONE  ITALIANA EMATOLOGIA ONCOLOGIA PEDIATRICA,ent_000318,0.97,mint,,model,2026-08-13T19:14:28Z,claude-opus-5,sponsor-mint-v2
"A.I.L. ASSOCIAZIONE ITALIANA CONTRO LE LEUCEMIE, LINFOMI E MIELOMI",ent_000323,0.8,mint,AIL national and its Catania local section,model,2026-08-13T19:14:28Z,claude-opus-5,sponsor-mint-v2
"A.I.Virtanen Insitute, University of Kuopio",ent_003229,0.9,mint,A.I. Virtanen Institute is part of University of Kuopio,model,2026-08-13T19:14:28Z,claude-opus-5,sponsor-mint-v2
A.N.M.C.O.-Fondazione Italiana lotta Malattie Cardiovasc,ent_000005,0.9,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
A.O PAPA GIOVANNI XXIII- BERGAMO,ent_000382,0.9,mint,"Same hospital in Bergamo, including a department reporting to it",model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
A.O. OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,ent_003954,0.9,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
A.O. SAN GERARDO,ent_000387,0.95,mint,,model,2026-08-13T19:14:28Z,claude-opus-5,sponsor-mint-v2
A.O. SAN GERARDO DI MONZA,ent_000387,0.95,mint,,model,2026-08-13T19:14:28Z,claude-opus-5,sponsor-mint-v2
A.O. San Gerardo di Monza,ent_000387,0.95,mint,,model,2026-08-13T19:14:28Z,claude-opus-5,sponsor-mint-v2
A.O. UNIVERSITARIA INTEGRATA DI VERONA,ent_000393,0.85,mint,Same Verona university hospital; research centre is part of it,model,2026-08-13T19:14:28Z,claude-opus-5,sponsor-mint-v2
A.O.U. Universit degli Studi della Campania Luigi Vanvitelli,ent_000394,0.8,mint,"AOU of Second University of Naples, now Vanvitelli",model,2026-08-13T19:14:28Z,claude-opus-5,sponsor-mint-v2
"A.P. Pharma, Inc.",ent_003523,0.9,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
A.R.T.I.C Association pour la Recherche de Thrapeutiques Innovantes en Cancrologie,ent_000006,0.9,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
A.R.T.I.C. Association pour la Recherche de Thrapeutiques Innovantes en Cancrologie,ent_000006,0.9,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
A.S.L. 2,ent_003524,0.5,mint,Local health authority (Azienda Sanitaria Locale) identified only generically as ASL 2,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
A.S.L. 2 SAVONA,ent_003525,0.7,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
A.S.L. TO 2,ent_000007,0.6,mint,Italian local health authority,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
A.T. Development Switzerland SARL,ent_000008,0.7,mint,,model,2026-08-13T19:14:28Z,claude-opus-5,sponsor-mint-v2
A.U.S.L. RIMINI,ent_003979,0.8,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
A.Vogel AG,ent_003526,0.9,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
AB ANALITICA SRL,ent_003527,0.8,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
AB SCIENCE,ent_003528,0.9,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
AB Science,ent_003528,0.9,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
AB science,ent_003528,0.9,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
AB-BIOTICS,ent_000009,0.95,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
AB-BIOTICS S.A.,ent_000009,0.95,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
AB-Biotics S.A.,ent_000009,0.95,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
AB2 Bio Ltd.,ent_000010,0.9,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
AB2 Bio S.A.,ent_000010,0.9,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
ABBOTT,ent_000075,0.95,mint,All variants and national subsidiaries of Abbott Laboratories,model,2026-08-13T19:14:28Z,claude-opus-5,sponsor-mint-v2
ABCSG - Austrian Breast  Colorectal Cancer Study Group,ent_000356,0.92,mint,,model,2026-08-13T19:14:28Z,claude-opus-5,sponsor-mint-v2
ABCSG Austrian Breast  Colorectal Cancer Study Group,ent_000356,0.92,mint,,model,2026-08-13T19:14:28Z,claude-opus-5,sponsor-mint-v2
ABCSG GmbH / Alliance Foundation Trials LLC,ent_000172,0.8,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
ABIOGEN PHARMA,ent_000079,0.97,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
ABIOGEN PHARMA S.P.A.,ent_000079,0.97,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
ABIVAX,ent_000080,0.98,mint,,model,2026-08-13T19:14:28Z,claude-opus-5,sponsor-mint-v2
ABOCA,ent_000083,0.9,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
ABOCA S.P.A. SOCIET AGRICOLA,ent_000083,0.9,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
ABScience,ent_003528,0.7,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
ABX GmbH,ent_000011,0.75,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
AC Immune S.A.,ent_000012,0.98,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
AC Immune SA,ent_000012,0.98,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
ACADEMIC MEDICAL CENTER,ent_000086,0.6,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
ACADEMIC MEDICAL CENTRE AMSTERDAM,ent_000201,0.88,mint,,model,2026-08-13T19:14:28Z,claude-opus-5,sponsor-mint-v2
ACADIA Pharmaceuticals Inc,ent_000013,0.98,mint,,model,2026-08-13T19:14:28Z,claude-opus-5,sponsor-mint-v2
ACADIA Pharmaceuticals Inc.,ent_000013,0.98,mint,,model,2026-08-13T19:14:28Z,claude-opus-5,sponsor-mint-v2
ACCELERON PHARMA INC.,ent_000091,0.98,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
"ACCESS Pharmaceuticals, Inc",ent_003529,0.9,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
ACCORD Academic and Clinical Central Office for Research  Development / ACCORD Academic and Clinical Central Office for Research  Development,ent_000014,0.75,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
"ACCORD University of Edinburgh / ACCORD, NHS Lothian",ent_003220,0.85,mint,"University of Edinburgh, often co-sponsored with NHS Lothian; ACCORD is its joint research office",model,2026-08-13T19:14:28Z,claude-opus-5,sponsor-mint-v2
ACCORD office / NHS Lothian RD Office,ent_000014,0.75,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
ACCURE TX FRANCE SASU,ent_003591,0.7,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
ACE ApS,ent_000015,0.85,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
ACE Aps,ent_000015,0.85,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
"ACELYRIN, INC.",ent_000093,0.99,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
ACHG-K.U.Leuven,ent_001897,0.6,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
ACO HUD NORDIC AB,ent_000016,0.98,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
ACO Hud Nordic AB,ent_000016,0.98,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
ACO-ASSO,ent_000017,0.3,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
"ACORN Research, LLC",ent_003531,0.9,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
ACOSOG,ent_003746,0.8,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
ACRAF S.p.A.,ent_000220,0.8,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
ACROSS,ent_000018,0.9,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
ACROSS Associaci Catalana de Recerca Oncolgica i les seves implicacions Sanitries i Socials,ent_000018,0.9,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
ACROSS Associaci catalana per la recerca oncolgica i les seves implicacions sanitries i socials,ent_000018,0.9,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
ACROSS Group,ent_000018,0.9,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
ACROSS: Associaci Catalana per a la Recerca Oncolgica i les seves implicacions sanitries i Socials,ent_000018,0.9,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
ACROSS:Associaci Catalana per a la Recerca Oncolgica i les seves implicacions sanitries i Socials,ent_000018,0.9,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
ACS Biomarker,ent_003532,0.6,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
"ACT BIOTECH, Inc",ent_003533,0.7,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
ACTA,ent_003534,0.3,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
ACTELION PHARMACEUTICALS ITALIA,ent_000099,0.97,mint,All variants and national subsidiaries of Actelion Pharmaceuticals,model,2026-08-13T19:14:28Z,claude-opus-5,sponsor-mint-v2
ACTELION PHARMACEUTICALS LTD,ent_000099,0.97,mint,All variants and national subsidiaries of Actelion Pharmaceuticals,model,2026-08-13T19:14:28Z,claude-opus-5,sponsor-mint-v2
ACTELION Pharmaceuticals France,ent_000099,0.97,mint,All variants and national subsidiaries of Actelion Pharmaceuticals,model,2026-08-13T19:14:28Z,claude-opus-5,sponsor-mint-v2
ACTELION Pharmaceuticals Ltd,ent_000099,0.97,mint,All variants and national subsidiaries of Actelion Pharmaceuticals,model,2026-08-13T19:14:28Z,claude-opus-5,sponsor-mint-v2
ACTELION Pharmaceuticals Ltd.,ent_000099,0.97,mint,All variants and national subsidiaries of Actelion Pharmaceuticals,model,2026-08-13T19:14:28Z,claude-opus-5,sponsor-mint-v2
ACTELION Pharmacteuticals Ltd.,ent_000099,0.97,mint,All variants and national subsidiaries of Actelion Pharmaceuticals,model,2026-08-13T19:14:28Z,claude-opus-5,sponsor-mint-v2
ACTICOR BIOTECH,ent_003603,0.9,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
ADAMED Pharma S.A.,ent_000102,0.99,mint,,model,2026-08-13T19:14:28Z,claude-opus-5,sponsor-mint-v2
ADC Therapeutics S.A.,ent_000019,0.98,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
ADC Therapeutics SA,ent_000019,0.98,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
ADCendo ApS,ent_003535,0.9,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
ADELAIDA LAMAS FERREIRO,ent_003622,0.9,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
ADENOBIO N.V.,ent_003623,0.8,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
ADIENNE SA,ent_003627,0.8,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
ADRFARCP,ent_003536,0.3,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
ADVENTRX Pharmaceuticals Inc,ent_003537,0.9,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
ADVICENNE PHARMA SA,ent_000113,0.95,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
AEGERION PHARMACEUTICALS,ent_000114,0.98,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
AELIX Therapeutics,ent_003538,0.9,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
AESCA Pharma Ges.m.b.H,ent_000020,0.95,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
AESCA Pharma GesmbH,ent_000020,0.95,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
AESCA Pharma GmbH,ent_000020,0.95,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
AESCULAPIUS FARMACEUTICI S.R.L.,ent_003648,0.9,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
AEterna Zentaris GmbH,ent_000117,0.9,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
AFAR,ent_003539,0.3,mint,Insufficient context to identify the specific organisation behind the acronym AFAR.,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
AFFiRiS AG,ent_003540,0.9,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
AFT Pharmaceuticals Ltd,ent_000022,0.95,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
"AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS, M.P. CSIC",ent_004364,0.9,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
AGI Therapeutics Limited,ent_000023,0.9,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
AGI Therapeutics Limtied,ent_000023,0.9,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
AGI Therapeutics Research Ltd,ent_000023,0.9,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
AGMT,ent_000024,0.85,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
AGMT  Arbeitsgemeinschaft medikamentse Tumortherapie gemeinntzige GmbH,ent_000262,0.97,mint,All variants of AGMT Austrian oncology study group,model,2026-08-13T19:14:28Z,claude-opus-5,sponsor-mint-v2
AGMT - Arbeitsgemeinschaft Medikamentse Tumortherapie Gemeinntzige GmbH,ent_000262,0.97,mint,All variants of AGMT Austrian oncology study group,model,2026-08-13T19:14:28Z,claude-opus-5,sponsor-mint-v2
AGMT gGmbH,ent_000024,0.85,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
AGMT gemeinntzige GmbH,ent_000262,0.97,mint,All variants of AGMT Austrian oncology study group,model,2026-08-13T19:14:28Z,claude-opus-5,sponsor-mint-v2
AGMT: Arbeitsgemeinschaft Medikamentse Tumortherapie,ent_000262,0.97,mint,All variants of AGMT Austrian oncology study group,model,2026-08-13T19:14:28Z,claude-opus-5,sponsor-mint-v2
AGO Research GmbH,ent_000026,0.7,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
"AHSC Joint Research Office, Imperial College",ent_001690,0.9,mint,University and its research offices/AHSC,model,2026-08-13T19:14:28Z,claude-opus-5,sponsor-mint-v2
AIBILI,ent_000027,0.95,mint,Same acronym and full name variants,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
AIBILI  Association for Innovation and Biomedical Research on Light and Image,ent_000027,0.95,mint,Same acronym and full name variants,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
AIBILI - Association for Innovation and Biomedical Research on Light and Image,ent_000027,0.95,mint,Same acronym and full name variants,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
AIBILI EVICR.net,ent_000027,0.5,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
AIGO - Associazione Italiana Gastroenterologi ed Endoscopisti DIgestivi Ospedalieri,ent_000320,0.95,mint,,model,2026-08-13T19:14:28Z,claude-opus-5,sponsor-mint-v2
AIL CATANIA ASSOCIAZIONE ITALIANA CONTRO LEUCEMIE-LINFOMI E MIELOMA ONLUS,ent_000323,0.8,mint,AIL national and its Catania local section,model,2026-08-13T19:14:28Z,claude-opus-5,sponsor-mint-v2
AININCAR,ent_003668,0.5,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
AIO Studien gGmbH,ent_000028,0.9,mint,Variant spellings of AIO-Studien gGmbH; index 6 co-listed with NCI but AIO is the sponsor entity,model,2026-08-13T19:14:28Z,claude-opus-5,sponsor-mint-v2
AIO-Studien gGmbH,ent_000028,0.9,mint,Variant spellings of AIO-Studien gGmbH; index 6 co-listed with NCI but AIO is the sponsor entity,model,2026-08-13T19:14:28Z,claude-opus-5,sponsor-mint-v2
AIO-Studien-gGmbH,ent_000028,0.9,mint,Variant spellings of AIO-Studien gGmbH; index 6 co-listed with NCI but AIO is the sponsor entity,model,2026-08-13T19:14:28Z,claude-opus-5,sponsor-mint-v2
AIO-Studien-gGmbh,ent_000028,0.9,mint,Variant spellings of AIO-Studien gGmbH; index 6 co-listed with NCI but AIO is the sponsor entity,model,2026-08-13T19:14:28Z,claude-opus-5,sponsor-mint-v2
AIR  LIQUIDE SANTE INTERNATIONAL,ent_000127,0.9,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
AIR LIQUIDE,ent_000127,0.9,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
AIR LIQUIDE SANTE INTERNATIONAL,ent_000127,0.9,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
AIR LIQUIDE Sant INTERNATIONAL,ent_000127,0.9,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
AISAR ASSOCIAZIONE ITALIANA PER LO STUDIO DEGLI ANTIMICROBICI E DELLE RESISTENZE,ent_000324,0.95,mint,,model,2026-08-13T19:14:28Z,claude-opus-5,sponsor-mint-v2
AISF - ASSOCIAZIONE ITALIANA PER LO STUDIO DEL FEGATO,ent_000326,0.8,mint,,model,2026-08-13T19:14:28Z,claude-opus-5,sponsor-mint-v2
AISSM ONLUS,ent_003542,0.5,mint,Only string; appears to be an Italian charity/non-profit organisation (ONLUS).,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
AKELA Pharma Inc.,ent_000132,0.98,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
AKH Linz,ent_000029,0.85,mint,Department resolves to parent hospital; General Hospital Linz is English name for AKH Linz,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
AKH Vienna,ent_000171,0.8,mint,AKH/General Hospital Vienna,model,2026-08-13T19:14:28Z,claude-opus-5,sponsor-mint-v2
AKH Wien,ent_000171,0.7,mint,,model,2026-08-13T19:14:28Z,claude-opus-5,sponsor-mint-v2
"AKH Wien, Klinik fr Innere Medizin I, Onkologie",ent_000171,0.7,mint,,model,2026-08-13T19:14:28Z,claude-opus-5,sponsor-mint-v2
"AKH Wien, Universittsklinik fr Physikalische Medizin und Rehabilitation",ent_000171,0.7,mint,,model,2026-08-13T19:14:28Z,claude-opus-5,sponsor-mint-v2
AKL Research and Development Ltd,ent_000030,0.95,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
AL-S Pharma AG,ent_003543,0.6,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
ALBIMMUNE S.L.,ent_003686,0.8,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
ALCON ITALIA,ent_000145,0.95,mint,,model,2026-08-13T19:14:28Z,claude-opus-5,sponsor-mint-v2
"ALCON RESEARCH, LTD.",ent_000145,0.95,mint,,model,2026-08-13T19:14:28Z,claude-opus-5,sponsor-mint-v2
ALCON Research Ltd,ent_000145,0.95,mint,,model,2026-08-13T19:14:28Z,claude-opus-5,sponsor-mint-v2
ALEJANDRA GARCIA BOTELLA,ent_003690,0.9,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
ALEXION PHARMA INTERNATIONAL SARL,ent_000149,0.96,mint,All variants of Alexion Pharmaceuticals and its subsidiaries,model,2026-08-13T19:14:28Z,claude-opus-5,sponsor-mint-v2
ALEXION PHARMACEUTICALS INCORPORATED,ent_000149,0.96,mint,All variants of Alexion Pharmaceuticals and its subsidiaries,model,2026-08-13T19:14:28Z,claude-opus-5,sponsor-mint-v2
"ALEXION PHARMACEUTICALS, INC.",ent_000149,0.96,mint,All variants of Alexion Pharmaceuticals and its subsidiaries,model,2026-08-13T19:14:28Z,claude-opus-5,sponsor-mint-v2
ALFA WASSERMANN,ent_000150,0.95,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
ALFASIGMA CZECH s.r.o.,ent_000151,0.95,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
ALFASIGMA S.P.A.,ent_000151,0.95,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
ALFRED E. TIEFENBACHER GMBH  CO. KG,ent_000152,0.95,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
ALFREDO TAGARRO GARCIA,ent_003700,0.9,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
ALIANZA ESPAOLA DE FAMILIAS DE VON HIPPEL-LINDAU,ent_003705,0.8,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
ALIO MEDICA Sp. z o.o.,ent_003544,0.6,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
ALK Abell A/S,ent_000031,0.96,mint,"All variants of ALK-Abelló group (Danish A/S, Spanish S.A., German GmbH).",model,2026-08-13T19:14:28Z,claude-opus-5,sponsor-mint-v2
