raw_substance,active_substance_clean,match_status,match_score,match_source,match_reason,n_occurrences
Skeletal Muscle Derived Cells,Seletalisib,unknown,84,fuzzy:llm_reviewed,fuzzy match (jw similarity 84%),3
Clulas mononucleadas,NA,unknown,0,NA,no reliable match,3
dendritic cells,NA,unknown,0,NA,no reliable match,3
rdESAT-6,NA,unknown,0,NA,no reliable match,3
2009 NYMC X-181,NA,unknown,0,NA,no reliable match,3
2009 NYMC X-187,NA,unknown,0,NA,no reliable match,3
AUY922,Luminespib,review,64,chembl,alias match (chembl_synonym): 'auy922' → 'luminespib',3
Platelet-rich plasma PRP,Platelets,unknown,83,fuzzy:llm_reviewed,fuzzy match (jw similarity 83%),3
gpASIT+TM,NA,unknown,0,NA,no reliable match,3
INN not available,NA,unknown,0,NA,no reliable match,3
"Ethylhydrogenfumarat, Calciumsalz",NA,unknown,0,NA,no reliable match,3
"Ethylhydrogenfumarat, Magnesiumsalz",NA,unknown,0,NA,no reliable match,3
"Ethylhydrogenfumarat, Zinksalz",NA,unknown,0,NA,no reliable match,3
blood DC loaded with tumor peptides,NA,unknown,0,NA,no reliable match,3
16-alpha-18F-17-beta-estradiol,NA,unknown,0,NA,no reliable match,3
LY2495655 for Injection,Landogrozumab,review,63,chembl,alias match (chembl_synonym): 'ly2495655' → 'landogrozumab',3
lipopolysaccharide,NA,unknown,0,NA,no reliable match,3
ChAd63 ME-TRAP AdCh63 ME-TRAP,NA,unknown,0,NA,no reliable match,3
Allergovit Birch,NA,unknown,0,NA,no reliable match,3
Innate repair activator peptide,Vinconate,review,89,fuzzy:chembl,fuzzy match (jw similarity 89%),3
Gaviscon Double Action Mint,NA,unknown,0,NA,no reliable match,3
Human C3A hepatoblastoma cells,NA,unknown,0,NA,no reliable match,3
Hawthorn berries liquid extract Ethanol 93 V,NA,unknown,0,NA,no reliable match,3
"V DER native 1:1,3-1,5",NA,unknown,0,NA,no reliable match,3
ROBILAS,Brinolase,unknown,83,fuzzy:chembl,fuzzy match (jw similarity 83%),3
Heilwasser,NA,unknown,0,NA,no reliable match,3
PRGF,NA,unknown,0,NA,no reliable match,3
"allogeneic, umbilical cord blood-derived, ex vivo expanded, hematopoietic CD133+ cells",NA,unknown,0,NA,no reliable match,3
"allogeneic, umbilical cord blood-derived, non-expanded, hematopoietic CD133- cells",NA,unknown,0,NA,no reliable match,3
RNS60,NA,unknown,0,NA,no reliable match,3
Sulforadex,Fludorex,unknown,83,fuzzy:chembl,fuzzy match (jw similarity 83%),3
REFINED OLIVE OIL AND REFINED SOYA OIL,Trofinetide,unknown,80,fuzzy:epar,fuzzy match (jw similarity 80%),3
68-Ga-NODAGA-K40-Exendin4,NA,unknown,0,NA,no reliable match,3
"PRICK TEST Lieschgras LETI, 30 HEP",NA,unknown,0,NA,no reliable match,3
"PRICK TEST Birkenpollen LETI, 30 HEP",NA,unknown,0,NA,no reliable match,3
"PRICK TEST Hundeepithel LETI, 30 HEP",NA,unknown,0,NA,no reliable match,3
"PRICK TEST Alternaria alternata LETI, 30 HEP",NA,unknown,0,NA,no reliable match,3
no INN available,NA,unknown,0,NA,no reliable match,3
JNJ-53718678-AAA,NA,unknown,0,NA,no reliable match,3
clulas mesenquimales troncales adultas autlogas de medula sea expandidas,NA,unknown,0,NA,no reliable match,3
ApoA-I,NA,unknown,0,NA,no reliable match,3
Sph,NA,unknown,0,NA,no reliable match,3
CSCC_ASC,NA,unknown,0,NA,no reliable match,3
mongersen,Tominersen,review,85,fuzzy:chembl,fuzzy match (jw similarity 85%),3
OctaplasLG,NA,unknown,0,NA,no reliable match,3
Not established yet,NA,unknown,0,NA,no reliable match,3
LEO 43204 Gel,Ingenol disoxate,review,63,chembl,alias match (chembl_synonym): 'leo 43204' → 'ingenol disoxate',3
ALK762 Peanut,NA,unknown,0,NA,no reliable match,3
Iron III hydroxide hydroxyethyl starch glucoheptonic acid complex,NA,unknown,0,NA,no reliable match,3
Humacytes Human Acellular Vessel,NA,unknown,0,NA,no reliable match,3
CD19CAR,NA,unknown,0,NA,no reliable match,3
N-TEC,NA,unknown,0,NA,no reliable match,3
HNO,NA,unknown,0,NA,no reliable match,3
Montanide ISA51,Amonafide,review,85,fuzzy:chembl,fuzzy match (jw similarity 85%),3
MODIFIED ALLERGEN TYROSINE-ADSORBED,NA,unknown,0,NA,no reliable match,3
rAAV8-hUGT1A1,NA,unknown,0,NA,no reliable match,3
ProTrans,Proroxan,unknown,83,fuzzy:chembl,fuzzy match (jw similarity 83%),3
DCR-L1360,NA,unknown,0,NA,no reliable match,3
to be confirmed,NA,unknown,0,NA,no reliable match,3
TBC,NA,unknown,0,NA,no reliable match,3
AGuIX,NA,unknown,0,NA,no reliable match,3
CD34+CELLS,NA,unknown,0,NA,no reliable match,3
ALLOGENEIC ADIPOSE TISSUE-DERIVED MESENCHYMAL STEM CELLS EXPANDED,Allogeneic equine adipose-derived mesenchymal stem cells,unknown,82,fuzzy:epar,fuzzy match (jw similarity 82%),3
"DISTILLATE OF A MIXTURE OF RECTIFIED EUCALYPTUS OIL, RECTIFIED SWEET ORANGE OIL, RECTIFIED MYRTLE OIL AND RECTIFIED LEMON OIL IN A RATIO OF 66:32:1:1",NA,unknown,0,NA,no reliable match,3
cRGD-ZW800-1,NA,unknown,0,NA,no reliable match,3
Prevotella histicola,NA,unknown,0,NA,no reliable match,3
ANV419,NA,unknown,0,NA,no reliable match,3
PHH-1V,NA,unknown,0,NA,no reliable match,3
adjuvanted,NA,unknown,0,NA,no reliable match,3
BIIB122,Biib-022,review,87,fuzzy:chembl,fuzzy match (jw similarity 87%),3
TIN816,NA,unknown,0,NA,no reliable match,3
Allocetra-OTS,NA,unknown,0,NA,no reliable match,3
Lyophilized capsules of fecal microbiota,NA,unknown,0,NA,no reliable match,3
BAY 3427080,NA,unknown,0,NA,no reliable match,3
REVERPLEG 40 U.I.,NA,unknown,0,NA,no reliable match,3
PRENUMBRA,NA,unknown,0,NA,no reliable match,3
FDC Nivolumab + Relatlimab + rHuPH20 Injection,NA,unknown,0,NA,no reliable match,3
"22 micrograms inhalation powder, pre-dispensed",NA,unknown,0,NA,no reliable match,3
5 micrograms,NA,unknown,0,NA,no reliable match,3
"9 micrograms pressurised inhalation, solution",NA,unknown,0,NA,no reliable match,3
MaaT033,NA,unknown,0,NA,no reliable match,3
TAK-881,Bta-9881,review,87,fuzzy:chembl,fuzzy match (jw similarity 87%),3
Viaskin Peanut,Vicasinabin,unknown,80,fuzzy:chembl,fuzzy match (jw similarity 80%),3
l solución para perfusión.,NA,unknown,0,NA,no reliable match,3
TransCon CNP 3.9 mg CNP-38,Transcrocetin,review,87,fuzzy:chembl,fuzzy match (jw similarity 87%),3
ION 682884,NA,unknown,0,NA,no reliable match,3
"Culture expanded Adipose Derived Regenerative Cells, ADRC001",NA,unknown,0,NA,no reliable match,3
VX-561 Film-coated tablet,Deutivacaftor,review,63,chembl,alias match (chembl_synonym): 'vx-561' → 'deutivacaftor',3
"BIODRIBIN, 1 mg",Mizoribine,unknown,83,fuzzy:chembl,fuzzy match (jw similarity 83%),3
SomaKit TOC 40 micrograms kit for radiopharmaceutical preparation,Isomalt,unknown,81,fuzzy:chembl,fuzzy match (jw similarity 81%),3
inhalación suspensión para inhalación en envase a presión* (*) sin CFC,Finafloxacin,unknown,82,fuzzy:chembl,fuzzy match (jw similarity 82%),3
dose dispersion for injection COVID-19 mRNA Vaccine (nucleoside modified),NA,unknown,0,NA,no reliable match,3
v Eye Drops.,NA,unknown,0,NA,no reliable match,3
Seidigestan 200 mg cápsulas blandas,Giredestrant,unknown,80,fuzzy:chembl,fuzzy match (jw similarity 80%),3
AMG 193,Amg-319,unknown,82,fuzzy:llm_reviewed,fuzzy match (jw similarity 82%),3
24 h transdermal patch,NA,unknown,0,NA,no reliable match,3
ALXN 2040,NA,unknown,0,NA,no reliable match,3
24 uur,NA,unknown,0,NA,no reliable match,3
"Sprühstoß Nasenspray, Suspension",NA,unknown,0,NA,no reliable match,3
Prick Test LETI Negativkontrolle Pricktestlösung,NA,unknown,0,NA,no reliable match,3
"PRICK TEST Dermatophagoides pteronys-
sinus LETI, 100 HEP",NA,unknown,0,NA,no reliable match,3
"4,5 mikrogram",NA,unknown,0,NA,no reliable match,3
"puff inhalationsspray, suspension",NA,unknown,0,NA,no reliable match,3
TransCon TLR7,Transcrocetin,review,87,fuzzy:chembl,fuzzy match (jw similarity 87%),3
EstroTep 500 MBq,Estrone,review,87,fuzzy:chembl,fuzzy match (jw similarity 87%),3
AAV2-GDNF,NA,unknown,0,NA,no reliable match,3
IDE196 (LXS196),Darovasertib,review,63,chembl,alias match (chembl_synonym): 'ide196' → 'darovasertib',3
1.1-70 × 106 cells,NA,unknown,0,NA,no reliable match,3
"dose nesespray, oppløsning",NA,unknown,0,NA,no reliable match,3
NTLA-2001,Dnl-201,unknown,84,fuzzy:chembl,fuzzy match (jw similarity 84%),3
NMD670,NA,unknown,0,NA,no reliable match,3
Cannabis Extract Avextra 10,Cannabinol,review,86,fuzzy:chembl,fuzzy match (jw similarity 86%),3
10 Solution,NA,unknown,0,NA,no reliable match,3
NTLA-2002,NA,unknown,0,NA,no reliable match,3
DZR123,NA,unknown,0,NA,no reliable match,3
(+)-α-DIHYDROTETRABENAZINE,NA,unknown,0,NA,no reliable match,3
"L, solution pour perfusion",NA,unknown,0,NA,no reliable match,3
N-Acetyl-GED-0507-34-Levo GEL 5%,NA,unknown,0,NA,no reliable match,3
tablet,NA,unknown,0,NA,no reliable match,3
GTX,NA,unknown,0,NA,no reliable match,3
UX Diluent and Flush Solution,NA,unknown,0,NA,no reliable match,3
GTX-102,Vgx-1027,review,87,fuzzy:llm_reviewed,fuzzy match (jw similarity 87%),3
IPN10200,Ipn-60090,unknown,81,fuzzy:chembl,fuzzy match (jw similarity 81%),3
"g, gel",NA,unknown,0,NA,no reliable match,3
infuzní roztok,Nifurizone,unknown,81,fuzzy:chembl,fuzzy match (jw similarity 81%),3
GLM101,Mf101,unknown,82,fuzzy:chembl,fuzzy match (jw similarity 82%),3
DNTH103,NA,unknown,0,NA,no reliable match,3
[18F]Fluor-PEG-Folate,NA,unknown,0,NA,no reliable match,3
Arvisol 150mg,Ioversol,unknown,81,fuzzy:chembl,fuzzy match (jw similarity 81%),3
"Galliad, 0,74 à 1,85 GBq, générateur radiopharmaceutique",Gallic acid,review,88,fuzzy:chembl,fuzzy match (jw similarity 88%),3
VRDN (Insulin-like growth factor-1 receptor [IGF-1R] inhibitor with half-life extension),NA,unknown,0,NA,no reliable match,3
do infuzji,NA,unknown,0,NA,no reliable match,3
"Dexavit, injektions-",Crexavibart,unknown,80,fuzzy:chembl,fuzzy match (jw similarity 80%),3
BGB-16673,NA,unknown,0,NA,no reliable match,3
TAR-0520 Gel,Tak-020,review,87,fuzzy:chembl,fuzzy match (jw similarity 87%),3
Liposomal Annamycin,Lipiodol,unknown,81,fuzzy:llm_reviewed,fuzzy match (jw similarity 81%),3
EYP-1901,NA,unknown,0,NA,no reliable match,3
dose KwikPen solution for injection in pre-filled pen,NA,unknown,0,NA,no reliable match,3
MRTX1719,Mrtx-1133,unknown,81,fuzzy:chembl,fuzzy match (jw similarity 81%),3
"dose, poudre pour inhalation",NA,unknown,0,NA,no reliable match,3
BNT327 20 mg ml,NA,unknown,0,NA,no reliable match,3
BNT327 50 mg ml,NA,unknown,0,NA,no reliable match,3
Tetanus toxoid conjugated to Hib,Tetanus toxoid,unknown,83,fuzzy:llm_reviewed,fuzzy match (jw similarity 83%),2
Cyoctodepsin,Bocodepsin,review,85,fuzzy:chembl,fuzzy match (jw similarity 85%),2
AS04 Vaccine Candidate,NA,unknown,0,NA,no reliable match,2
Depigoid Birch,NA,unknown,0,NA,no reliable match,2
Clinoleic 20,Linoleic acid,unknown,83,fuzzy:llm_reviewed,fuzzy match (jw similarity 83%),2
N-Chlorotaurine,Chloroquine,review,86,fuzzy:chembl,fuzzy match (jw similarity 86%),2
Allergovac depot,NA,unknown,0,NA,no reliable match,2
INN.L24,NA,unknown,0,NA,no reliable match,2
"Iron oxide, nanoparticles",NA,unknown,0,NA,no reliable match,2
Oncophage,NA,unknown,0,NA,no reliable match,2
Bis 4-fluorophenylphenyl acetamide,NA,unknown,0,NA,no reliable match,2
MAGE-1.A2,NA,unknown,0,NA,no reliable match,2
MAGE-3.A2,Melanoma-associated antigen 3,review,63,chembl,alias match (chembl_synonym): 'mage-3' → 'melanoma-associated antigen 3',2
MAGE-4.A2,NA,unknown,0,NA,no reliable match,2
MAGE-10.A2,Amg-108,review,85,fuzzy:chembl,fuzzy match (jw similarity 85%),2
MAGE-C2.A2,NA,unknown,0,NA,no reliable match,2
Immunocyanin,NA,unknown,0,NA,no reliable match,2
AZD4282 Tablet 50 mg,Azd2423,review,85,fuzzy:chembl,fuzzy match (jw similarity 85%),2
AZD4282 Tablet 200 mg,Azd2423,review,85,fuzzy:chembl,fuzzy match (jw similarity 85%),2
BXL628,NA,unknown,0,NA,no reliable match,2
2002-like virus,NA,unknown,0,NA,no reliable match,2
Autologous stem cells,Autologous cord blood,unknown,83,fuzzy:llm_reviewed,fuzzy match (jw similarity 83%),2
Wilate,Water,unknown,82,fuzzy:llm_reviewed,fuzzy match (jw similarity 82%),2
Depigoid,NA,unknown,0,NA,no reliable match,2
Diclofenac-Colestyramin,Diclofenac epolamine,unknown,83,fuzzy:chembl,fuzzy match (jw similarity 83%),2
Not yet received,NA,unknown,0,NA,no reliable match,2
Optovite,NA,unknown,0,NA,no reliable match,2
Five grasses pollen allergen extract,NA,unknown,0,NA,no reliable match,2
Keto-Stulln UD,NA,unknown,0,NA,no reliable match,2
Hemopure,Methoprene,unknown,81,fuzzy:chembl,fuzzy match (jw similarity 81%),2
not issued,NA,unknown,0,NA,no reliable match,2
autologous stem cells,Autologous cord blood,unknown,83,fuzzy:llm_reviewed,fuzzy match (jw similarity 83%),2
"1-3-3-4-chlorophenylpropoxypropylpiperidine, hydrochloride",NA,unknown,0,NA,no reliable match,2
KindaPed,Indapamide,unknown,81,fuzzy:llm_reviewed,fuzzy match (jw similarity 81%),2
REPEVAX,NA,unknown,0,NA,no reliable match,2
N-4-benzoylpiperidin-4-ylbutyl-3-pyridin-3-ylacrylamide,NA,unknown,0,NA,no reliable match,2
AdCD40L,NA,unknown,0,NA,no reliable match,2
"+-S,S-Reboxetine Succinate",NA,unknown,0,NA,no reliable match,2
"2005H3N2-like virus, B",NA,unknown,0,NA,no reliable match,2
Maleimide-activated polyethylene glycol-modified human hemoglobin,NA,unknown,0,NA,no reliable match,2
Broncho-Vaxom,NA,unknown,0,NA,no reliable match,2
Depigoid Grser-Mix,NA,unknown,0,NA,no reliable match,2
ICX-RHY-013,NA,unknown,0,NA,no reliable match,2
"Natrii chloridum,Polyo-2-hydroxyethylamylum",Nitramine,unknown,83,fuzzy:chembl,fuzzy match (jw similarity 83%),2
DNB-001,Nb-001,review,95,fuzzy:chembl,fuzzy match (jw similarity 95%),2
Anthocyanidins,NA,unknown,0,NA,no reliable match,2
PolyO-2-hydroxyethylstarch 130,NA,unknown,0,NA,no reliable match,2
glycerylmonocaprylate,NA,unknown,0,NA,no reliable match,2
IMA901,NA,unknown,0,NA,no reliable match,2
CD133+ autologous bone marrow stem cells,NA,unknown,0,NA,no reliable match,2
Genous Bio-engineered stent,NA,unknown,0,NA,no reliable match,2
AIMSPRO,NA,unknown,0,NA,no reliable match,2
dietyl-6-4-hydroxycarbamoyl-phenylcarbamoyloxymethil-naphtalen-2-ylmethyl-NH4Cl monohydrate,NA,unknown,0,NA,no reliable match,2
11CPIB,NA,unknown,0,NA,no reliable match,2
Hiroshima,NA,unknown,0,NA,no reliable match,2
SLx-2101,Sdx-101,review,87,fuzzy:chembl,fuzzy match (jw similarity 87%),2
recombinant human glucocerebrosidase,Recombinant adamts13,review,85,fuzzy:llm_reviewed,fuzzy match (jw similarity 85%),2
Tumor Infiltrating Lymphocytes,NA,unknown,0,NA,no reliable match,2
folding variant of recombinant major birch pollen allergen,Poldine,unknown,81,fuzzy:chembl,fuzzy match (jw similarity 81%),2
ProSavin,Proflavine,review,86,fuzzy:chembl,fuzzy match (jw similarity 86%),2
recMAGE-A3,NA,unknown,0,NA,no reliable match,2
ADHEXIL,NA,unknown,0,NA,no reliable match,2
LC002 DermaVir Patch,NA,unknown,0,NA,no reliable match,2
Trivax,NA,unknown,0,NA,no reliable match,2
AAV1,NA,unknown,0,NA,no reliable match,2
SERCA2a,Serclutamab,unknown,80,fuzzy:manual,fuzzy match (jw similarity 80%),2
ChronVac-C,NA,unknown,0,NA,no reliable match,2
Alutard SQ,Paluratide,review,85,fuzzy:chembl,fuzzy match (jw similarity 85%),2
Bone marrow mononuclear cells,NA,unknown,0,NA,no reliable match,2
CYT003-QbG10,NA,unknown,0,NA,no reliable match,2
BioFOAM,NA,unknown,0,NA,no reliable match,2
"PS-PD for serotypes 1-4-5-6B-7F-9V-14-23F, PS-TT for 18C, PS-DT for 19F",NA,unknown,0,NA,no reliable match,2
pGM169,NA,unknown,0,NA,no reliable match,2
Modified Vaccinia Ankara expressing ME-TRAP,NA,unknown,0,NA,no reliable match,2
PS-TT for serotype 18C,NA,unknown,0,NA,no reliable match,2
PS-DT for serotype 19F,NA,unknown,0,NA,no reliable match,2
SB-656933 Tablets,Elubrixin,review,63,chembl,alias match (chembl_synonym): 'sb-656933' → 'elubrixin',2
autologous platelet rich fibrin,Autologous cord blood,unknown,83,fuzzy:llm_reviewed,fuzzy match (jw similarity 83%),2
Gaviscon Double Action Liquid,NA,unknown,0,NA,no reliable match,2
CYT006-AngQb,NA,unknown,0,NA,no reliable match,2
RDEA806,NA,unknown,0,NA,no reliable match,2
Trichuris suis ova,NA,unknown,0,NA,no reliable match,2
DPK-060,NA,unknown,0,NA,no reliable match,2
131I-L19SIP,NA,unknown,0,NA,no reliable match,2
SMOFlipid 200 mg,NA,unknown,0,NA,no reliable match,2
Cord blood unit,NA,unknown,0,NA,no reliable match,2
BRIVANIB ALANINATE,NA,review,84,chembl,ambiguous alias maps to multiple substances,2
Heliox,NA,unknown,0,NA,no reliable match,2
Saccharomyces boulardii,NA,unknown,0,NA,no reliable match,2
ESBA105,NA,unknown,0,NA,no reliable match,2
Toll-like receptor ligand-matured mRNA-electroporated Dendritic cell product,Toll-like receptor 9,unknown,82,fuzzy:chembl,fuzzy match (jw similarity 82%),2
mRNA-electroporated Dendritic cell product,NA,unknown,0,NA,no reliable match,2
SmofKabiven,NA,unknown,0,NA,no reliable match,2
Cis-urocanic acid 5  emulsion cream,Cis-urocanic acid,review,96,fuzzy:chembl,fuzzy match (jw similarity 96%),2
PPA904 sterile gel,NA,unknown,0,NA,no reliable match,2
Brivanib Alaninate,NA,review,84,chembl,ambiguous alias maps to multiple substances,2
"PS-PD for serotypes 1, 4, 5, 6B, 7F, 9V, 14 and 23F PS-TT for serotype 18C PS-DT for serotype 19F",NA,unknown,0,NA,no reliable match,2
IDX184,NA,unknown,0,NA,no reliable match,2
PEG-Irinotecan,Repinotan,unknown,83,fuzzy:chembl,fuzzy match (jw similarity 83%),2
Dendritic cell vaccine,NA,unknown,0,NA,no reliable match,2
PURETHAL Mites,Urea,unknown,83,fuzzy:llm_reviewed,fuzzy match (jw similarity 83%),2
not defined yet,NA,unknown,0,NA,no reliable match,2
"PS-PD for serotypes 1, 4, 5, 6B, 7F, 9V, 14 and 23F PS-TT for serotype 18C PS-DT for serotype 19F.",NA,unknown,0,NA,no reliable match,2
ATIR,NA,unknown,0,NA,no reliable match,2
TD Vaccine System,NA,unknown,0,NA,no reliable match,2
Lipidem 200mg,Alpidem,review,85,fuzzy:chembl,fuzzy match (jw similarity 85%),2
Sunphenon EGCG,NA,unknown,0,NA,no reliable match,2
Dermagraft,Artegraft,review,85,fuzzy:chembl,fuzzy match (jw similarity 85%),2
MVA-NP+M1,NA,unknown,0,NA,no reliable match,2
USP,NA,unknown,0,NA,no reliable match,2
methacetin,Methetoin,review,90,fuzzy:chembl,fuzzy match (jw similarity 90%),2
GHB11L1,NA,unknown,0,NA,no reliable match,2
ALD-101,Av-101,review,85,fuzzy:chembl,fuzzy match (jw similarity 85%),2
Sublingual tablet of HDM Allergen Extracts,NA,unknown,0,NA,no reliable match,2
Boostrix-Polio,NA,unknown,0,NA,no reliable match,2
Pneumoccocal free proteins,NA,unknown,0,NA,no reliable match,2
Pneumococcal free proteins,NA,unknown,0,NA,no reliable match,2
PREOB cells,NA,unknown,0,NA,no reliable match,2
GlaxoSmithKline GSK Biologicals A,NA,unknown,0,NA,no reliable match,2
LAS41002 lotion,Mometasone furoate,review,63,chembl,alias match (chembl_synonym): 'las41002' → 'mometasone furoate',2
Bone marrow-derived mononuclear cells,NA,unknown,0,NA,no reliable match,2
CLULAS MADRE MESENQUIMALES DERIVADAS DE TEJIDO ADIPOSO,NA,unknown,0,NA,no reliable match,2
co.don chondrosphere,NA,unknown,0,NA,no reliable match,2
AFFITOPE AD02,NA,unknown,0,NA,no reliable match,2
Lipofundin MCT,Lidofenin,unknown,83,fuzzy:chembl,fuzzy match (jw similarity 83%),2
LCT 20,NA,unknown,0,NA,no reliable match,2
"E-3-2,6-Dichloro-4-4-3-S-1-hexyloxyethyl-2-methoxyphenyl-thiazol-2-ylcarbamoyl-phenyl-2-methylacrylic acid",NA,unknown,0,NA,no reliable match,2
Cardioplexol,Carpindolol,review,86,fuzzy:chembl,fuzzy match (jw similarity 86%),2
rCFP-10,Orp-101,unknown,81,fuzzy:llm_reviewed,fuzzy match (jw similarity 81%),2
gE recombinant protein formulated in AS01B Adjuvant System,NA,unknown,0,NA,no reliable match,2
Allogene HSC,Aloe,unknown,83,fuzzy:chembl,fuzzy match (jw similarity 83%),2
Lytixar,NA,unknown,0,NA,no reliable match,2
no trade name hematopoietic stem cells,NA,unknown,0,NA,no reliable match,2
