"raw_clean","substance_clean","match_status","reason"
"insulin glargine u-100","insulin glargine","accepted","standard formulation; INN is insulin glargine"
"insulin","insulin human","accepted","generic insulin term maps to insulin human (must be last; specific analogues above take priority)"
"ropivacain","ropivacaine","accepted","accepted during llm curation (chunk 1)"
"calcium chloride dihydrate","calcium chloride","accepted","override: corrected canonical (chunk 1)"
"glycerol","glycerin","accepted","accepted during llm curation (chunk 1)"
"ursodeoxycholic acid","ursodiol","accepted","accepted during llm curation (chunk 1)"
"5-aminolevulinic acid hydrochloride","aminolevulinic acid","accepted","override: corrected canonical (chunk 1)"
"macrogol 4000","macrogol","accepted","override: corrected canonical (chunk 1)"
"metformina","metformin","accepted","accepted during llm curation (chunk 1)"
"macrogol 3350","macrogol","accepted","override: corrected canonical (chunk 1)"
"calcium carbonate","calcium carbonate","accepted","override: corrected canonical (chunk 1)"
"fludeoxyglucose (18f)","fludeoxyglucose (18f)","accepted","override: corrected canonical (chunk 1)"
"magnesium chloride hexahydrate","magnesium chloride","accepted","override: corrected canonical (chunk 1)"
"sodium hydrogen carbonate","sodium bicarbonate","accepted","override: corrected canonical (chunk 1)"
"estradiol valerate","estradiol valerate","accepted","override: corrected canonical (chunk 1)"
"sodium valproate","valproate sodium","accepted","accepted during llm curation (chunk 1)"
"calcium chloride","calcium chloride","accepted","override: corrected canonical (chunk 1)"
"5-aminolevulinic acid hydrochloride","aminolevulinic acid hydrochloride","accepted","accepted during llm curation (chunk 1)"
"ursodeoxycholic acid","ursodiol","accepted","override: corrected canonical (chunk 1)"
"ulipristal acetate","ulipristal acetate","accepted","override: corrected canonical (chunk 1)"
"pertussis toxoid pt","pertussis vaccine","accepted","accepted during llm curation (chunk 1)"
"valproate","valproic acid","accepted","accepted during llm curation (chunk 1)"
"macrogol","polyethylene glycol","accepted","accepted during llm curation (chunk 1)"
"sodium sulphate","sodium sulfate","accepted","accepted chunk 2"
"magnesium oxide, light","magnesium oxide","accepted","override chunk 2"
"benzylpenicillin sodium","benzylpenicillin","accepted","override chunk 2"
"insulina glargine","insulin glargine","accepted","accepted chunk 2"
"benzylpenicillin","penicillin g","accepted","accepted chunk 2"
"sodium chloride fresenius kabi italia 0.9 % solution for infusion","sodium chloride","accepted","override chunk 2"
"sodium chloride 0.9% intravenous infusion bp","sodium chloride","accepted","accepted chunk 2"
"mycophenolate","mycophenolic acid","accepted","accepted chunk 2"
"lidocain","lidocaine","accepted","accepted chunk 2"
"insulina glargina","insulin glargine","accepted","accepted chunk 2"
"methylprednisolon","methylprednisolone","accepted","accepted chunk 2"
"xylocaine","lidocaine","accepted","override chunk 2"
"sulfate dhydroxychloroquine","hydroxychloroquine","accepted","override chunk 2"
"sodium acetate trihydrate","sodium acetate","accepted","accepted chunk 2"
"recombinant hepatitis b surface antigen","hepatitis b, recombinant surface antigen","accepted","accepted chunk 2"
"hydroxyethyl starch","hetastarch","accepted","accepted chunk 2"
"human normal immunoglobulin iv","human normal immunoglobulin","accepted","accepted chunk 2"
"sodium chloride 0.9","sodium chloride","accepted","accepted chunk 2"
"tenofovir alafenamide fumarate","tenofovir alafenamide","accepted","override chunk 2"
"calcium folinate pentahydrate","calcium folinate","accepted","override chunk 2"
"covid-19 mrna vaccine","covid-19 sa-mrna vaccine","accepted","accepted chunk 2"
"sodium chloride 0.9% w","sodium chloride","accepted","accepted chunk 2"
"sodium chloride intravenous infusion bp 0.9% w","sodium chloride","accepted","accepted chunk 2"
"disodium folinate","leucovorin sodium","accepted","accepted chunk 2"
"interferon gamma-1b","interferon gamma-1b","accepted","accepted chunk 2 pass2"
"eicosapentaenoic acid","icosapent","accepted","accepted chunk 2"
"liquid paraffin","mineral oil","accepted","accepted chunk 2"
"mecasermin rinfabate","mecasermin rinfabate","accepted","override chunk 2"
"metilprednisolona","methylprednisolone","accepted","chunk 3"
"potassium canrenoate","canrenoate potassium","accepted","chunk 3"
"sodium hyaluronate","hyaluronate sodium","accepted","chunk 3 pass2"
"potassium bicarbonate","potassium bicarbonate","accepted","chunk 3"
"cromoglicic acid","cromolyn","accepted","chunk 3"
"trientine dihydrochloride","trientine","accepted","chunk 3 pass2"
"calcium levofolinate pentahydrate","levoleucovorin","accepted","chunk 3"
"human normal immunoglobulin ivig","human normal immunoglobulin (ivig)","accepted","chunk 3 pass2"
"cytisine","cytisine","accepted","chunk 3"
"fluorescein sodium","fluorescein sodium","accepted","chunk 3 pass2"
"calcium gluconate","calcium gluconate","accepted","chunk 3"
"covid-19 mrna vaccine","covid-19 mrna vaccine, nucleoside-modified","accepted","chunk 3"
"sodium chloride injection bp 0.9% w","sodium chloride","accepted","chunk 3"
"amoxicilline","amoxicillin","accepted","chunk 3 pass2"
"aspirine protect 100 mg, comprimé gastro-resistant","acetylsalicylic acid","accepted","chunk 3"
"sodium folinate","folinic acid","accepted","chunk 3"
"ketanest® s 25 mg","esketamine","accepted","chunk 3"
"sodium s-lactate","sodium lactate","accepted","chunk 3"
"sodium lactate s+","sodium lactate","accepted","chunk 3"
"magnesium sulphate","magnesium sulfate","accepted","chunk 3"
"tocopherol vit e","tocopherol","accepted","chunk 3"
"l-carnitine","levocarnitine","accepted","chunk 3"
"purified pertussis toxoid","tetanus toxoid","accepted","chunk 3"
"recombinant hepatitis b surface antigen","hepatitis b vaccine (recombinant)","accepted","chunk 3"
"beclomethasone diproprionate","beclomethasone dipropionate","accepted","chunk 3 pass2"
"sodium hyaluronate","hyaluronate sodium","accepted","chunk 3"
"liquid paraffin","liquid paraffin","accepted","chunk 3"
"amoxicilline","amoxicillin","accepted","chunk 3"
"methylprednisolon 16 mg jenapharm®","prednisolone","accepted","chunk 3 pattern"
"pertussis toxoid pt","pertussis toxoid","accepted","chunk 4"
"magnesio cloruro esaidrato","magnesium chloride","accepted","chunk 4"
"sodium hyaluronate","sodium hyaluronate","accepted","chunk 4"
"bromelain","bromelains","accepted","chunk 4 pass2"
"magnesium oxide","magnesium oxide","accepted","chunk 4"
"gadopentetic acid","gadopentetic acid","accepted","chunk 4"
"glycerol","glycerol","accepted","chunk 4 pass2"
"gsk2190915 oral solution","gsk2190915","accepted","chunk 4 pass2"
"magnesio cloruro hexahidrato","magnesium chloride","accepted","chunk 4"
"sodium chlorid","sodium chloride","accepted","chunk 4"
"ketanest","ketamine","accepted","chunk 4 pass2"
"hydroxyethylstarch","hetastarch","accepted","chunk 4 pass2"
"melfalan","melphalan","accepted","chunk 4 pass2"
"epoetina beta","epoetin beta","accepted","chunk 4"
"echinacea purpurea","echinacea purpurea","accepted","chunk 4"
"chenodeoxycholic acid","chenodiol","accepted","chunk 4"
"sodium laurilsulfate","sodium lauryl sulfate","accepted","chunk 4"
"insulina lispro","insulin lispro","accepted","chunk 4"
"nonacog gamma","coagulation factor ix recombinant human","accepted","chunk 4"
"potassium clavulanate","clavulanic acid","accepted","chunk 4 pass2"
"rocuroniumbromide fresenius kabi 10 mg","rocuronium","accepted","chunk 4"
"purified pertussis toxoid","pertussis toxoid","accepted","chunk 4"
"linisol","lidocaine","accepted","chunk 4"
"macrogol","macrogol","accepted","chunk 4"
"linisol","lidocaine","accepted","chunk 4 pass2"
"human von willebrand factor","von willebrand factor, human","accepted","chunk 4"
"carbasalate calcium","carbasalate calcium","accepted","chunk 4"
"insulina aspart","insulin aspart","accepted","chunk 4"
"insulina degludec","insulin degludec","accepted","chunk 4"
"sodium cromoglicate","cromolyn sodium","accepted","chunk 4 pass2"
"sodium chloride solution 0.9","sodium chloride","accepted","chunk 4"
"sodium glycerophosphate hydrate","sodium glycerophosphate","accepted","chunk 5"
"chenodeoxycholic acid","chenodeoxycholic acid","accepted","chunk 5"
"magnesium sulfate heptahydrate","magnesium sulfate","accepted","chunk 5"
"sodium bicarbonate bp","sodium bicarbonate","accepted","chunk 5"
"insulina","insulin human","accepted","chunk 5 p2"
"dexamfetamine","dexamfetamine","accepted","chunk 5"
"sodium chloride 0.45% solution for infusion","sodium chloride","accepted","chunk 5"
"aspirine 100, 100 mg tabletten","acetylsalicylic acid","accepted","chunk 5"
"farletuzumab ecteribulin","farletuzumab ecteribulin","accepted","chunk 5"
"calcium citrate","calcium citrate","accepted","chunk 5"
"sodium chloride 0,9%","sodium chloride","accepted","chunk 5"
"albutein 200 g","albumin human","accepted","chunk 5"
"ketanest® s 5 mg","esketamine","accepted","chunk 5"
"sodium chloride fresenius kabi 0,9% infuzní roztok","sodium chloride","accepted","chunk 5"
"disodium pamidronate","pamidronic acid","accepted","chunk 6"
"sodium racemic lactate","sodium lactate","accepted","chunk 6"
"valproate semisodium usan  divalproex sodium","valproate semisodium","accepted","chunk 6"
"sodium sulphate anhydrous","sodium sulfate","accepted","chunk 6"
"sodium picosulphate","sodium picosulfate","accepted","chunk 6"
"suxamethonium chloride","succinylcholine","accepted","chunk 6"
"cromoglicic acid","cromoglicate sodium","accepted","chunk 6"
"diclofenac-sodium","diclofenac","accepted","chunk 6"
"sodium fusidate","sodium fusidate","accepted","chunk 6"
"peginterferon alpha 2b","peginterferon alfa-2b","accepted","chunk 6"
"calcium hydroxide","calcium hydroxide","accepted","chunk 6"
"testosterone propionate","testosterone","accepted","chunk 6"
"isoallopregnanolone","isoallopregnanolone","accepted","chunk 6"
"valproate semisodium","valproate semisodium","accepted","chunk 6"
"triamcinolona acetnido","triamcinolone acetonide","accepted","chunk 6"
"doxorrubicina clorhidrato liposomal pegilada","doxorubicin liposomal","accepted","chunk 6"
"mycophenolate motetil","mycophenolate mofetil","accepted","chunk 6"
"bromelain, inn l8.d","bromelain","accepted","chunk 6"
"sodium cromoglicate","cromoglicate sodium","accepted","chunk 6"
"peginterferon alpha-2b","peginterferon alfa-2b","accepted","chunk 6"
"sodium oxybate usan","sodium oxybate","accepted","chunk 6"
"sodium valproat","valproate sodium","accepted","chunk 6"
"sodium mycophenolate","mycophenolate sodium","accepted","chunk 6"
"sodium selenite pentahydrate","sodium selenite","accepted","chunk 6"
"hydroxyethyl starch 130","hydroxyethyl starch","accepted","chunk 6"
"doxorrubicina liposomal pegilada","doxorubicin liposomal","accepted","chunk 6"
"insulina detemir","insulin detemir","accepted","chunk 6"
"adenosin","adenosine","accepted","chunk 6"
"sulfate de morphine","morphine","accepted","chunk 6"
"sodium flouride","sodium fluoride","accepted","chunk 6"
"mycophenolat","mycophenolate mofetil","accepted","chunk 6"
"idrabiotaparinux","idrabiotaparinux","accepted","chunk 6"
"metformina e rosiglitazone","metformin|rosiglitazone","accepted","chunk 6"
"sodium ascorbat","sodium ascorbate","accepted","chunk 6"
"amoxicilline et acide clavulanique","amoxicillin|clavulanic acid","accepted","chunk 6"
"magnesium hydroxide","magnesium hydroxide","accepted","chunk 7"
"l-carnitine   glucose solution 1.5","carnitine","accepted","chunk 7"
"l-carnitine + glucose solution 1.5","carnitine","accepted","chunk 7"
"l-carnitine + glucose solution 2.5","carnitine","accepted","chunk 7"
"histamin","histamine","accepted","chunk 7"
"sulfate de magnsium","magnesium sulfate","accepted","chunk 7"
"macrogol 3350, sodium sulfate anhydrous, sodium chloride, potassium chloride","macrogol|electrolytes","accepted","chunk 7 p2"
"macrogol 3350, sodium sulfate anhydrous, potassium chloride, sodium chloride, sodium bicarbonate","macrogol|electrolytes","accepted","chunk 7 p2"
"ibritumomab tiuxtan","ibritumomab tiuxetan","accepted","chunk 7"
"melperon","melperone","accepted","chunk 7"
"sodium aurothiomalate","gold sodium thiomalate","accepted","chunk 7"
"magnesium acetate tetrahydrate","magnesium acetate","accepted","chunk 7"
"sodium glycerophosphate hydrated","sodium glycerophosphate","accepted","chunk 7"
"magnesio cloruro","magnesium chloride","accepted","chunk 7"
"tauroursodeoxycholic acid","taurursodiol","accepted","chunk 7"
"proteine c recombinante xigris","drotrecogin alfa","accepted","chunk 7"
"melperon","melperone","accepted","chunk 7 p2"
"magnesio trisilicato","magnesium trisilicate","accepted","chunk 7"
"colistimethate sodique","colistimethate sodium","accepted","chunk 7"
"levosalbutamol tartrate","levosalbutamol","accepted","chunk 7 p2"
"ibritumomab tiuxtan","ibritumomab tiuxetan","accepted","chunk 7 p2"
"human von willebrand factor","von willebrand factor human","accepted","chunk 7"
"idrabiotaparinux","idrabiotaparinux sodium","accepted","chunk 7"
"levosalbutamol tartrate","levosalbutamol","accepted","chunk 7"
"insulina glargina solostar","insulin glargine","accepted","chunk 7"
"insulina glargina vial","insulin glargine","accepted","chunk 7"
"insulina nph","insulin nph","accepted","chunk 7"
"insulina lispto","insulin lispro","accepted","chunk 7"
"sodium lactate +","sodium lactate","accepted","chunk 7 p2"
"sodium glycerophosphate 21.6","sodium glycerophosphate","accepted","chunk 7"
"sodium chloride 30","sodium chloride","accepted","chunk 7"
"magnesium sulphate solution","magnesium sulfate","accepted","chunk 7"
"magnesio","magnesium","accepted","chunk 7"
"ketanest s","esketamine","accepted","chunk 7 p2"
"morphinhydrochlorid","morphine hydrochloride","accepted","chunk 7"
"malate de sinitunib","sunitinib","accepted","chunk 7 p2"
"malate de sunitiib","sunitinib","accepted","chunk 7"
"metilprednisolona aceponato","methylprednisolone aceponate","accepted","chunk 7"
"lisina","lysine","accepted","chunk 8"
"proteine plasmatiche umane coagulabili","fibrinogen, human","accepted","chunk 8"
"calcium dobesilate","calcium dobesilate","accepted","chunk 8"
"disodium pamidronate","pamidronate disodium","accepted","chunk 8 p2"
"volulyte 6 solution for infusion","hydroxyethyl starch","accepted","chunk 8"
"magnesium hydroxide suspension","magnesium hydroxide","accepted","chunk 8"
"hydroxyethyl starch","hydroxyethyl starch","accepted","chunk 8"
"icosapent ethyl ester","icosapent ethyl","accepted","chunk 8"
"sodium dodecyl sulfate","sodium lauryl sulfate","accepted","chunk 8 p2"
"magnesium pidolate","magnesium pidolate","accepted","chunk 8"
"bromelain","bromelain","accepted","chunk 8"
"epoetina zeta","epoetin zeta","accepted","chunk 8"
"testosterona undecanoato","testosterone undecanoate","accepted","chunk 8"
"pentoxifilina","pentoxifylline","accepted","chunk 8 p2"
"pentoxifilina","pentoxifylline","accepted","chunk 8"
"magnesio sulfato","magnesium sulfate","accepted","chunk 8"
"xylocaine 1 with adrenaline epinephrine 1:200,000","lidocaine|epinephrine","accepted","chunk 8"
"xylocaine 2 with adrenaline epinephrine 1:200,000","lidocaine|epinephrine","accepted","chunk 8"
"amoxicillina","amoxicillin","accepted","chunk 8"
"hydroxyethylstarch 200","hydroxyethyl starch","accepted","chunk 8"
"atracurium besilate","atracurium besylate","accepted","chunk 8"
"sulfate de vinblatine","vinblastine","accepted","chunk 8"
"nonacog gamma","nonacog gamma","accepted","chunk 8"
"dextran","dextran","accepted","chunk 8"
"fludesoxiglucosa 18f","fludeoxyglucose","accepted","chunk 8"
"sodium chloride 0,9 sterile solution","sodium chloride","accepted","chunk 8"
"carbasalate calcium","carbaspirin calcium","accepted","chunk 8"
"sodium i131 iodide","sodium iodide i-131","accepted","chunk 8 p2"
"sodium nitrite 3 w","sodium nitrite","accepted","chunk 8"
"peginterferon alfa-2b150mcg","peginterferon alfa-2b","accepted","chunk 8"
"sodium iodide i-124","sodium iodide i 123","accepted","chunk 8"
"vitamina d3","vitamin k","accepted","chunk 8"
"sodium sulphate, anhydrous","sodium sulfate anhydrous","accepted","chunk 8"
"sodium chloride 0,9","sodium chloride","accepted","chunk 8"
"sodium 1,2-13c acetate","sodium acetate","accepted","chunk 8"
"norursodeoxycholic acid","norucholic acid","accepted","chunk 8"
"levobupivicaine","levobupivacaine","accepted","chunk 8"
"sodium clorhide","sodium chloride","accepted","chunk 8"
"sodium bicarbonate 8.4 w","sodium bicarbonate","accepted","chunk 8"
"human normal immunoglobulin for intravenous use ivig","immunoglobulin, normal human","accepted","chunk 8"
"echinacea purpurea","echinacea, unspecified","accepted","chunk 8"
"gadopentetic acid","gadopentetate dimeglumine","accepted","chunk 9"
"nox-h94","lexaptepid pegol","accepted","chunk 9"
"benzylpenicillin procaine","benzathine benzylpenicillin","accepted","chunk 9 p2"
"botulinum toxin","onabotulinumtoxina","accepted","chunk 9"
"sodium iodide 123i","sodium iodide i 123","accepted","chunk 9"
"isoallopregnanolone","sepranolone","accepted","chunk 9"
"magnesium carbonate, heavy","magnesium carbonate","accepted","chunk 9 p2"
"sodium phosphate monobasic monohydrate","sodium phosphate, monobasic","accepted","chunk 9"
"sodium phosphate dibasic anhydrous","sodium phosphate, dibasic, anhydrous","accepted","chunk 9"
"sodium chloride solution 0.9 baxter","sodium chloride","accepted","chunk 9"
"levobupivicaine hydrochloride","levobupivacaine hydrochloride","accepted","chunk 9"
"vitamina d3","cholecalciferol","accepted","chunk 9"
"dexamfetamine sulphate controlled release","dexamfetamine","accepted","chunk 9"
"adenosin triphosphate","adenosine triphosphate","accepted","chunk 9"
"norursodeoxycholic acid","norursodeoxycholic acid","accepted","chunk 9"
"sodium iodide i131","sodium iodide i-131","accepted","chunk 9"
"hydroxyethylstarch 6 130","hydroxyethyl starch","accepted","chunk 9"
"trientine dihydrochloride","trientine hydrochloride","accepted","chunk 9"
"sodium thiosulfate pentahydrate","sodium thiosulfate","accepted","chunk 9 p2"
"riboflavin sodium phosphate","riboflavin sodium phosphate","accepted","chunk 9"
"magnesium carbonate","magnesium carbonate","accepted","chunk 9"
"fluciclovine","fluciclovine f-18","accepted","chunk 9 p2"
"glargine insulin","insulin glargine","accepted","chunk 9 p2"
"ropivacain hydrochloride","ropivacaine hydrochloride","accepted","chunk 9"
"sodium chloride 0.9 solution for injection","sodium chloride","accepted","chunk 9"
"histamin dihydrochloride","histamine dihydrochloride","accepted","chunk 9"
"macrogol 4000  polyethylene glycol 4000","macrogol","accepted","chunk 9"
"sulfate de magnesium","magnesium sulfate","accepted","chunk 9"
"mycophenolat sodium","mycophenolate sodium","accepted","chunk 9"
"fluciclovine 18f injection","fluciclovine f18","accepted","chunk 9"
"sodium tetradecyl sulphate","sodium tetradecyl sulfate","accepted","chunk 9"
"ringers lactate solution","ginger","accepted","chunk 9"
"sodium thiosulfate pentahydrate","sodium thiosulfate","accepted","chunk 9"
"glargine insulin","insulin glargine","accepted","chunk 9"
"dexamfetamine","dextroamphetamine","accepted","chunk 9"
"sodium sulfate, anhydrous","sodium sulfate","accepted","chunk 9"
"testosterone propionate","testosterone propionate","accepted","chunk 9"
"human normal immunoglobulin iv","immunoglobulin, normal human","accepted","chunk 9"
"gluscan 600 mbq","glucagon","accepted","chunk 9"
"sodium chloride 7","sodium chloride","accepted","chunk 9"
"sodium alendronate","alendronic acid","accepted","chunk 9"
"potassium phosphate","potassium phosphate","accepted","chunk 9 p2"
"tafamidis meglumine","tafamidis meglumine","accepted","chunk 9 p2"
"diclofenac-sodium","diclofenac sodium","accepted","chunk 9"
"insulina zinco umana da dna ricombinante","insulin zinc human","accepted","chunk 9"
"hydroxyethyl starch 130","hydroxyethyl starch 130|0.4","accepted","chunk 9"
"magnesio solfato eptaidrato","magnesium sulfate","accepted","chunk 9"
"morphinhydrochlorid","morphine","accepted","chunk 9"
"albumina umana particelle nanocolloidali","technetium tc-99m nanocolloid","accepted","chunk 10"
"insulina lispro da dna ricombinante","insulin lispro","accepted","chunk 10"
"psma-11 68ga","[68ga]psma-11","accepted","chunk 10"
"lidocain c. adrenalin 5 mg","lidocaine|epinephrine","accepted","chunk 10"
"eicosapentaenoic acid","eicosapentaenoic acid","accepted","chunk 10"
"cytisine","cytisinicline","accepted","chunk 10"
"apx001","olorofim","accepted","chunk 10 p2"
"lisina acetilsalicilato","acetylsalicylic acid","accepted","chunk 10"
"dextran sodium sulfur salt 5, mw 5 kda. a type of low molecular weight dextran sulfate lmw-ds","dextran sulfate","accepted","chunk 10"
"mgn1703 lefitolimod","lefitolimod","accepted","chunk 10"
"sodium fluoride 18f","sodium fluoride f-18","accepted","chunk 10"
"tauroursodeoxycholic acid","tauroursodeoxycholic acid","accepted","chunk 10"
"sulfate datropine","atropine","accepted","chunk 10"
"dexamfetamine sulfate","dexamfetamine","accepted","chunk 10"
"potassium citrate anhydrous","potassium citrate","accepted","chunk 10"
"apx001 pf-7842805","fosmanogepix","accepted","chunk 10"
"amoxicillina triidrato potassio clavulanato","amoxicillin|clavulanic acid","accepted","chunk 10"
"ursodeoxycholic acid","ursodeoxycholic acid","accepted","chunk 10"
"sodium chloride solution 20","sodium chloride","accepted","chunk 10"
"disodium folinate","folinic acid","accepted","chunk 10"
"fluciclovine","fluciclovine f18","accepted","chunk 10"
"sodium oligomannate","sodium oligomannate","accepted","chunk 10"
"macrogol 4000, sodio solfato anidro, simeticone, sodio citrato, acido citrico anidro, sodio cloruro, potassio cloruro","macrogol|electrolytes","accepted","chunk 10 fix"
"melfalan flufenamide","melflufen","accepted","chunk 10"
"dexamfetamine phosphate","dexamfetamine","accepted","chunk 10"
"sodium metabisulfite","sodium metabisulfite","accepted","chunk 10"
"sodium pyruvate","sodium pyruvate","accepted","chunk 10"
"ropivacaine","ropivacaine","accepted","auto-accepted score=100"
"amoxicillin","amoxicillin","accepted","auto-accepted score=100"
"lopinavir","lopinavir","accepted","llm_curated"
"midazolam","midazolam","accepted","auto-accepted score=100"
"dexmedetomidine","dexmedetomidine","accepted","auto-accepted score=100"
"fentanyl","fentanyl","accepted","auto-accepted score=100"
"testosterone","testosterone","accepted","auto-accepted score=100"
"morphine","morphine","accepted","auto-accepted score=100"
"triptorelin","triptorelin","accepted","auto-accepted score=100"
"diclofenac","diclofenac","accepted","auto-accepted score=100"
"oxycodone","oxycodone","accepted","auto-accepted score=100"
"levobupivacaine","levobupivacaine","accepted","auto-accepted score=100"
"raltegravir","raltegravir","accepted","auto-accepted score=100"
"duloxetine","duloxetine","accepted","auto-accepted score=100"
"pioglitazone","pioglitazone","accepted","auto-accepted score=100"
"sufentanil","sufentanil","accepted","auto-accepted score=100"
"amlodipine","amlodipine","accepted","auto-accepted score=100"
"levodopa","levodopa","accepted","auto-accepted score=100"
"piperacillin","piperacillin","accepted","auto-accepted score=100"
"amikacin","amikacin","accepted","auto-accepted score=100"
"tenofovir","tenofovir","accepted","llm_curated"
"betamethasone dipropionate","betamethasone dipropionate","accepted","auto-accepted score=100"
"fentanyl citrate","fentanyl citrate","accepted","auto-accepted score=100"
"octreotide","octreotide","accepted","auto-accepted score=100"
"buprenorphine","buprenorphine","accepted","auto-accepted score=100"
"potassium chloride","potassium chloride","accepted","auto-accepted score=100"
"oxycodone hydrochloride","oxycodone hydrochloride","accepted","auto-accepted score=100"
"midazolam hydrochloride","midazolam hydrochloride","accepted","auto-accepted score=100"
"ropivacaine hydrochloride","ropivacaine hydrochloride","accepted","auto-accepted score=100"
"eltrombopag","eltrombopag","accepted","auto-accepted score=100"
"methylphenidate hydrochloride","methylphenidate hydrochloride","accepted","auto-accepted score=100"
"enalapril","enalapril","accepted","llm_curated"
"ertapenem","ertapenem","accepted","auto-accepted score=100"
"sildenafil","sildenafil","accepted","auto-accepted score=100"
"entecavir","entecavir","accepted","auto-accepted score=100"
"imipenem","imipenem","accepted","auto-accepted score=100"
"colistimethate sodium","colistimethate sodium","accepted","auto-accepted score=100"
"pramipexole","pramipexole","accepted","auto-accepted score=100"
