"pip_procedure_number","pip_decision_number","ema_url","decision_type_code","decision_type_text","decision_title","decision_date","active_substance","therapeutic_area","condition","compliance_check_done","has_full_waiver","has_partial_waiver","has_deferral","pdf_url","parse_confidence","fetched_at","ema_feed_timestamp"
"EMA/PE/0000226246",,"https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/ema-pe-0000226246","PM","PM: decision on the application for modification of an agreed PIP","PM: decision on the application for modification of an agreed PIP","28/01/2025","marstacimab","Congenital, familial and genetic disorders","Treatment of congenital haemophilia A;Treatment of congenital haemophilia B","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMA/PE/0000226217",,"https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/ema-pe-0000226217","PM","PM: decision on the application for modification of an agreed PIP","PM: decision on the application for modification of an agreed PIP","28/01/2025","bictegravir;emtricitabine;tenofovir alafenamide","Infectious diseases","Treatment of human immunodeficiency virus (HIV-1) infection","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMA/PE/0000225746",,"https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/ema-pe-0000225746","PM","PM: decision on the application for modification of an agreed PIP","PM: decision on the application for modification of an agreed PIP","02/01/2025","atogepant","Surgical and medical procedures","Prevention of migraine headaches","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMA/PE/0000226088",,"https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/ema-pe-0000226088","W","W: decision granting a waiver in all age groups for all conditions or indications","W: decision granting a waiver in all age groups for all conditions or indications","28/01/2025","relacorilant","Surgical and medical procedures","Ovarian cancer epithelial ovarian;Treatment of fallopian tube cancer;Treatment of primary peritoneal cancer","",TRUE,,FALSE,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMA/PE/0000224883",,"https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/ema-pe-0000224883","W","W: decision granting a waiver in all age groups for all conditions or indications","W: decision granting a waiver in all age groups for all conditions or indications","03/01/2025","rinatabart sesutecan","Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Treatment of ovarian cancer","",TRUE,,FALSE,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMA/PE/0000225023",,"https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/ema-pe-0000225023","W","W: decision granting a waiver in all age groups for all conditions or indications","W: decision granting a waiver in all age groups for all conditions or indications","03/01/2025","efgartigimod alfa","Musculoskeletal and connective tissue disorders","Treatment of Sjögren's syndrome","",TRUE,,FALSE,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMA/PE/0000225073",,"https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/ema-pe-0000225073","W","W: decision granting a waiver in all age groups for all conditions or indications","W: decision granting a waiver in all age groups for all conditions or indications","28/01/2025","recombinant parathyroid hormone","Endocrine disorders","Angina pectoris;Treatment of hypoparathyroidism","",TRUE,,FALSE,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMA/PE/0000225241",,"https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/ema-pe-0000225241","P","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","03/01/2025","calcium chloride dihydrate;magnesium chloride hexahydrate;sodium chloride;sodium lactate;xylitol;d-glucose;levocarnitine","Renal and urinary disorders","Acute pain;Treatment of renal failure","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMA/PE/0000224912",,"https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/ema-pe-0000224912","PM","PM: decision on the application for modification of an agreed PIP","PM: decision on the application for modification of an agreed PIP","03/01/2025","cannabidiol","Neurology","Treatment of seizures associated with Dravet Syndrome (DS);Treatment of seizures associated with Lennox-Gastaut Syndrome (LGS);Treatment of seizures associated with Tuberous Sclerosis Complex (TSC)","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMA/PE/0000224955",,"https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/ema-pe-0000224955","PM","PM: decision on the application for modification of an agreed PIP","PM: decision on the application for modification of an agreed PIP","03/01/2025","ribitol","Congenital, familial and genetic disorders","Treatment of limb-girdle muscular dystrophy","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMA/PE/0000224768",,"https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/ema-pe-0000224768","PM","PM: decision on the application for modification of an agreed PIP","PM: decision on the application for modification of an agreed PIP","28/01/2025","vosoritide","Congenital, familial and genetic disorders","Treatment of hypochondroplasia","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-001652-PIP01-14-M06",,"https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-001652-pip01-14-m06","RPM","RPM: decision refers to a refusal on the application for modification of an agreed PIP","RPM: decision refers to a refusal on the application for modification of an agreed PIP","06/01/2025","cariprazine hydrochloride","Psychiatric disorders","Treatment of schizophrenia","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMA/PE/0000224283",,"https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/ema-pe-0000224283","PM","PM: decision on the application for modification of an agreed PIP","PM: decision on the application for modification of an agreed PIP","03/01/2025","pegcetacoplan","Renal and urinary disorders","Treatment of paroxysmal nocturnal haemoglobinuria","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMA/PE/0000224175",,"https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/ema-pe-0000224175","PM","PM: decision on the application for modification of an agreed PIP","PM: decision on the application for modification of an agreed PIP","28/01/2025","azamidugene autotemcel (OTL-203)","Congenital, familial and genetic disorders","Treatment of mucopolysaccharidosis type I, Hurler syndrome","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-003026-PIP02-21",,"https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-003026-pip02-21","PM","PM: decision on the application for modification of an agreed PIP","PM: decision on the application for modification of an agreed PIP","03/01/2025","whole-cell heat-inactivated bacterial strains of Escherichia coli, Klebsiella pneumoniae, Proteus vulgaris and Enterococcus faecalis","Infectious diseases;Uro-nephrology;Vaccines","Prevention of urinary tract infections","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-003639-PIP01-24","P/4/2025","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-003639-pip01-24","P","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","27/01/2025","adeno-associated virus serotype 9 vector containing the human LAMP2 isoform B transgene (RP-A501)","Congenital, familial and genetic disorders","Treatment of Danon Disease","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-003636-PIP01-24","P/1/2025","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-003636-pip01-24","P","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","28/01/2025","respiratory syncytial virus, prefusion F protein, virus-like particle / human metapneumovirus, prefusion F protein, virus-like particle (IVX-A12)","Infections and infestations","Prevention of lower respiratory tract disease caused by human metapneumovirus;Prevention of lower respiratory tract disease caused by respiratory syncytial virus","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-003635-PIP01-24","P/3/2025","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-003635-pip01-24","P","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","29/01/2025","heterologous intestinal microbiota from healthy donors (MBK-01)","Infections and infestations","Treatment of Clostridioides difficile infection (CDI)","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-001161-PIP02-11-M03",,"https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-001161-pip02-11-m03","PM","PM: decision on the application for modification of an agreed PIP","PM: decision on the application for modification of an agreed PIP","28/01/2025","Modified Vaccinia Ankara - Bavarian Nordic virus (smallpox)","Vaccines","Prevention of smallpox, monkeypox and related orthopoxvirus infection and disease","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMA/PE/0000224110",,"https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/ema-pe-0000224110","PM","PM: decision on the application for modification of an agreed PIP","PM: decision on the application for modification of an agreed PIP","28/01/2025","esketamine hydrochloride","Psychiatry","Treatment of major depressive disorder","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-003119-PIP01-21-M01",,"https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-003119-pip01-21-m01","PM","PM: decision on the application for modification of an agreed PIP","PM: decision on the application for modification of an agreed PIP","28/01/2025","zuranolone","Psychiatry","Treatment of postpartum depression","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-003604-PIP01-24","P/6/2025","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-003604-pip01-24","P","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","27/01/2025","luliconazole","Skin and subcutaneous tissue disorders","Treatment of onychomycosis","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-003161-PIP02-24","P/400/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-003161-pip02-24","P","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","03/01/2025","golcadomide hydrochloride","Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Treatment of mature B cell neoplasms","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-003533-PIP01-23",,"https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-003533-pip01-23","W","W: decision granting a waiver in all age groups for all conditions or indications","W: decision granting a waiver in all age groups for all conditions or indications","28/01/2025","livmoniplimab","Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Treatment of all conditions included in the category of malignant neoplasms except melanoma, central nervous neoplasms, haematopoietic and lymphoid tissues neoplasms","",TRUE,,FALSE,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-003532-PIP01-23",,"https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-003532-pip01-23","W","W: decision granting a waiver in all age groups for all conditions or indications","W: decision granting a waiver in all age groups for all conditions or indications","28/01/2025","budigalimab","Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Treatment of all conditions included in the category of malignant neoplasms except melanoma, central nervous neoplasms, haematopoietic and lymphoid tissues neoplasms","",TRUE,,FALSE,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-002476-PIP03-24","P/401/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-002476-pip03-24","P","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","03/01/2025","letetresgene autoleucel","Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Treatment of soft tissue sarcoma","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMA/PE/0000223656",,"https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/ema-pe-0000223656","W","W: decision granting a waiver in all age groups for all conditions or indications","W: decision granting a waiver in all age groups for all conditions or indications","03/01/2025","givinostat","Blood and lymphatic system disorders","Treatment of polycythaemia vera","",TRUE,,FALSE,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMA/PE/0000223608",,"https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/ema-pe-0000223608","PM","PM: decision on the application for modification of an agreed PIP","PM: decision on the application for modification of an agreed PIP","03/01/2025","molnupiravir","Infectious diseases","Treatment of Coronavirus disease 2019 (COVID-19)","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMA/PE/0000230373",,"https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/ema-pe-0000230373","W","W: decision granting a waiver in all age groups for all conditions or indications","W: decision granting a waiver in all age groups for all conditions or indications","28/01/2025","rinatabart sesutecan","Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Treatment of fallopian tube cancer","",TRUE,,FALSE,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMA/PE/0000230375",,"https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/ema-pe-0000230375","W","W: decision granting a waiver in all age groups for all conditions or indications","W: decision granting a waiver in all age groups for all conditions or indications","28/01/2025","rinatabart sesutecan","Investigations","Treatment of peritoneal cancer","",TRUE,,FALSE,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMA/PE/0000223523",,"https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/ema-pe-0000223523","W","W: decision granting a waiver in all age groups for all conditions or indications","W: decision granting a waiver in all age groups for all conditions or indications","28/01/2025","paltusotine","Endocrine disorders","Treatment of acromegaly and pituitary gigantism","",TRUE,,FALSE,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMA/PE/0000223677",,"https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/ema-pe-0000223677","W","W: decision granting a waiver in all age groups for all conditions or indications","W: decision granting a waiver in all age groups for all conditions or indications","28/01/2025","coramitug","Immune system disorders","Adjunctive treatment in haematopoietic cell transplantation;Treatment of transthyretin amyloidosis (ATTR)","",TRUE,,FALSE,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMA/PE/0000228821",,"https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/ema-pe-0000228821","W","W: decision granting a waiver in all age groups for all conditions or indications","W: decision granting a waiver in all age groups for all conditions or indications","28/01/2025","zelenectide pevedotin","Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Treatment of urothelial carcinoma","",TRUE,,FALSE,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMA/PE/0000228365",,"https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/ema-pe-0000228365","W","W: decision granting a waiver in all age groups for all conditions or indications","W: decision granting a waiver in all age groups for all conditions or indications","28/01/2025","botensilimab","Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Treatment of all conditions included in the category of malignant neoplasms (except melanoma, SMARCB1 (INI1) tumours, hypermutated tumours, central nervous neoplasms, haematopoietic and lymphoid tissues neoplasms)","",TRUE,,FALSE,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
