"sponsor_name","baseline_date"
"Althaia Xarxa Assistencial Universitria De Manresa. Fundaci Privada","2026-05-05"
"Altheia","2026-05-05"
"Altimmune","2026-05-05"
"Altos","2026-05-05"
"Altus","2026-05-05"
"Alumis","2026-05-05"
"Alvine","2026-05-05"
"Alvotech Swiss","2026-05-05"
"Alx","2026-05-05"
"Alysis Zorggroep","2026-05-05"
"Alzeca","2026-05-05"
"Alzecure","2026-05-05"
"Alzheon","2026-05-05"
"Am","2026-05-05"
"Amag","2026-05-05"
"Amag Usa","2026-05-05"
"Amar Agha","2026-05-05"
"Amar Agha, Beaumont Hospital","2026-05-05"
"Amarantus","2026-05-05"
"Amarin","2026-05-05"
"Amarin Neuroscience","2026-05-05"
"Ambit","2026-05-05"
"Ambria Dermatology","2026-05-05"
"Ambrilia","2026-05-05"
"Ambrx","2026-05-05"
"Ambrx, ., Usa","2026-05-05"
"Ambulance Service, Stockholm City Council","2026-05-05"
"American Regent","2026-05-05"
"Amersham","2026-05-05"
"Amersham And Its Amersham Health Affiliates, Trading As Ge","2026-05-05"
"Amersham Health","2026-05-05"
"Amersham Health . Parte De Ge Y Sus Filiales","2026-05-05"
"Amgen","2026-05-05"
"Amicus","2026-05-05"
"Ammax Bio","2026-05-05"
"Ammerland","2026-05-05"
"Amo","2026-05-05"
"Amolyt / Amolyt","2026-05-05"
"Amphera","2026-05-05"
"Amphia","2026-05-05"
"Amphia Hospital","2026-05-05"
"Amphia Ziekenhuis","2026-05-05"
"Amplio","2026-05-05"
"Amplyx","2026-05-05"
"Amryt","2026-05-05"
"Amryt Designated Activity Company","2026-05-05"
"Amsterdam UMC","2026-05-05"
"Amtssygehuset I Roskilde","2026-05-05"
"Amvac Kft","2026-05-05"
"Amw","2026-05-05"
"Amylin","2026-05-05"
"Amyloid Center","2026-05-05"
"Amylyx","2026-05-05"
"Amylyx Emea . / Amylyx","2026-05-05"
"Amyndas","2026-05-05"
"Amzell","2026-05-05"
"An","2026-05-05"
"Ana Boto De Los Bueis","2026-05-05"
"Ana De Pedro Muoz","2026-05-05"
"Ana M","2026-05-05"
"Ana M. Wgner","2026-05-05"
"Ana Vallejo De La Cueva","2026-05-05"
"Anacardio","2026-05-05"
"Anadys","2026-05-05"
"Anaesthesia And Operative Services, Kuopio University Hospital","2026-05-05"
"Anaesthesia Department, Hvidovre Hospital, Capital Region Of","2026-05-05"
"Anaesthesiology Department. Universitary Hospital Vall Dhebron, Barcelona","2026-05-05"
"Analgesic Solutions","2026-05-05"
"Analitica","2026-05-05"
"Anamar","2026-05-05"
"Ananda","2026-05-05"
"Anaptysbio","2026-05-05"
"Anaptysbio . / Anaptysbio","2026-05-05"
"Anaveon","2026-05-05"
"Anavex","2026-05-05"
"Anavex Life","2026-05-05"
"And Enterprise Department","2026-05-05"
"And Innovation Department","2026-05-05"
"And Innovation Services","2026-05-05"
"And Innovation Services, University Of Dundee","2026-05-05"
"And Innovation, Nottingham University Hospital","2026-05-05"
"Anders Gadegaard Jensen,Anesthesia And Intensive Care Unit, Odense University Hospital","2026-05-05"
"Anders Troelsen","2026-05-05"
"Andi - Ventis","2026-05-05"
"Andi-Ventis","2026-05-05"
"Andrea Di Marco","2026-05-05"
"Andreas Kjaer","2026-05-05"
"Andreas Kjr","2026-05-05"
"Andres Iiguez Romo","2026-05-05"
"Andromeda","2026-05-05"
"Andrs Ignacio Bodegas Caas","2026-05-05"
"Andrs Iguez Romo","2026-05-05"
"Andrs Poveda","2026-05-05"
"Anebulo","2026-05-05"
"Anergis","2026-05-05"
"Anestesi Och Operationskliniken","2026-05-05"
"Anestesicentrum, Sundsvalls Sjukhus, Landstinget Vsternorrland","2026-05-05"
"Anestesikliniken","2026-05-05"
"Anesthesiological Dep., Hospital Of Frederikssund","2026-05-05"
"Anesthesiology Clinic,Akademiska Sjukhuset, Uppsala","2026-05-05"
"Aneurin Bevan University Health Board","2026-05-05"
"Angel Lanas","2026-05-05"
"Angela Puente","2026-05-05"
"Angelini","2026-05-05"
"Angelini Aziende Chimiche Riunite Angelini Francesc O A.C.R.A.F","2026-05-05"
"Angelini Aziende Chimiche Riunite Angelini Francesc O A.C.R.A.F. . Enunciabile Anche Angelini . Angelini . A.C.R.A.F. . Acraf . Angelini . Aziende Chimiche Riunite Angelini Francesco A.C.R.A.F","2026-05-05"
"Anges","2026-05-05"
"Angion Biomedica","2026-05-05"
"Angitia","2026-05-05"
"Anheart . / Nuvation Bio","2026-05-05"
"Anika","2026-05-05"
"Anja Bisgaard Pinborg","2026-05-05"
"Anji Us","2026-05-05"
"Ankh Life","2026-05-05"
"Ann Hellstrm","2026-05-05"
"Ann Merete Mller","2026-05-05"
"Anna Coquard Rafales","2026-05-05"
"Anna Karlberg","2026-05-05"
"Anna Meuronen","2026-05-05"
"Anna Suy Franch","2026-05-05"
"Anna-Kaisa Tuomaala","2026-05-05"
"Anna-Liisa Kautio","2026-05-05"
"Annadalstichting","2026-05-05"
"Anne Mette Hvas","2026-05-05"
"Anne Pesonen","2026-05-05"
"Anne Ristikankare","2026-05-05"
"Anne Vakkuri","2026-05-05"
"Anne-Mette Hvas","2026-05-05"
"Annexin (Publ)","2026-05-05"
"Annexon","2026-05-05"
"Anni Ravnbek Jensen","2026-05-05"
"Annovis Bio","2026-05-05"
"Anocca","2026-05-05"
"Anormed","2026-05-05"
"Anova Andrologi, Sexualmedicin, Transmedicin Karolinska Universitetssjukhuset Och Ume Universitet","2026-05-05"
"Anrs","2026-05-05"
"Anrs Agence Nationale De Recherche Sur Le Sida Et Les Hpatites Virales","2026-05-05"
"Anrs Maladies Infectieuses Emergentes","2026-05-05"
"Anstesiologisk Afd. Herlev Hospital","2026-05-05"
"Anstesiologisk Afd. I, Skejby Sygehus","2026-05-05"
"Anstesiologisk Afdeling, Sjllands Universitetshospital, Roskilde","2026-05-05"
"Anstesiologisk-Intensiv Afd V, Odense Universitets Hospital","2026-05-05"
"Anstesisektor Nordjylland","2026-05-05"
"Ansun","2026-05-05"
"Antabio","2026-05-05"
"Antares","2026-05-05"
"Antaros Medical","2026-05-05"
"Antev / Antev Nordic","2026-05-05"
"Anthera","2026-05-05"
"Anthos","2026-05-05"
"Antibiotic-Razgrad Ad","2026-05-05"
"Antibiotice","2026-05-05"
"Antibiotice . / Iasis Hellas","2026-05-05"
"Antibiotice . / Iasis Hellas A.B.E.E","2026-05-05"
"Antibiotx Aps","2026-05-05"
"Anticancer Informing Me Gnosi Nika","2026-05-05"
"Antigenics","2026-05-05"
"Antipodean","2026-05-05"
"Antisense","2026-05-05"
"Antisoma","2026-05-05"
"Antnio Robalo Nunes","2026-05-05"
"Antoni Sabat Pes Servicio De Anestesiologa Y Reanimacin Del Hospital Universitari De Bellvitge","2026-05-05"
"Antoni Van Leeuwenhoek","2026-05-05"
"Antoni Van Leeuwenhoek Hospital","2026-05-05"
"Antoni Van Leeuwenhoek Ziekenhuis","2026-05-05"
"Antonio Antela Lopez","2026-05-05"
"Antonio Antela Lpez","2026-05-05"
"Antonio Cubillo Gracin Servicio De Oncologa Mdica","2026-05-05"
"Antonio Jerez Calero","2026-05-05"
"Antonio Moreno Gald","2026-05-05"
"Antonio Noda Cabrera","2026-05-05"
"Antonio Perez Martinez","2026-05-05"
"Antonio Prez Martnez","2026-05-05"
"Antonio Prez-Martnez","2026-05-05"
"Antonio Zebenzui Gimeno Garca","2026-05-05"
"Antonis Valachis","2026-05-05"
"Antti Aho","2026-05-05"
"Antti Vnnen","2026-05-05"
"Antwerp University Hospital","2026-05-05"
"Antwerp University Hospital : Department Respiratory Medicine","2026-05-05"
"Antwerp University Hospital Uza","2026-05-05"
"Anxiofit","2026-05-05"
"Anz Breast Cancer Trials","2026-05-05"
"Anzic Centre","2026-05-05"
"Ao Ospedale Niguarda Ca Granda","2026-05-05"
"Ao. Univ. Prof. Dr. Elisabeth Aberer","2026-05-05"
"Aop Oprhan","2026-05-05"
"Aop Orphan","2026-05-05"
"Aou Careggi","2026-05-05"
"Aou Citta Della Salute E Della Scienza Di Torino","2026-05-05"
"AOU di Bologna, Policlinico S.Orsola-Malpighi","2026-05-05"
"Aou Federico Ii","2026-05-05"
"Aou Materdomini","2026-05-05"
"Aou Meyer","2026-05-05"
"Aou San Luigi Gonzaga","2026-05-05"
"AP-HP","2026-05-05"
"Ap-Hp/ Drci","2026-05-05"
"Ap-Hp/Drci","2026-05-05"
"Apatech","2026-05-05"
"Apceth","2026-05-05"
"Apcintex","2026-05-05"
"Apeiron","2026-05-05"
"Apellis","2026-05-05"
"Apellis Pharmaceutcials","2026-05-05"
"Apeptico Forschung Und Entwicklung","2026-05-05"
"Apex","2026-05-05"
"Apexigen","2026-05-05"
"Aphaia","2026-05-05"
"Aphaia Us","2026-05-05"
"Aplagon","2026-05-05"
"Apmonia","2026-05-05"
"Apocare","2026-05-05"
"Apodemus","2026-05-05"
"Apodemus Aktiebolag","2026-05-05"
"Apogee","2026-05-05"
"Apogenix","2026-05-05"
"Apogepha Arzneimittel","2026-05-05"
"Apollomics","2026-05-05"
"Apopharma","2026-05-05"
"Aposcience","2026-05-05"
"Apotex","2026-05-05"
"Apoxis","2026-05-05"
"Applied","2026-05-05"
"Applied Genetic Technologies","2026-05-05"
"Applied Molecular Transport","2026-05-05"
"Applied Using Omic","2026-05-05"
"Aprea","2026-05-05"
"Aprec","2026-05-05"
"Apro","2026-05-05"
"Aprogen","2026-05-05"
"Aps","2026-05-05"
