alias_clean,sponsor_clean,sponsor_parent,sponsor_group,sponsor_type,source,confidence_prior,alias_type
a i e o p,A.I.E.O.P. - Associazione Italiana Ematologia Oncologia Pediatrica,NA,NA,unknown,llm_reviewed,1,llm_reviewed
a i e o p - associazione italiana ematologia oncologia pediatrica,A.I.E.O.P. - Associazione Italiana Ematologia Oncologia Pediatrica,NA,NA,unknown,llm_reviewed,1,llm_reviewed
a i l associazione italiana contro le leucemie linfomi e mielomi,"AIL - Associazione Italiana contro le Leucemie, Linfomi e Mielomi",NA,NA,unknown,llm_reviewed,1,llm_reviewed
a menarini farmaceutica internazionale s r l,A. Menarini Farmaceutica Internazionale s.r.l.,NA,NA,unknown,llm_reviewed,1,llm_reviewed
a menarini i f r,A. Menarini I.F.R.,NA,NA,unknown,llm_reviewed,1,llm_reviewed
a menarini pharma u k,A. Menarini Pharma U.K.,NA,NA,unknown,llm_reviewed,1,llm_reviewed
a n m c o - fondazione italiana lotta malattie cardiovascolari,ANMCO - Fondazione Italiana Lotta Malattie Cardiovascolari,NA,NA,foundation,llm_reviewed,1,llm_reviewed
a n m c o -fondazione italiana lotta malattie cardiovasc,ANMCO - Fondazione Italiana Lotta Malattie Cardiovascolari,NA,NA,foundation,llm_reviewed,1,llm_reviewed
a o istituti ospitalieri di cremona,Azienda Ospedaliera Istituti Ospitalieri di Cremona,NA,NA,unknown,llm_reviewed,1,llm_reviewed
a o ospedale di circolo e fondazione macchi,Azienda Ospedaliera Fondazione Macchi A.O. di Rilievo Nazionale,NA,NA,hospital,llm_reviewed,1,llm_reviewed
a o papa giovanni xxiii- bergamo,Azienda Ospedaliera Papa Giovanni XXIII,NA,NA,unknown,llm_reviewed,1,llm_reviewed
a o san gerardo,A.O. San Gerardo di Monza,NA,NA,unknown,llm_reviewed,1,llm_reviewed
a o san gerardo di monza,A.O. San Gerardo di Monza,NA,NA,unknown,llm_reviewed,1,llm_reviewed
a o u universit degli studi della campania luigi vanvitelli,AOU Università degli Studi della Campania Luigi Vanvitelli,NA,NA,academic,llm_reviewed,1,llm_reviewed
a o universitaria integrata di verona,Azienda Ospedaliera Universitaria Integrata di Verona,NA,NA,unknown,llm_reviewed,1,llm_reviewed
a p pharma inc,"A.P. Pharma, Inc.",NA,NA,unknown,llm_reviewed,1,llm_reviewed
a r t i c association pour la recherche de thrapeutiques innovantes en cancrologie,A.R.T.I.C Association pour la Recherche de Thérapeutiques Innovantes en Cancérologie,NA,NA,NA,llm_reviewed,1,llm_reviewed
a r t i c association pour la recherche de thrapeutiques innovantes en cancrologie,ARTIC,NA,NA,unknown,llm_reviewed,1,llm_reviewed
a s l 2,A.S.L. 2,NA,NA,unknown,llm_reviewed,1,llm_reviewed
a s l 2 savona,A.S.L. 2 Savona,NA,NA,unknown,llm_reviewed,1,llm_reviewed
a s l to 2,A.S.L. TO 2,NA,NA,unknown,llm_reviewed,1,llm_reviewed
a t development switzerland sarl,A.T. Development Switzerland SARL,NA,NA,unknown,llm_reviewed,1,llm_reviewed
a u s l rimini,A.U.S.L. RIMINI,NA,NA,unknown,llm_reviewed,1,llm_reviewed
a vogel ag,A.Vogel AG,NA,NA,unknown,llm_reviewed,1,llm_reviewed
aalborg sygehus,Aalborg Sygehus,NA,NA,unknown,llm_reviewed,1,llm_reviewed
aalborg sygehus syd,Aalborg Sygehus Syd,NA,NA,unknown,llm_reviewed,1,llm_reviewed
aalborg universitets hospital,Aalborg University Hospital,NA,NA,hospital,llm_reviewed,1,llm_reviewed
aalborg universitetshospital,Aalborg Universitetshospital,NA,NA,unknown,llm_reviewed,1,llm_reviewed
aalborg university,Aalborg University,NA,NA,unknown,llm_reviewed,1,llm_reviewed
aalborg university hospital,Aalborg University Hospital,NA,NA,hospital,llm_reviewed,1,llm_reviewed
aalborg university hospital aalborg psychiatric hospital centre for psychosisresearch,Aalborg University Hospital,NA,NA,hospital,llm_reviewed,1,llm_reviewed
aalborg university hospital department of orthopedics / mogens brouw jrgensen,Aalborg University Hospital,NA,NA,hospital,llm_reviewed,1,llm_reviewed
aalborg university hospital dept of rheumatology,Aalborg University Hospital,NA,NA,hospital,llm_reviewed,1,llm_reviewed
aalst dermatology group,Aalst Dermatology Group,NA,NA,unknown,llm_reviewed,1,llm_reviewed
aalto-yliopiston kylmlaboratorion aivotutkimusyksikk,Aalto-yliopiston Kylmlaboratorion Aivotutkimusyksikk,NA,NA,unknown,llm_reviewed,1,llm_reviewed
aarhus sygehus,Aarhus Sygehus,NA,NA,unknown,llm_reviewed,1,llm_reviewed
aarhus universityhospital,Aarhus University Hospital,NA,NA,unknown,llm_reviewed,1,llm_reviewed
aarhus unversity hospital,Aarhus University Hospital,NA,NA,academic,llm_reviewed,1,llm_reviewed
aastrom biosciences inc,"Aastrom Biosciences, Inc.",NA,NA,unknown,llm_reviewed,1,llm_reviewed
aavantgarde bio s r l,Aavantgarde Bio S.r.l.,NA,NA,unknown,llm_reviewed,1,llm_reviewed
ab analitica srl,AB ANALITICA SRL,NA,NA,unknown,llm_reviewed,1,llm_reviewed
ab science,Ab Science,NA,NA,unknown,review_queue,1,review_queue
ab-biotics,AB-BIOTICS,NA,NA,unknown,llm_reviewed,1,llm_reviewed
ab-biotics s a,AB-BIOTICS S.A.,NA,NA,unknown,llm_reviewed,1,llm_reviewed
ab2 bio ltd,AB2 Bio,NA,NA,unknown,llm_reviewed,1,llm_reviewed
ab2 bio s a,AB2 Bio S.A.,NA,NA,unknown,llm_reviewed,1,llm_reviewed
abalos therapeutics gmbh,Abalos Therapeutics GmbH,NA,NA,unknown,llm_reviewed,1,llm_reviewed
abbisko therapeutics co ltd,Abbisko Therapeutics Co. Ltd.,NA,NA,unknown,llm_reviewed,1,llm_reviewed
abbott,Abbott,NA,NA,industry,llm_reviewed,1,llm_reviewed
abbott biologicals b v,Abbott,NA,NA,industry,llm_reviewed,1,llm_reviewed
abbott france,Abbott,NA,NA,industry,llm_reviewed,1,llm_reviewed
abbott healthcare products b v,Abbott,NA,NA,industry,llm_reviewed,1,llm_reviewed
abbott laboratories,Abbott,NA,NA,industry,llm_reviewed,1,llm_reviewed
abbott laboratories gmbh,Abbott,NA,NA,industry,llm_reviewed,1,llm_reviewed
abbott laboratories ireland limited,Abbott,NA,NA,industry,llm_reviewed,1,llm_reviewed
abbott products gmbh,Abbott,NA,NA,industry,llm_reviewed,1,llm_reviewed
abbott products inc abbott products inc is part of the parent company abbott laboratories,Abbott,NA,NA,industry,llm_reviewed,1,llm_reviewed
abbott scandinavia ab,Abbott,NA,NA,industry,llm_reviewed,1,llm_reviewed
abcentra llc,Abcentra LLC,NA,NA,unknown,llm_reviewed,1,llm_reviewed
abcsg - austrian breast colorectal cancer study group,ABCSG,NA,NA,cooperative_group,llm_reviewed,1,llm_reviewed
abcsg austrian breast colorectal cancer study group,ABCSG,NA,NA,cooperative_group,llm_reviewed,1,llm_reviewed
abcsg gmbh / alliance foundation trials llc,ABCSG GmbH / Alliance Foundation Trials LLC,NA,NA,foundation,llm_reviewed,1,llm_reviewed
abcuro inc,Abcuro,NA,NA,unknown,llm_reviewed,1,llm_reviewed
abel garca garca,Abel Garca Garca,NA,NA,unknown,llm_reviewed,1,llm_reviewed
abelardo garcia de lorenzo / teresa nuez-villaveiran,Abelardo Garcia De Lorenzo / Teresa Nuez-Villaveiran,NA,NA,unknown,llm_reviewed,1,llm_reviewed
abeona therapeutics europe sl,Abeona Therapeutics,NA,NA,unknown,llm_reviewed,1,llm_reviewed
abeona therapeutics inc,Abeona Therapeutics Inc,NA,NA,unknown,llm_reviewed,1,llm_reviewed
abertawe bro morgannwg university health board,Abertawe Bro Morgannwg University NHS Trust,NA,NA,unknown,llm_reviewed,1,llm_reviewed
abertawe bro morgannwg university lhb,Abertawe Bro Morgannwg University NHS Trust,NA,NA,unknown,llm_reviewed,1,llm_reviewed
abertawe bro morgannwg university nhs trust,Abertawe Bro Morgannwg University NHS Trust,NA,NA,hospital,llm_reviewed,1,llm_reviewed
abide therapeutics inc,Abide Therapeutics,NA,NA,unknown,llm_reviewed,1,llm_reviewed
ability pharmaceuticals s a,Ability Pharmaceuticals,NA,NA,unknown,llm_reviewed,1,llm_reviewed
ability pharmaceuticals sl,"Ability Pharmaceuticals, SL",NA,NA,unknown,llm_reviewed,1,llm_reviewed
abiogen pharma,ABIOGEN PHARMA,NA,NA,unknown,llm_reviewed,1,llm_reviewed
abiogen pharma s p a,Abiogen Pharma S.p.A.,NA,NA,unknown,llm_reviewed,1,llm_reviewed
abivax,ABIVAX,NA,NA,unknown,llm_reviewed,1,llm_reviewed
ablative solutions inc,"Ablative Solutions, Inc.",NA,NA,unknown,llm_reviewed,1,llm_reviewed
abliva ab,Abliva AB,NA,NA,unknown,llm_reviewed,1,llm_reviewed
ablynx,Ablynx NV,NA,NA,unknown,llm_reviewed,1,llm_reviewed
ablynx n v,Ablynx NV,NA,NA,unknown,llm_reviewed,1,llm_reviewed
ablynx nv,Ablynx NV,NA,NA,unknown,llm_reviewed,1,llm_reviewed
abnoba gmbh,Abnoba GmbH,NA,NA,unknown,llm_reviewed,1,llm_reviewed
aboca,ABOCA,NA,NA,unknown,llm_reviewed,1,llm_reviewed
aboca s p a societ agricola,ABOCA S.p.A. Società Agricola,NA,NA,unknown,llm_reviewed,1,llm_reviewed
aboleris holdco,Aboleris Holdco,NA,NA,unknown,llm_reviewed,1,llm_reviewed
abraxis bioscience llc a wholly owned subsidiary of celgene corporation,Abraxis BioScience LLC,NA,NA,unknown,llm_reviewed,1,llm_reviewed
abraxis bioscience llc a wholly-owned subsidiary celgene corporation,Abraxis BioScience LLC,NA,NA,unknown,llm_reviewed,1,llm_reviewed
abraxis bioscience llc a wholly-owned subsidiary of celgene corporation,Abraxis BioScience LLC,NA,NA,unknown,llm_reviewed,1,llm_reviewed
abscience,ABScience,NA,NA,unknown,llm_reviewed,1,llm_reviewed
abscint,Abscint,NA,NA,unknown,llm_reviewed,1,llm_reviewed
abteilung fr anaesthesie und intensivmedizin medizinische universitt wien,Medical University Of Vienna,NA,NA,unknown,llm_reviewed,1,llm_reviewed
abteilung fr anaesthesiologie und intensivmedizin,Abteilung fr Anaesthesiologie und Intensivmedizin,NA,NA,unknown,llm_reviewed,1,llm_reviewed
abteilung fr augenheilkunde akh linz,"Abteilung für Augenheilkunde, AKH Linz",NA,NA,unknown,llm_reviewed,1,llm_reviewed
abteilung fr hals- nasen- ohrenkrankheiten muw akh wien,Medical University Of Vienna,NA,NA,unknown,llm_reviewed,1,llm_reviewed
abteilung fr hals- nasen- und ohrenkrankheiten muw akh wien,Medical University Of Vienna,NA,NA,unknown,llm_reviewed,1,llm_reviewed
abteilung fr herz-thorax-gef ansthesie intensivmedizin htg,Abteilung fr Herz-Thorax-Gef Ansthesie Intensivmedizin HTG,NA,NA,unknown,llm_reviewed,1,llm_reviewed
abteilung fr neurologie der medizinischen universitt innsbruck,Medical University Of Innsbruck,NA,NA,hospital,llm_reviewed,1,llm_reviewed
abteilung fr pulmologie landesklinikum thermenregion hochegg,Landesklinikum Thermenregion Hochegg,NA,NA,unknown,llm_reviewed,1,llm_reviewed
abteilung klinische chemie ukl freiburg,Universitätsklinikum Freiburg,NA,NA,unknown,llm_reviewed,1,llm_reviewed
abx advanced biochemical compounds - biomedizinische forschungsreagenzien gmbh,ABX Advanced Biochemical Compounds - Biomedizinische Forschungsreagenzien GmbH,NA,NA,unknown,llm_reviewed,1,llm_reviewed
abx gmbh,ABX GmbH,NA,NA,unknown,llm_reviewed,1,llm_reviewed
acacia pharma limited,Acacia Pharma Ltd.,NA,NA,unknown,llm_reviewed,1,llm_reviewed
acacia pharma ltd,Acacia Pharma,NA,NA,unknown,llm_reviewed,1,llm_reviewed
academic hospital maastricht,Academic Hospital Maastricht,NA,NA,hospital,llm_reviewed,1,llm_reviewed
academic hospital maastricht azm,Maastricht University Medical Center,NA,NA,hospital,llm_reviewed,1,llm_reviewed
academic medical center/ gastroenterology,Amsterdam UMC,NA,NA,hospital,llm_reviewed,1,llm_reviewed
academic medical centre,Amsterdam UMC,NA,NA,hospital,llm_reviewed,1,llm_reviewed
academic medical centre amc,Amsterdam UMC,NA,NA,hospital,llm_reviewed,1,llm_reviewed
academic medical centre amsterdam,Amsterdam UMC,NA,NA,hospital,llm_reviewed,1,llm_reviewed
academic ms center limburg,Academic MS Center Limburg,NA,NA,unknown,llm_reviewed,1,llm_reviewed
academic psychiatric center - amc-uva,Amsterdam UMC,NA,NA,hospital,llm_reviewed,1,llm_reviewed
academical medical center,Amsterdam UMC,NA,NA,unknown,llm_reviewed,1,llm_reviewed
academical medical center department of dermatology,Amsterdam UMC,NA,NA,unknown,llm_reviewed,1,llm_reviewed
academical medical center university of amsterdam,Amsterdam UMC,NA,NA,unknown,llm_reviewed,1,llm_reviewed
academical medical centre dep of internal medicine,Amsterdam UMC,NA,NA,hospital,llm_reviewed,1,llm_reviewed
academical medical centre department of internal,Amsterdam UMC,NA,NA,hospital,llm_reviewed,1,llm_reviewed
acadia pharmaceuticals inc,ACADIA Pharmaceuticals Inc.,NA,NA,unknown,llm_reviewed,1,llm_reviewed
accare,Accare,NA,NA,unknown,llm_reviewed,1,llm_reviewed
accelerator advanced application,Accelerator Advanced Application,NA,NA,unknown,llm_reviewed,1,llm_reviewed
acceleron pharma inc,Acceleron Pharma,NA,NA,unknown,llm_reviewed,1,llm_reviewed
accenture,Accenture,NA,NA,unknown,llm_reviewed,1,llm_reviewed
access pharmaceuticals inc,"ACCESS Pharmaceuticals, Inc.",NA,NA,unknown,llm_reviewed,1,llm_reviewed
accession therapeutics limited,Accession Therapeutics Limited,NA,NA,unknown,llm_reviewed,1,llm_reviewed
accord academic and clinical central office for research development / accord academic and clinical central office for research development,ACCORD Academic and Clinical Central Office for Research & Development,NA,NA,unknown,llm_reviewed,1,llm_reviewed
accord healthcare ltd,Accord Healthcare Ltd.,NA,NA,unknown,llm_reviewed,1,llm_reviewed
accord office / nhs lothian rd office,ACCORD / NHS Lothian R&D,NA,NA,hospital,llm_reviewed,1,llm_reviewed
accord university of edinburgh / accord nhs lothian,ACCORD Academic and Clinical Central Office for Research & Development,NA,NA,hospital,llm_reviewed,1,llm_reviewed
accure tx france sasu,Accure TX France SASU,NA,NA,unknown,llm_reviewed,1,llm_reviewed
ace aps,ACE Aps,NA,NA,unknown,llm_reviewed,1,llm_reviewed
acedemic medical center,Amsterdam UMC,NA,NA,hospital,llm_reviewed,1,llm_reviewed
acedemic medical centre amsterdam,Amsterdam UMC,NA,NA,unknown,llm_reviewed,1,llm_reviewed
acelyrin inc,Acelyrin,NA,NA,unknown,llm_reviewed,1,llm_reviewed
acep,acep,NA,NA,unknown,llm_reviewed,1,llm_reviewed
acerta pharma b v,Acerta Pharma B.V.,NA,NA,unknown,llm_reviewed,1,llm_reviewed
acerta pharma bv,Acerta Pharma,NA,NA,unknown,llm_reviewed,1,llm_reviewed
acerus biopharma inc,Acerus Biopharma Inc.,NA,NA,unknown,llm_reviewed,1,llm_reviewed
acesion pharma aps,Acesion Pharma,NA,NA,unknown,llm_reviewed,1,llm_reviewed
acetylon pharmaceuticals inc,"Acetylon Pharmaceuticals, Inc.",NA,NA,unknown,llm_reviewed,1,llm_reviewed
achaogen inc,Achaogen,NA,NA,unknown,llm_reviewed,1,llm_reviewed
achg-k u leuven,KU Leuven,NA,NA,unknown,llm_reviewed,1,llm_reviewed
achieve life sciences inc,Achieve Life Sciences,NA,NA,unknown,llm_reviewed,1,llm_reviewed
achilles therapeutics uk limited,Achilles Therapeutics UK Limited,NA,NA,unknown,llm_reviewed,1,llm_reviewed
achillion pharmaceuticals inc,Achillion Pharmaceuticals,NA,NA,unknown,llm_reviewed,1,llm_reviewed
achillion pharmaceuticals inc a wholly owned subsidiary of alexion pharmaceuticals inc,"Achillion Pharmaceuticals, Inc., a wholly owned subsidiary of Alexion Pharmaceuticals Inc.",NA,NA,industry,llm_reviewed,1,llm_reviewed
acino supply ag,Acino Supply,NA,NA,unknown,llm_reviewed,1,llm_reviewed
aclaris therapeutics inc,"Aclaris Therapeutics, Inc.",NA,NA,unknown,llm_reviewed,1,llm_reviewed
aco-asso,ACO-ASSO,NA,NA,unknown,llm_reviewed,1,llm_reviewed
acorn research llc,Acorn Research,NA,NA,unknown,llm_reviewed,1,llm_reviewed
acosog,ACOSOG,NA,NA,unknown,llm_reviewed,1,llm_reviewed
acousia therapeutics gmbh,Acousia Therapeutics GmbH,NA,NA,unknown,llm_reviewed,1,llm_reviewed
acraf s p a,Angelini Pharma Italia Aziende Chimiche Riunite Angelini Francesc O A.C.R.A.F. S.p.A.,NA,NA,unknown,llm_reviewed,1,llm_reviewed
acrivon therapeutics inc,Acrivon Therapeutics,NA,NA,unknown,llm_reviewed,1,llm_reviewed
across,ACROSS,NA,NA,unknown,llm_reviewed,1,llm_reviewed
across associaci catalana de recerca oncolgica i les seves implicacions sanitries i socials,ACROSS Associaci Catalana de Recerca Oncolgica i les seves implicacions Sanitries i Socials,NA,NA,unknown,llm_reviewed,1,llm_reviewed
across associaci catalana per a la recerca oncolgica i les seves implicacions sanitries i socials,ACROSS Associaci Catalana per a la Recerca Oncolgica i les seves implicacions Sanitries i Socials,NA,NA,unknown,llm_reviewed,1,llm_reviewed
across associaci catalana per la recerca oncolgica i les seves implicacions sanitries i socials,ACROSS Associaci catalana per la recerca oncolgica i les seves implicacions sanitries i socials,NA,NA,unknown,llm_reviewed,1,llm_reviewed
across group,ACROSS Group,NA,NA,unknown,llm_reviewed,1,llm_reviewed
acrotech biopharma inc,Acrotech Biopharma,NA,NA,unknown,llm_reviewed,1,llm_reviewed
acrux pharma pty ltd,Acrux Pharma Pty Ltd,NA,NA,unknown,llm_reviewed,1,llm_reviewed
acs biomarker,ACS Biomarker,NA,NA,unknown,llm_reviewed,1,llm_reviewed
act biotech inc,"ACT BIOTECH, Inc.",NA,NA,unknown,llm_reviewed,1,llm_reviewed
acta,ACTA,NA,NA,unknown,llm_reviewed,1,llm_reviewed
actavis deutschland gmbh co kg,Actavis Deutschland GmbH & Co. KG,NA,NA,unknown,llm_reviewed,1,llm_reviewed
actavis gmbh co kg,Actavis Deutschland GmbH & Co. KG,NA,NA,unknown,llm_reviewed,1,llm_reviewed
actavis group ptc ehf,Actavis Deutschland GmbH & Co. KG,NA,NA,unknown,llm_reviewed,1,llm_reviewed
actavis hungary gygyszermarketing s kereskedelmi korltolt felelssg trsasg,Actavis Hungary,NA,NA,unknown,llm_reviewed,1,llm_reviewed
actelion pharmacteuticals ltd,Actelion Pharmaceuticals,NA,NA,industry,llm_reviewed,1,llm_reviewed
acticor biotech,Acticor Biotech,NA,NA,unknown,llm_reviewed,1,llm_reviewed
actinogen medical,Actinogen Medical,NA,NA,unknown,llm_reviewed,1,llm_reviewed
action pharma a/s,Action Pharma A/S,NA,NA,unknown,llm_reviewed,1,llm_reviewed
actitrexx gmbh,ActiTrexx GmbH,NA,NA,unknown,llm_reviewed,1,llm_reviewed
activaero gmbh,Activaero GmbH,NA,NA,unknown,llm_reviewed,1,llm_reviewed
activartis biotech gmbh,Activartis Biotech GmbH,NA,NA,unknown,llm_reviewed,1,llm_reviewed
active biotech ab,Active Biotech AB,NA,NA,unknown,llm_reviewed,1,llm_reviewed
active biotech research ab,Active Biotech Research AB,NA,NA,unknown,llm_reviewed,1,llm_reviewed
activus pharma co ltd,"Activus Pharma Co., Ltd.",NA,NA,unknown,llm_reviewed,1,llm_reviewed
activx biosciences inc,"ActivX Biosciences, Inc.",NA,NA,unknown,llm_reviewed,1,llm_reviewed
actogenix n v,ActoGeniX N.V.,NA,NA,unknown,llm_reviewed,1,llm_reviewed
actrevo gmbh,actrevo GmbH,NA,NA,unknown,llm_reviewed,1,llm_reviewed
actuate therapeutics limited,Actuate Therapeutics Limited,NA,NA,unknown,llm_reviewed,1,llm_reviewed
acucela inc,Acucela Inc.,NA,NA,unknown,llm_reviewed,1,llm_reviewed
acucort ab,AcuCort AB,NA,NA,unknown,llm_reviewed,1,llm_reviewed
acuity pharmaceuticals llc,"Acuity Pharmaceuticals, LLC",NA,NA,unknown,llm_reviewed,1,llm_reviewed
acumen pharmaceuticals inc,Acumen Pharmaceuticals Inc.,NA,NA,unknown,llm_reviewed,1,llm_reviewed
acusphere inc,"Acusphere, Inc.",NA,NA,unknown,llm_reviewed,1,llm_reviewed
adagio therapeutics inc,Adagio Therapeutics Inc,NA,NA,unknown,llm_reviewed,1,llm_reviewed
adamas pharmaceuticals inc,Adamas Pharmaceuticals,NA,NA,unknown,llm_reviewed,1,llm_reviewed
adamed pharma s a,Adamed Pharma S.A.,NA,NA,unknown,llm_reviewed,1,llm_reviewed
adaptimmune llc,Adaptimmune LLC,NA,NA,unknown,llm_reviewed,1,llm_reviewed
adare pharmaceutical,Adare Pharmaceuticals,NA,NA,unknown,llm_reviewed,1,llm_reviewed
adare pharmaceuticals us lp,Adare Pharmaceuticals,NA,NA,unknown,llm_reviewed,1,llm_reviewed
adarx pharmaceuticals inc,Adarx Pharmaceuticals,NA,NA,unknown,llm_reviewed,1,llm_reviewed
adcendo aps,ADCendo ApS,NA,NA,unknown,llm_reviewed,1,llm_reviewed
adcytherix,Adcytherix,NA,NA,unknown,llm_reviewed,1,llm_reviewed
addenbrookes hospital,Cambridge University Hospitals NHS Foundation Trust,NA,NA,hospital,llm_reviewed,1,llm_reviewed
addenbrookes hospital cambridge university hospitals nhs foundation trust,Cambridge University Hospitals NHS Foundation Trust,NA,NA,hospital,llm_reviewed,1,llm_reviewed
addenbrookes hospital nhs foundation trust,Cambridge University Hospitals NHS Foundation Trust,NA,NA,hospital,llm_reviewed,1,llm_reviewed
addenbrookes hospital nhs trust,Cambridge University Hospitals NHS Foundation Trust,NA,NA,hospital,llm_reviewed,1,llm_reviewed
addenbrookes hospital trust,Cambridge University Hospitals NHS Foundation Trust,NA,NA,hospital,llm_reviewed,1,llm_reviewed
addenbrookes nhs trust,Cambridge University Hospitals NHS Foundation Trust,NA,NA,hospital,llm_reviewed,1,llm_reviewed
addex pharma sa,Addex Pharma SA,NA,NA,unknown,llm_reviewed,1,llm_reviewed
addex pharmaceuticals s a,Addex Pharmaceuticals S.A.,NA,NA,unknown,llm_reviewed,1,llm_reviewed
addex pharmaceuticals sa,Addex Pharmaceuticals S.A.,NA,NA,unknown,llm_reviewed,1,llm_reviewed
addiction center stockholm,Addiction Center Stockholm,NA,NA,unknown,llm_reviewed,1,llm_reviewed
addmedica,Addmedica,NA,NA,unknown,llm_reviewed,1,llm_reviewed
addmedica s a s,Addmedica S.A.S,NA,NA,unknown,llm_reviewed,1,llm_reviewed
adds advanced drug development services,ADDS Advanced Drug Development Services,NA,NA,unknown,llm_reviewed,1,llm_reviewed
adelaida lamas ferreiro,ADELAIDA LAMAS FERREIRO,NA,NA,unknown,llm_reviewed,1,llm_reviewed
adelaide meath hospital / adelaide meath hospital incorporating the national childrens hospital,"Adelaide Meath Hospital / Adelaide Meath Hospital, incorporating the National Childrens hospital",NA,NA,hospital,llm_reviewed,1,llm_reviewed
adelaide meath hospital incorporating the national childrens hospital,Adelaide and Meath Hospital,NA,NA,hospital,llm_reviewed,1,llm_reviewed
adenobio n v,ADENOBIO N.V.,NA,NA,unknown,llm_reviewed,1,llm_reviewed
adenovir pharma ab,Adenovir Pharma AB,NA,NA,unknown,llm_reviewed,1,llm_reviewed
adeptio pharmaceuticals limited,Adeptio Pharmaceuticals,NA,NA,unknown,llm_reviewed,1,llm_reviewed
adial pharmaceuticals inc,Adial Pharmaceuticals Inc.,NA,NA,unknown,llm_reviewed,1,llm_reviewed
adienne sa,ADIENNE,NA,NA,unknown,llm_reviewed,1,llm_reviewed
adimmune corporation,Adimmune Corporation,NA,NA,unknown,llm_reviewed,1,llm_reviewed
adiposs s a,Adiposs S.A.,NA,NA,unknown,llm_reviewed,1,llm_reviewed
adjutec pharma as,Adjutec Pharma AS,NA,NA,unknown,llm_reviewed,1,llm_reviewed
adlai nortye usa inc,Adlai Nortye,NA,NA,unknown,llm_reviewed,1,llm_reviewed
administration management ludwig-maximilians-university of munich,Klinikum Der Universitat Munchen AöR,NA,NA,unknown,llm_reviewed,1,llm_reviewed
adocia,Adocia,NA,NA,unknown,llm_reviewed,1,llm_reviewed
adocia sa,Adocia SA,NA,NA,unknown,llm_reviewed,1,llm_reviewed
adrenomed ag,Adrenomed AG,NA,NA,unknown,llm_reviewed,1,llm_reviewed
adrfarcp,ADRFARCP,NA,NA,unknown,llm_reviewed,1,llm_reviewed
advancecor gmbh,advanceCOR GmbH,NA,NA,unknown,llm_reviewed,1,llm_reviewed
advanced accelerator applications,Advanced Accelerator Applications SA,NA,NA,unknown,llm_reviewed,1,llm_reviewed
advanced accelerator applications international s a,Advanced Accelerator Applications International S.A.,NA,NA,unknown,llm_reviewed,1,llm_reviewed
advanced accelerator applications international sa,Advanced Accelerator Applications SA,NA,NA,unknown,llm_reviewed,1,llm_reviewed
advanced accelerator applications sa,Advanced Accelerator Applications SA,NA,NA,unknown,llm_reviewed,1,llm_reviewed
advanced biodesign,Advanced Biodesign,NA,NA,unknown,llm_reviewed,1,llm_reviewed
