alias_clean,reason
onkologisk afdeling r and the unit for experimental chemotherapy,"generic department or unit, or combined multi-entity sponsor"
afsnit 360 gastroenheden,"generic department or unit, or combined multi-entity sponsor"
department of experimental clinical oncology,"generic department or unit, or combined multi-entity sponsor"
the department of calcium and bone metabolic diseases,"generic department or unit, or combined multi-entity sponsor"
the department of urology,"generic department or unit, or combined multi-entity sponsor"
univ clinic of dermatology,"generic department or unit, or combined multi-entity sponsor"
university clinic of dermatology division of special and enviromental dermatology,"generic department or unit, or combined multi-entity sponsor"
division of special and environmental dermatology,"generic department or unit, or combined multi-entity sponsor"
research development department,"generic department or unit, or combined multi-entity sponsor"
division of rheumatology,"generic department or unit, or combined multi-entity sponsor"
belgian study group for pediatric endocrinology,"generic department or unit, or combined multi-entity sponsor"
orthopaedic syrgery unit northern jytland,"generic department or unit, or combined multi-entity sponsor"
institute of oncology,"generic department or unit, or combined multi-entity sponsor"
greater glasgow nhs health board university of glasgow co sponsorship,"generic department or unit, or combined multi-entity sponsor"
nhs greater glasgow and clyde health board university of glasgow,"generic department or unit, or combined multi-entity sponsor"
university of leeds leeds teaching hospitals nhs trust,"generic department or unit, or combined multi-entity sponsor"
university of liverpool liverpool women s hospital,"generic department or unit, or combined multi-entity sponsor"
lund university malmo university hospital,"generic department or unit, or combined multi-entity sponsor"
lund university malm university hospital,"generic department or unit, or combined multi-entity sponsor"
r d directorate central manchester and manchester childrens university hospitals nhs trust,"generic department or unit, or combined multi-entity sponsor"
the royal group of hospitals belfast health and social care trust queens university belfast,"generic department or unit, or combined multi-entity sponsor"
research and development department university hospital of south manchester nhs foundation trust,"generic department or unit, or combined multi-entity sponsor"
universite de liege chu de liege,"generic department or unit, or combined multi-entity sponsor"
universite de liege centre hospitalier universitaire de liege,"generic department or unit, or combined multi-entity sponsor"
prof dr med anders fink jensen,person name — not a sponsor organisation
john l berk,person name — not a sponsor organisation
kirurginen sairaala suu ja leukakirurgian klinikka satu yli petys,person name — not a sponsor organisation
prim univ prof dr christian pirich department of nuclear medicine a,person name — not a sponsor organisation
university of liverpool liverpool womens hospital,combined multi-entity sponsor
the royal group of hospitals belfast health and social care trust q,combined multi-entity sponsor
