alias_clean,sponsors_all,n_sponsors,sources
gitmo,GITMO|Gitmo - Gruppo Italiano Trapianto di Midollo Osseo ONLUS,2,llm_reviewed|manual
grupo de tratamiento de los tumores digestivos ttd group,Grupo de Tratamiento de los Tumores Digestivos|Grupo TTD,2,location_postcode
grupo espaol de trasplante hematopoytico y terapia celular geth,GETH|GETH - Grupo Español de Trasplante Hematopoyético y Terapia Celular,2,llm_reviewed|manual
infectopharm arzneimittel und consilium gmbh,InfectoPharm|InfectoPharm Arzneimittel GmbH,2,llm_reviewed
institut klinick a experimentln medicny,Institut klinick a experimentln medicny|Institut Klinické a Experimentální Medicíny (IKEM),2,llm_reviewed
institut national de la sante et de la recherche medicale,Inserm|Institut National de la Sant et de la Research Mdicale,2,ctis_businesskey|location_postcode
institut rgional du cancer de montpellier icm,Centre Val d'Aurelle - Paul Lamarque|Institut Régional du Cancer de Montpellier,2,location_postcode
instituto de investigacin sanitaria la fe de,Instituto de Investigacin Sanitaria La Fe|INSTITUTO DE INVESTIGACIN SANITARIA LA FE DE VALENCIA,2,location_postcode
instituto de investigacion sanitaria la e,Instituto de Investigacin Sanitaria La Fe|INSTITUTO DE INVESTIGACIN SANITARIA LA FE DE VALENCIA,2,location_postcode
instituto de investigacion sanitaria la fe de valencia,Instituto de Investigacin Sanitaria La Fe|INSTITUTO DE INVESTIGACIN SANITARIA LA FE DE VALENCIA,2,location_postcode
itf research pharma s l u,ITF Research Pharma S.L.|ITF Research Pharma SLU,2,llm_reviewed
mereo biopharma group ltd,Mereo BioPharma 1 Ltd|Mereo BioPharma 2,2,location_postcode
neuraxpharm pharmaceuticals s l,"Laboratorios Lesvi S.L.|Laboratorios Lesvi, S.L. Neuraxpharm group",2,ctis_businesskey|euctr_email_domain:neuraxpharm.com
nightstarx ltd,NightstaRx|NightstaRx Ltd A Biogen Company,2,euctr_email_domain:nightstarx.com|location_postcode
odense universitets hospital,Odense Universitetshospital/Syddansk Universitet|Odense University Hospital,2,llm_reviewed|manual
red andaluza de diseno y traslacion de terapias avanzadas fundacion publica andaluza progreso y salud,Red Andaluza de Diseño y Traslación de Terapias Avanzadas|Red Andaluza de Diseo y Traslacin de Terapias Avanzadas-Fundacin Progreso y Salud,2,location_postcode
region rebro ln,Region Örebro|Region Örebro Län,2,llm_reviewed
rottapharm,Rottapharm Biotech s.r.l.|Rottapharm S.p.A.,2,euctr_email_domain:rottapharm.com|location_postcode
ruprecht-karls-universitt heidelberg medical faculty represented by universittsklinikum heidelberg,Heidelberg University|Ruprecht-Karls-Universität Heidelberg,2,location_postcode
swedish orphan biovitrum ab publ,Sobi|Swedish Orphan Biovitrum AB publ,2,epar_mah|llm_reviewed
swedish orphan biovitrum ag,Sobi|Swedish Orphan Biovitrum AB publ,2,location_postcode
tecnimede sociedade tcnico-medicinal s a,"Tecnimede-Sociedade Tecnico-Medicinal|Tecnimede, Sociedade Tcnico-Medicinal, S.A.",2,llm_reviewed
the karolinska instutute clintrid,"Karolinska Institutet|The Karolinska Institutet, ClinTRID",2,location_postcode
the university of edinburgh / nhs lothian,NHS Lothian|The University Of Edinburgh / NHS Lothian,2,llm_reviewed
theravance biopharma uc inc,Theravance|Theravance Biopharma Ireland Limited,2,location_postcode
theravance biopharma us inc,Theravance|Theravance Biopharma Ireland Limited,2,location_postcode
tobira therapeutics inc a subsidiary of allergan plc,Allergan|Tobira Therapeutics,2,llm_reviewed
universiteit maastricht,Maastricht University|University Hospital Maastricht,2,ctis_businesskey|location_postcode
universittsklinik fr augenheilkunden und optometrie medizinische universitt wien,Medical University Of Vienna|Universitätsklinik für Augenheilkunde und Optometrie,2,location_postcode
university medical school of the johannes gutenberg university mainz,Universitatsmedizin der Johannes Gutenberg-Universitat Mainz KöR|University Medical Center,2,location_postcode
univerzity hospital krlovsk vinohrady,Fakultn nemocnice Krlovsk Vinohrady|University Hospital,2,euctr_email_domain:fnkv.cz|location_postcode
verisfield s m s a,Verisfield Single Member S.A.|VERISFIELD UK LTD,2,euctr_email_domain:verisfield.gr|location_postcode
vstra gtaland regionen,Västra Götalandsregionen|Vstra Gtalandsregionen,2,location_postcode
