alias_clean,sponsor_clean,resolves_to,resolves_source,resolves_status,triage,conflict
helperby therapeutics ireland,Helperby Therapeutics Ireland,Helperby Therapeutics,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: Helperby Therapeutics
helsinki city hospital,Helsinki City Hospital,University of Helsinki,final_family_map,accepted,deliberate mapping — self-alias would override,label already resolves to: University of Helsinki
hospital sant joan de deu - ssm,Hospital Sant Joan de Déu - SSM,Hospital Sant Joan de Deu,final_family_map,accepted,deliberate mapping — self-alias would override,label already resolves to: Hospital Sant Joan de Deu
ibsa farmaceutici italia,IBSA Farmaceutici Italia,IBSA,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: IBSA
ibsa institut biochimique,IBSA Institut Biochimique,IBSA,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: IBSA
idibaps institut d'investigacions biomediques august pi i sunyer,IDIBAPS Institut d'Investigacions Biomèdiques August Pi i Sunyer,IDIBAPS,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: IDIBAPS
igtp - institut de recerca germans trias i pujol,IGTP - Institut de Recerca Germans Trias i Pujol,Institut de Recerca Germans Trias i Pujol,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: Institut de Recerca Germans Trias i Pujol
imea institut de medecine et d'epidemiologie appliquee - fondation leon mba,IMEA Institut de Médecine et d'Épidémiologie Appliquée - Fondation Léon MBa,IMEA,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: IMEA
institut d'investigacio biomedica de bellvitge - idibell,Institut d'Investigació Biomèdica de Bellvitge - IDIBELL,IDIBELL - Institut d'Investigació Biomèdica de Bellvitge,llm_curated,accepted,deliberate mapping — self-alias would override,label already resolves to: IDIBELL - Institut d'Investigació Biomèdica de Bellvitge
institut d'investigacio sanitaria pere virgili iispv,Institut d'Investigació Sanitaria Pere Virgili (IISPV),Instituto de Investigacin Sanitaria La Fe,final_family_map,accepted,deliberate mapping — self-alias would override,label already resolves to: Instituto de Investigacin Sanitaria La Fe
institut d'investigacions biomediques august pi i sunyer idibaps,Institut d'Investigacions Biomèdiques August Pi i Sunyer (IDIBAPS),IDIBAPS,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: IDIBAPS
institut de recerca biomedica de lleida irblleida,Institut de Recerca Biomèdica de Lleida (IRBLleida),Institut de Recerca,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: Institut de Recerca
institut de recerca de l'hospital de la santa creu i sant pau - iib sant pau,Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau - IIB Sant Pau,Institut de Recerca,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: Institut de Recerca
institut de recerca de la sida irsicaixa,Institut de Recerca de la SIDA (IrsiCaixa),Institut de Recerca,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: Institut de Recerca
institut hospital del mar d'investigacions mediques imim,Institut Hospital del Mar d'Investigacions Mèdiques (IMIM),Hospital Del Mar,final_family_map,accepted,deliberate mapping — self-alias would override,label already resolves to: Hospital Del Mar
institut national de la sante et de la recherche medicale inserm,Institut National de la Santé et de la Recherche Médicale (INSERM),Inserm,ctis_businesskey,accepted,deliberate mapping — self-alias would override,label already resolves to: Inserm
institute of neuroscience ions universite catholique de louvain,"Institute of Neuroscience IoNS, Université catholique de Louvain",Université catholique de Louvain,containment:llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: Université catholique de Louvain
instituto de investigacion sanitaria aragon iis aragon,Instituto de Investigación Sanitaria Aragón (IIS Aragón),Instituto de Investigacin Sanitaria La Fe,final_family_map,accepted,deliberate mapping — self-alias would override,label already resolves to: Instituto de Investigacin Sanitaria La Fe
instituto de investigacion sanitaria bioaraba,Instituto de Investigación Sanitaria Bioaraba,Instituto de Investigacin Sanitaria La Fe,final_family_map,accepted,deliberate mapping — self-alias would override,label already resolves to: Instituto de Investigacin Sanitaria La Fe
instituto de investigacion sanitaria biocruces bizkaia,Instituto de Investigación Sanitaria Biocruces Bizkaia,Instituto de Investigacin Sanitaria La Fe,final_family_map,accepted,deliberate mapping — self-alias would override,label already resolves to: Instituto de Investigacin Sanitaria La Fe
instituto de investigacion sanitaria incliva,Instituto de Investigación Sanitaria INCLIVA,Instituto de Investigacin Sanitaria La Fe,final_family_map,accepted,deliberate mapping — self-alias would override,label already resolves to: Instituto de Investigacin Sanitaria La Fe
intrabio limited / intrabio,Intrabio Limited / IntraBio,IntraBio,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: IntraBio
irccs istituto oncologico veneto,IRCCS Istituto Oncologico Veneto,Istituto Oncologico Veneto,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: Istituto Oncologico Veneto
irccs ospedale pediatrico bambino gesu,IRCCS Ospedale Pediatrico Bambino Gesù,Ospedale Pediatrico Bambino Gesù,llm_curated,accepted,deliberate mapping — self-alias would override,label already resolves to: Ospedale Pediatrico Bambino Gesù
iricys - fundacion para la investigacion biomedica del hospital clinico san carlos,IRICYS - Fundación para la Investigación Biomédica del Hospital Clínico San Carlos,Hospital Clínico San Carlos,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: Hospital Clínico San Carlos
istituto nazionale per le malattie infettive lazzaro spallanzani - irccs,Istituto Nazionale per le Malattie Infettive Lazzaro Spallanzani - IRCCS,Istituto Nazionale per le Malattie Infettive Lazzaro Spallanzani,containment:llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: Istituto Nazionale per le Malattie Infettive Lazzaro Spallanzani
ivi - instituto valenciano de infertilidad,IVI - Instituto Valenciano de Infertilidad,Instituto Valenciano de Infertilidad,containment:llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: Instituto Valenciano de Infertilidad
ivi valencia s l / ivi valencia,Ivi Valencia S.L. / Ivi Valencia,IVI Valencia,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: IVI Valencia
jj prd a division of janssen-cilag,"JJ PRD, a division of Janssen-Cilag",Janssen-Cilag International,llm_curated,accepted,deliberate mapping — self-alias would override,label already resolves to: Janssen-Cilag International
johnson and johnson consumer,Johnson & Johnson Consumer,Johnson & Johnson,llm_curated,accepted,deliberate mapping — self-alias would override,label already resolves to: Johnson & Johnson
klinikum grosshadern lmu munchen,"Klinikum Großhadern, LMU München",Klinikum Der Universitat Munchen AöR,llm_curated,accepted,deliberate mapping — self-alias would override,label already resolves to: Klinikum Der Universitat Munchen AöR
l molteni and c dei f lli alitti societa di esercizio,L. Molteni & C. dei F.lli Alitti Società di Esercizio,Molteni,containment:llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: Molteni
liverpool university hospitals nhs foundation trust,Liverpool University Hospitals NHS Foundation Trust,University of Liverpool,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: University of Liverpool
merckle recordati,Merckle Recordati,Recordati,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: Recordati
national institute for health and welfare thl,National Institute for Health and Welfare (THL),National Institute for Health and Welfare,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: National Institute for Health and Welfare
nih - ninds,NIH - NINDS,NINDS,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: NINDS
nordic bioscience clinical development,Nordic Bioscience Clinical Development,Nordic Bioscience,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: Nordic Bioscience
nordsjaellands hospital hillerod,Nordsjællands Hospital Hillerød,Nordsjællands Hospital,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: Nordsjællands Hospital
principia biopharma australia pty,Principia Biopharma Australia Pty,Principia Biopharma,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: Principia Biopharma
procter and gamble technical centres,Procter & Gamble Technical Centres,Procter & Gamble,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: Procter & Gamble
proqr therapeutics viii,ProQR Therapeutics VIII,ProQR Therapeutics,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: ProQR Therapeutics
rottapharm biotech,Rottapharm Biotech,Rottapharm,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: Rottapharm
royal melbourne hospital,Royal Melbourne Hospital,Royal Group Hospitals Trust,final_family_map,accepted,deliberate mapping — self-alias would override,label already resolves to: Royal Group Hospitals Trust
seqirus uk limited / seqirus uk limited / seqirus uk,Seqirus UK Limited / Seqirus UK Limited / Seqirus UK,Seqirus UK,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: Seqirus UK
societa industria farmaceutica italiana sifi,Società Industria Farmaceutica Italiana SIFI,SIFI,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: SIFI
suomen msd,Suomen MSD,MSD,llm_curated,accepted,deliberate mapping — self-alias would override,label already resolves to: MSD
tays sydankeskus,TAYS Sydänkeskus,Tampere University Hospital,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: Tampere University Hospital
tays sydansairaala,TAYS Sydänsairaala,Tampere University Hospital,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: Tampere University Hospital
theravance biopharma antibiotics,Theravance Biopharma Antibiotics,Theravance,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: Theravance
theravance biopharma ireland,Theravance Biopharma Ireland,Theravance,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: Theravance
theravance biopharma rd,Theravance Biopharma RD,Theravance,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: Theravance
universitatsklinikum magdeburg aor,Universitätsklinikum Magdeburg AöR,Otto-von-Guericke University,final_family_map,accepted,deliberate mapping — self-alias would override,label already resolves to: Otto-von-Guericke University
universite libre de bruxelles ulb,Université Libre de Bruxelles (ULB),Université Libre de Bruxelles,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: Université Libre de Bruxelles
universitetsklinikken for nyresygdomme og blodtryksforhojelse rigshospitalet,"Universitetsklinikken for Nyresygdomme og Blodtryksforhøjelse, Rigshospitalet",Rigshospitalet,llm_curated,accepted,deliberate mapping — self-alias would override,label already resolves to: Rigshospitalet
vall d'hebron institute of oncology vhio,Vall d'Hebron Institute of Oncology (VHIO),VHIO,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: VHIO
abalos therapeutics,Abalos Therapeutics,Alba Therapeutics,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: Alba Therapeutics
acetylon pharmaceuticals,Acetylon Pharmaceuticals,Actelion Pharmaceuticals,fuzzy:llm_curated,review,fuzzy false positive — self-alias would fix,label already resolves to: Actelion Pharmaceuticals
adienne,ADIENNE,Advicenne,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: Advicenne
agile therapeutics,Agile Therapeutics,AELIX Therapeutics,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: AELIX Therapeutics
alimera sciences europe,Alimera Sciences Europe,Alimera Sciences,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: Alimera Sciences
aquinox pharmaceuticals,Aquinox Pharmaceuticals,Aquilon Pharmaceuticals,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: Aquilon Pharmaceuticals
ark therapeutics,Ark Therapeutics,ARYx Therapeutics,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: ARYx Therapeutics
azienda ospedaliera l sacco,Azienda Ospedaliera L. Sacco,Azienda Ospedaliera S. Carlo,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: Azienda Ospedaliera S. Carlo
azienda ospedaliera universitaria gaetano martino messina,Azienda Ospedaliera Universitaria Gaetano Martino Messina,Azienda Ospedaliero-Universitaria Senese,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: Azienda Ospedaliero-Universitaria Senese
azienda unita sanitaria locale della romagna,Azienda Unità Sanitaria Locale della Romagna,Azienda Unità Sanitaria Locale di Parma,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: Azienda Unità Sanitaria Locale di Parma
azienda unita sanitaria locale di modena,Azienda Unità Sanitaria Locale di Modena,Azienda Unita Sanitaria Locale Di Bologna,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: Azienda Unita Sanitaria Locale Di Bologna
bial industrial farmacutica,Bial Industrial Farmacutica,BIAL-Portela Ca,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: BIAL-Portela Ca
bio-thera solutions,Bio-Thera Solutions,Biothera,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: Biothera
biogenidec,BiogenIdec,Biogen,fuzzy:llm_curated,review,fuzzy false positive — self-alias would fix,label already resolves to: Biogen
biothervax,Biothervax,Biothera,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: Biothera
bold therapeutics,Bold Therapeutics,Biodol Therapeutics,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: Biodol Therapeutics
ccdrd cooperative clinical drug research and development,CCDRD Cooperative Clinical Drug Research and Development,CCDRD / 5med,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: CCDRD / 5med
centre hospitalier de bethune-beuvry,Centre Hospitalier de Béthune-Beuvry,Centre Hospitalier de Pau,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: Centre Hospitalier de Pau
centre hospitalier departemental de la vendee de la roche-sur-yon,Centre Hospitalier Départemental de la Vendée de la Roche-sur-Yon,Centre Hospitalier Départemental Vendée,fuzzy:llm_curated,review,fuzzy false positive — self-alias would fix,label already resolves to: Centre Hospitalier Départemental Vendée
centus biotherapeutics,Centus Biotherapeutics,Biodol Therapeutics,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: Biodol Therapeutics
