alias_clean,sponsor_clean,sponsor_parent,sponsor_group,sponsor_type,source,confidence_prior,alias_type
abcuro,Abcuro,NA,NA,unknown,self_alias,0.94,self
abeona therapeutics,Abeona Therapeutics,NA,NA,unknown,self_alias,0.94,self
abide therapeutics,Abide Therapeutics,NA,NA,unknown,self_alias,0.94,self
ability pharmaceuticals,Ability Pharmaceuticals,NA,NA,unknown,self_alias,0.94,self
ablative solutions,Ablative Solutions,NA,NA,unknown,self_alias,0.94,self
abliva,Abliva,NA,NA,unknown,self_alias,0.94,self
abnoba,Abnoba,NA,NA,unknown,self_alias,0.94,self
abraxis bioscience,Abraxis BioScience,NA,NA,unknown,self_alias,0.94,self
abteilung fr hals- nasen- und ohrenkrankheiten muw akh wien,Medical University Of Vienna,NA,NA,unknown,llm_curated,1,NA
"abteilung fr pulmologie, landesklinikum thermenregion hochegg",Landesklinikum Thermenregion Hochegg,NA,NA,unknown,llm_curated,1,NA
abteilung fur hals- nasen- ohrenkrankheiten muw akh wien,Medical University Of Vienna,NA,NA,hospital,llm_curated,1,NA
abteilung fur neurologie der medizinischen universitat innsbruck,Medical University Of Innsbruck,NA,NA,hospital,llm_curated,1,NA
abteilung klinische chemie ukl freiburg,Universitätsklinikum Freiburg,NA,NA,unknown,llm_curated,1,NA
abx advanced biochemical compounds - biomedizinische forschungsreagenzien,ABX Advanced Biochemical Compounds - Biomedizinische Forschungsreagenzien,NA,NA,unknown,self_alias,0.94,self
ac immune,AC Immune,NA,NA,NA,self_alias,0.94,self
ac immune sa,AC Immune,NA,NA,NA,ctis_businesskey,0.95,NA
acacia pharma,Acacia Pharma,NA,NA,unknown,self_alias,0.94,self
academic hospital maastricht azm,Maastricht University Medical Center,NA,NA,hospital,llm_curated,1,NA
academic medical center,Amsterdam UMC,Amsterdam UMC,Amsterdam UMC,hospital,llm_curated,1,NA
academic medical center amsterdam,Amsterdam UMC,Amsterdam UMC,Amsterdam UMC,hospital,llm_curated,1,NA
academic medical centre,Amsterdam UMC,Amsterdam UMC,Amsterdam UMC,hospital,llm_curated,1,NA
academic medical centre amc,Amsterdam UMC,Amsterdam UMC,Amsterdam UMC,hospital,llm_curated,1,NA
academical medical center department of dermatology,Amsterdam UMC,NA,NA,unknown,llm_curated,1,NA
academical medical centre dep of internal medicine,Amsterdam UMC,NA,NA,hospital,llm_curated,1,NA
academical medical centre department of internal,Amsterdam UMC,NA,NA,hospital,llm_curated,1,NA
academisch medisch centrum,Amsterdam UMC,Amsterdam UMC,Amsterdam UMC,hospital,llm_curated,1,NA
acadia pharmaceuticals,ACADIA Pharmaceuticals,NA,NA,unknown,self_alias,0.94,self
acceleron pharma,Acceleron Pharma,NA,NA,unknown,self_alias,0.94,self
access pharmaceuticals,ACCESS Pharmaceuticals,NA,NA,unknown,self_alias,0.94,self
accession therapeutics,Accession Therapeutics,NA,NA,unknown,self_alias,0.94,self
accord / nhs lothian r and d,ACCORD / NHS Lothian R&D,NA,NA,hospital,self_alias,0.94,self
accord academic and clinical central office for research and development,ACCORD Academic and Clinical Central Office for Research & Development,NA,NA,unknown,self_alias,0.94,self
accord healthcare,Accord Healthcare,NA,NA,unknown,self_alias,0.94,self
acelyrin,Acelyrin,NA,NA,unknown,self_alias,0.94,self
acerta pharma,Acerta Pharma,NA,NA,unknown,self_alias,0.94,self
acerus biopharma,Acerus Biopharma,NA,NA,unknown,self_alias,0.94,self
acesion pharma,Acesion Pharma,NA,NA,unknown,self_alias,0.94,self
achaogen,Achaogen,NA,NA,unknown,self_alias,0.94,self
achieve life sciences,Achieve Life Sciences,NA,NA,unknown,self_alias,0.94,self
achilles therapeutics uk,Achilles Therapeutics UK,NA,NA,unknown,self_alias,0.94,self
achillion pharmaceuticals,Achillion Pharmaceuticals,NA,NA,unknown,self_alias,0.94,self
acino supply,Acino Supply,NA,NA,unknown,self_alias,0.94,self
aclaris therapeutics,Aclaris Therapeutics,NA,NA,unknown,self_alias,0.94,self
aco hud nordic,Aco Hud Nordic,NA,NA,NA,self_alias,0.94,self
aco hud nordic ab,Aco Hud Nordic,NA,NA,NA,ctis_businesskey,0.95,NA
acorn research,Acorn Research,NA,NA,unknown,self_alias,0.94,self
acousia therapeutics,Acousia Therapeutics,NA,NA,unknown,self_alias,0.94,self
acrivon therapeutics,Acrivon Therapeutics,NA,NA,unknown,self_alias,0.94,self
acrotech biopharma,Acrotech Biopharma,NA,NA,unknown,self_alias,0.94,self
acrux pharma pty,Acrux Pharma Pty,NA,NA,unknown,self_alias,0.94,self
act biotech,Act Biotech,NA,NA,unknown,self_alias,0.94,self
actavis deutschland,Actavis Deutschland,NA,NA,unknown,self_alias,0.94,self
actavis hungary,Actavis Hungary,NA,NA,unknown,self_alias,0.94,self
actelion,Actelion Pharmaceuticals,Actelion Pharmaceuticals,Actelion Pharmaceuticals,industry,llm_curated,0.9,NA
actelion pharmaceuticals,Actelion Pharmaceuticals,Actelion Pharmaceuticals,Actelion Pharmaceuticals,industry,llm_curated,1,NA
actelion pharmaceuticals ltd,Actelion Pharmaceuticals,Actelion Pharmaceuticals,Actelion Pharmaceuticals,industry,llm_curated,1,NA
action pharma,Action Pharma,NA,NA,unknown,self_alias,0.94,self
actitrexx,ActiTrexx,NA,NA,unknown,self_alias,0.94,self
activaero,Activaero,NA,NA,unknown,self_alias,0.94,self
activartis biotech,Activartis Biotech,NA,NA,unknown,self_alias,0.94,self
active biotech,Active Biotech,NA,NA,unknown,self_alias,0.94,self
activus pharma co,Activus Pharma Co.,NA,NA,unknown,self_alias,0.94,self
activx biosciences,ActivX Biosciences,NA,NA,unknown,self_alias,0.94,self
actogenix,ActoGeniX,NA,NA,unknown,self_alias,0.94,self
actrevo,actrevo,NA,NA,unknown,self_alias,0.94,self
actuate therapeutics,Actuate Therapeutics,NA,NA,unknown,self_alias,0.94,self
acucela,Acucela,NA,NA,unknown,self_alias,0.94,self
acucort,AcuCort,NA,NA,unknown,self_alias,0.94,self
acuity pharmaceuticals,Acuity Pharmaceuticals,NA,NA,unknown,self_alias,0.94,self
acumen pharmaceuticals,Acumen Pharmaceuticals,NA,NA,unknown,self_alias,0.94,self
acusphere,Acusphere,NA,NA,unknown,self_alias,0.94,self
adagio therapeutics,Adagio Therapeutics,NA,NA,unknown,self_alias,0.94,self
adamas pharmaceuticals,Adamas Pharmaceuticals,NA,NA,unknown,self_alias,0.94,self
adamed pharma,Adamed Pharma,NA,NA,unknown,self_alias,0.94,self
adaptimmune,Adaptimmune,NA,NA,unknown,self_alias,0.94,self
adare pharmaceuticals,Adare Pharmaceuticals,NA,NA,unknown,self_alias,0.94,self
adarx pharmaceuticals,Adarx Pharmaceuticals,NA,NA,unknown,self_alias,0.94,self
adc therapeutics,ADC Therapeutics,NA,NA,NA,self_alias,0.94,self
adc therapeutics sa,ADC Therapeutics,NA,NA,NA,ctis_businesskey,0.95,NA
adcendo,ADCendo,NA,NA,unknown,self_alias,0.94,self
addex pharma,Addex Pharma,NA,NA,unknown,self_alias,0.94,self
addex pharmaceuticals,Addex Pharmaceuticals,NA,NA,unknown,self_alias,0.94,self
adelaide and meath hospital,Adelaide and Meath Hospital,NA,NA,hospital,self_alias,0.94,self
adenobio,ADENOBIO,NA,NA,unknown,self_alias,0.94,self
adenovir pharma,Adenovir Pharma,NA,NA,unknown,self_alias,0.94,self
adeptio pharmaceuticals,Adeptio Pharmaceuticals,NA,NA,unknown,self_alias,0.94,self
adial pharmaceuticals,Adial Pharmaceuticals,NA,NA,unknown,self_alias,0.94,self
adimmune,Adimmune,NA,NA,unknown,self_alias,0.94,self
adiposs,Adiposs,NA,NA,unknown,self_alias,0.94,self
adjutec pharma,Adjutec Pharma,NA,NA,unknown,self_alias,0.94,self
adlai nortye,Adlai Nortye,NA,NA,unknown,self_alias,0.94,self
adrenomed,Adrenomed,NA,NA,unknown,self_alias,0.94,self
advancecor,advanceCOR,NA,NA,unknown,self_alias,0.94,self
advanced biohealing,Advanced BioHealing,NA,NA,unknown,self_alias,0.94,self
advancell advanced in vitro cell technologies,Advancell Advanced In Vitro Cell Technologies,NA,NA,unknown,self_alias,0.94,self
advantage therapeutics,ADvantage Therapeutics,NA,NA,unknown,self_alias,0.94,self
advaxis,Advaxis,NA,NA,unknown,self_alias,0.94,self
advenchen laboratories,Advenchen Laboratories,NA,NA,unknown,self_alias,0.94,self
advenchen pharmaceuticals,Advenchen Pharmaceuticals,NA,NA,unknown,self_alias,0.94,self
adventrx pharmaceuticals,ADVENTRX Pharmaceuticals,NA,NA,unknown,self_alias,0.94,self
adverum biotechnologies,Adverum Biotechnologies,NA,NA,unknown,self_alias,0.94,self
aegera therapeutics,Aegera Therapeutics,NA,NA,unknown,self_alias,0.94,self
aeglea biotherapeutics,Aeglea Biotherapeutics,NA,NA,unknown,self_alias,0.94,self
aer therapeutics,Aer Therapeutics,NA,NA,unknown,self_alias,0.94,self
aerie pharmaceuticals ireland,Aerie Pharmaceuticals Ireland,NA,NA,unknown,self_alias,0.94,self
aerogen,Aerogen,NA,NA,unknown,self_alias,0.94,self
aerovance,Aerovance,NA,NA,unknown,self_alias,0.94,self
aerovate therapeutics,Aerovate Therapeutics,NA,NA,unknown,self_alias,0.94,self
aesca pharma,AESCA Pharma,NA,NA,industry,self_alias,0.94,self
aesca pharma gesmbh,AESCA Pharma,NA,NA,industry,llm_curated,1,NA
aesculap,Aesculap,NA,NA,unknown,self_alias,0.94,self
aesculapius farmaceutici,Aesculapius Farmaceutici,NA,NA,unknown,self_alias,0.94,self
aeterna zentaris,AEterna Zentaris,NA,NA,unknown,self_alias,0.94,self
afdeling klinische neuropsychologie vrije universiteit amsterdam,Vrije Universiteit Amsterdam,NA,NA,unknown,llm_curated,1,NA
affectis pharmaceuticals,Affectis Pharmaceuticals,NA,NA,unknown,self_alias,0.94,self
afferent pharmaceuticals,Afferent Pharmaceuticals,NA,NA,unknown,self_alias,0.94,self
affibody,Affibody,NA,NA,unknown,self_alias,0.94,self
affimed,Affimed,NA,NA,unknown,self_alias,0.94,self
affiris,AFFiRiS,NA,NA,unknown,self_alias,0.94,self
affymax,Affymax,NA,NA,unknown,self_alias,0.94,self
aft pharmaceuticals,AFT Pharmaceuticals,NA,NA,unknown,self_alias,0.94,self
afyx therapeutics,Afyx Therapeutics,NA,NA,unknown,self_alias,0.94,self
agalimmune,Agalimmune,NA,NA,unknown,self_alias,0.94,self
agennix,Agennix,NA,NA,unknown,self_alias,0.94,self
agensys,Agensys,NA,NA,unknown,self_alias,0.94,self
agenus,Agenus,NA,NA,unknown,self_alias,0.94,self
agi therapeutics,AGI Therapeutics,NA,NA,unknown,self_alias,0.94,self
agiana pharmaceuticals,Agiana Pharmaceuticals,NA,NA,unknown,self_alias,0.94,self
agios pharmaceuticals,Agios Pharmaceuticals,NA,NA,unknown,self_alias,0.94,self
agis industries 1983,Agis Industries 1983,NA,NA,unknown,self_alias,0.94,self
agmt  arbeitsgemeinschaft medikamentse tumortherapie gemeinntzige,AGMT,NA,NA,cooperative_group,llm_curated,1,NA
agmt: arbeitsgemeinschaft medikamentse tumortherapie,AGMT,NA,NA,cooperative_group,llm_curated,1,NA
ago research,AGO Research,NA,NA,unknown,self_alias,0.94,self
agomab spain,Agomab Spain,NA,NA,NA,self_alias,0.94,self
agomab spain s l,Agomab Spain,NA,NA,NA,ctis_businesskey,0.95,NA
aicuris anti-infective cures,AiCuris Anti-infective Cures,NA,NA,unknown,self_alias,0.94,self
aigo - associazione italiana gastroenterologi ed endoscopisti digestivi,AIGO - Associazione Italiana Gastroenterologi ed Endoscopisti Digestivi,NA,NA,unknown,self_alias,0.94,self
ail - associazione italiana contro le leucemie linfomi e mielomi,"AIL - Associazione Italiana contro le Leucemie, Linfomi e Mielomi",NA,NA,unknown,self_alias,0.94,self
aileron therapeutics,Aileron Therapeutics,NA,NA,unknown,self_alias,0.94,self
aim immunotech,Aim Immunotech,NA,NA,unknown,self_alias,0.94,self
aimmune therapeutics inc,Aimmune Therapeutics,NA,NA,industry,llm_curated,1,NA
aio studien ggmbh,AIO-Studien-gGmbH,NA,NA,NA,llm_curated,1,NA
aio-studien-ggmbh,AIO-Studien-gGmbH,NA,NA,NA,ctis_businesskey,0.95,NA
aires pharmaceuticals,Aires Pharmaceuticals,NA,NA,unknown,self_alias,0.94,self
airna,Airna,NA,NA,unknown,self_alias,0.94,self
airway therapeutics,Airway Therapeutics,NA,NA,unknown,self_alias,0.94,self
aisar - associazione italiana per lo studio degli antimicrobici e delle resistenze,AISAR - Associazione Italiana per lo Studio degli Antimicrobici e delle Resistenze,NA,NA,unknown,self_alias,0.94,self
aissm,AISSM,NA,NA,unknown,self_alias,0.94,self
ajax therapeutics,Ajax Therapeutics,NA,NA,unknown,self_alias,0.94,self
akamis bio,Akamis Bio,NA,NA,unknown,self_alias,0.94,self
akari therapeutics,Akari Therapeutics,NA,NA,unknown,self_alias,0.94,self
akaza bioscience,Akaza Bioscience,NA,NA,unknown,self_alias,0.94,self
akcea therapeutics,Akcea Therapeutics,NA,NA,unknown,self_alias,0.94,self
akebia therapeutics,Akebia Therapeutics,NA,NA,unknown,self_alias,0.94,self
akela pharma,Akela Pharma,NA,NA,unknown,self_alias,0.94,self
aker biomarine antarctic,Aker BioMarine Antarctic,NA,NA,unknown,self_alias,0.94,self
akero therapeutics,Akero Therapeutics,NA,NA,unknown,self_alias,0.94,self
akinion pharmaceuticals,Akinion Pharmaceuticals,NA,NA,unknown,self_alias,0.94,self
akl research and development,AKL Research and Development,NA,NA,unknown,self_alias,0.94,self
akouos,Akouos,NA,NA,unknown,self_alias,0.94,self
akron molecules,Akron Molecules,NA,NA,unknown,self_alias,0.94,self
akros pharma,Akros Pharma,NA,NA,unknown,self_alias,0.94,self
akston biosciences,Akston Biosciences,NA,NA,unknown,self_alias,0.94,self
al-s pharma,AL-S Pharma,NA,NA,unknown,self_alias,0.94,self
albimmune,ALBIMMUNE,NA,NA,unknown,self_alias,0.94,self
albireo,Albireo,NA,NA,unknown,self_alias,0.94,self
alcedis,Alcedis,NA,NA,unknown,self_alias,0.94,self
alchemia oncology pty,Alchemia Oncology Pty,NA,NA,unknown,self_alias,0.94,self
aldagen,Aldagen,NA,NA,unknown,self_alias,0.94,self
alder biopharmaceuticals,Alder BioPharmaceuticals,NA,NA,unknown,self_alias,0.94,self
alder hey children's foundation nhs trust,Alder Hey Children's Foundation NHS Trust,NA,NA,hospital,self_alias,0.94,self
alector,Alector,NA,NA,unknown,self_alias,0.94,self
alejandro rodriguez oviedo,Alejandro Rodriguez Oviedo,NA,NA,hospital,self_alias,0.94,self
alentis therapeutics,Alentis Therapeutics,NA,NA,unknown,self_alias,0.94,self
alesta therapeutics,Alesta Therapeutics,NA,NA,unknown,self_alias,0.94,self
alexion,Alexion,AstraZeneca,AstraZeneca,industry,llm_curated,1,NA
alexion pharmaceuticals,Alexion,AstraZeneca,AstraZeneca,industry,llm_curated,1,NA
alfacell,Alfacell,NA,NA,unknown,self_alias,0.94,self
alfred e tiefenbacher,ALFRED E. TIEFENBACHER,NA,NA,unknown,self_alias,0.94,self
algernon pharmaceuticals,Algernon Pharmaceuticals,NA,NA,unknown,self_alias,0.94,self
algeta,Algeta,NA,NA,unknown,self_alias,0.94,self
algiax pharmaceuticals,Algiax Pharmaceuticals,NA,NA,unknown,self_alias,0.94,self
algipharma,Algipharma,NA,NA,unknown,self_alias,0.94,self
algorx pharmaceuticals,AlgoRx Pharmaceuticals,NA,NA,unknown,self_alias,0.94,self
aligos therapeutics,Aligos Therapeutics,NA,NA,unknown,self_alias,0.94,self
alimentary health,Alimentary Health,NA,NA,unknown,self_alias,0.94,self
alita pharmaceuticals,Alita Pharmaceuticals,NA,NA,unknown,self_alias,0.94,self
alizyme therapeutics,Alizyme Therapeutics,NA,NA,unknown,self_alias,0.94,self
alk abell a/s,ALK-Abello,NA,NA,industry,llm_curated,1,NA
alk abello,ALK-Abello,ALK-Abello,ALK-Abello,industry,llm_curated,1,NA
alk-abell a/s,ALK-Abello,ALK-Abello,ALK-Abello,industry,llm_curated,1,NA
alk-abell arzneimittel gmbh,ALK-Abello,ALK-Abello,ALK-Abello,industry,llm_curated,1,NA
alk-abello,ALK-Abello,ALK-Abello,ALK-Abello,industry,llm_curated,1,NA
alkahest,Alkahest,NA,NA,unknown,self_alias,0.94,self
alkem laboratories,Alkem Laboratories,NA,NA,unknown,self_alias,0.94,self
all children's hospital johns hopkins medicine,"All Children's Hospital, Johns Hopkins Medicine",NA,NA,hospital,self_alias,0.94,self
allakos,Allakos,NA,NA,unknown,self_alias,0.94,self
allena pharmaceuticals,Allena Pharmaceuticals,NA,NA,unknown,self_alias,0.94,self
allergan,Allergan,AbbVie,AbbVie,industry,llm_curated,1,NA
allergan limited,Allergan,AbbVie,AbbVie,industry,llm_curated,1,NA
allergie-centrum-charit,Allergie-Centrum-Charité,NA,NA,hospital,llm_curated,1,NA
allergy therapeutics,Allergy Therapeutics,NA,NA,unknown,self_alias,0.94,self
alliance foundation trials,Alliance Foundation Trials,NA,NA,foundation,self_alias,0.94,self
allievex,Allievex,NA,NA,unknown,self_alias,0.94,self
alligator bioscience,Alligator Bioscience,NA,NA,unknown,self_alias,0.94,self
allogene therapeutics,Allogene Therapeutics,NA,NA,unknown,self_alias,0.94,self
alloksys life sciences,Alloksys Life Sciences,NA,NA,unknown,self_alias,0.94,self
allon therapeutics,Allon Therapeutics,NA,NA,unknown,self_alias,0.94,self
allos therapeutics,Allos Therapeutics,NA,NA,unknown,self_alias,0.94,self
allovir,AlloVir,NA,NA,unknown,self_alias,0.94,self
allrock bio,Allrock Bio,NA,NA,unknown,self_alias,0.94,self
allysta pharmaceuticals,Allysta Pharmaceuticals,NA,NA,unknown,self_alias,0.94,self
almirall prodesfarma,Almirall,Almirall S.A.,Almirall S.A.,industry,llm_curated,1,NA
alnylam pharmaceuticals,Alnylam Pharmaceuticals,NA,NA,unknown,self_alias,0.94,self
alpha bioresearch s l / yaqrit,Alpha Bioresearch S.L. / Yaqrit,NA,NA,unknown,self_alias,0.94,self
alpine immune sciences,Alpine Immune Sciences,NA,NA,unknown,self_alias,0.94,self
altavant sciences,Altavant Sciences,NA,NA,unknown,self_alias,0.94,self
alteon,Alteon,NA,NA,unknown,self_alias,0.94,self
alter farmacia,Alter Farmacia,NA,NA,unknown,self_alias,0.94,self
alterity therapeutics,Alterity Therapeutics,NA,NA,unknown,self_alias,0.94,self
alterome therapeutics,Alterome Therapeutics,NA,NA,unknown,self_alias,0.94,self
althaia xarxa assistencial universitaria de manresa fundacio privada,Althaia Xarxa Assistencial Universitària de Manresa. Fundació Privada.,NA,NA,unknown,self_alias,0.94,self
altheia science,Altheia Science,NA,NA,unknown,self_alias,0.94,self
altimmune,Altimmune,NA,NA,unknown,self_alias,0.94,self
altos biologics,Altos Biologics,NA,NA,unknown,self_alias,0.94,self
altus pharmaceuticals,Altus Pharmaceuticals,NA,NA,unknown,self_alias,0.94,self
alumis,Alumis,NA,NA,unknown,self_alias,0.94,self
alvaro ruibal morell,Álvaro Ruibal Morell,NA,NA,unknown,self_alias,0.94,self
alvine pharmaceuticals,Alvine Pharmaceuticals,NA,NA,unknown,self_alias,0.94,self
alvotech swiss,Alvotech Swiss,NA,NA,unknown,self_alias,0.94,self
alx oncology,Alx Oncology,NA,NA,NA,self_alias,0.94,self
alx oncology inc,Alx Oncology,NA,NA,NA,ctis_businesskey,0.95,NA
alzeca biosciences,Alzeca Biosciences,NA,NA,unknown,self_alias,0.94,self
alzecure pharma,Alzecure Pharma,NA,NA,unknown,self_alias,0.94,self
alzheon,Alzheon,NA,NA,unknown,self_alias,0.94,self
amag pharma usa,AMAG Pharma USA,NA,NA,unknown,self_alias,0.94,self
amag pharmaceuticals,AMAG Pharmaceuticals,NA,NA,unknown,self_alias,0.94,self
amarantus bioscience holdings,Amarantus BioScience Holdings,NA,NA,unknown,self_alias,0.94,self
amarin neuroscience,Amarin Neuroscience,NA,NA,unknown,self_alias,0.94,self
amarin pharma,Amarin Pharma,NA,NA,unknown,self_alias,0.94,self
ambit biosciences,Ambit Biosciences,NA,NA,unknown,self_alias,0.94,self
ambrilia biopharma,Ambrilia Biopharma,NA,NA,unknown,self_alias,0.94,self
ambrx,Ambrx,NA,NA,unknown,self_alias,0.94,self
amc amsterdam,Amsterdam UMC,Amsterdam UMC,Amsterdam UMC,hospital,llm_curated,1,NA
amc medical research,Amsterdam UMC,Amsterdam UMC,Amsterdam UMC,hospital,llm_curated,1,NA
amc medical research bv,Amsterdam UMC,NA,NA,hospital,llm_curated,1,NA
american regent,American Regent,NA,NA,unknown,self_alias,0.94,self
amgen,Amgen,Amgen,Amgen,industry,llm_curated,1,NA
amgen inc,Amgen,Amgen,Amgen,industry,llm_curated,1,NA
ammax bio,AmMax Bio,NA,NA,unknown,self_alias,0.94,self
ammerland-klinik,Ammerland-Klinik,NA,NA,hospital,self_alias,0.94,self
amo pharma,AMO Pharma,NA,NA,unknown,self_alias,0.94,self
amolyt pharma,Amolyt Pharma,NA,NA,unknown,self_alias,0.94,self
amphera,Amphera,NA,NA,unknown,self_alias,0.94,self
amplio pharma,Amplio Pharma,NA,NA,unknown,self_alias,0.94,self
amplyx pharmaceuticals,Amplyx Pharmaceuticals,NA,NA,unknown,self_alias,0.94,self
amryt pharmaceuticals,Amryt Pharmaceuticals,NA,NA,unknown,self_alias,0.94,self
amryt research,Amryt Research,NA,NA,unknown,self_alias,0.94,self
amsterdam amc locatie amc,Amsterdam UMC,NA,NA,hospital,llm_curated,1,NA
amsterdam umc,Amsterdam UMC,Amsterdam UMC,Amsterdam UMC,hospital,llm_curated,1,NA
amsterdam umc - amc,Amsterdam UMC,NA,NA,hospital,llm_curated,1,NA
amsterdam umc-amc,Amsterdam UMC,NA,NA,hospital,llm_curated,1,NA
amsterdam university medical center,Amsterdam UMC,Amsterdam UMC,Amsterdam UMC,hospital,llm_curated,1,NA
amsterdam university medical center - location vu medical center,Amsterdam UMC,Amsterdam UMC,Amsterdam UMC,hospital,llm_curated,1,NA
amsterdam university medical center aumc,Amsterdam UMC,NA,NA,hospital,llm_curated,1,NA
amsterdam university medical center location amc,Amsterdam UMC,NA,NA,hospital,llm_curated,1,NA
amsterdam university medical centers,Amsterdam UMC,Amsterdam UMC,Amsterdam UMC,hospital,llm_curated,1,NA
amsterdam university medical centre,Amsterdam UMC,NA,NA,hospital,llm_curated,1,NA
amw,AMW,NA,NA,unknown,self_alias,0.94,self
amylin pharmaceuticals,Amylin Pharmaceuticals,NA,NA,unknown,self_alias,0.94,self
amylyx pharmaceuticals,Amylyx Pharmaceuticals,NA,NA,unknown,self_alias,0.94,self
amyndas pharmaceuticals,Amyndas Pharmaceuticals,NA,NA,unknown,self_alias,0.94,self
amzell,Amzell,NA,NA,unknown,self_alias,0.94,self
an-institut fr qualittssicherung in der operativen medizin ggmbh,An-Institut für Qualitätssicherung in der operativen Medizin gGmbH,NA,NA,unknown,llm_curated,1,NA
an-institut fur qualitatssicherung in der operativen medizin ggmbh,An-Institut für Qualitätssicherung in der operativen Medizin gGmbH,NA,NA,unknown,self_alias,0.94,self
anacardio,Anacardio,NA,NA,unknown,self_alias,0.94,self
anadys development,Anadys Development,NA,NA,unknown,self_alias,0.94,self
anaesthesia department hvidovre hospital,Hvidovre Hospital,NA,NA,hospital,llm_curated,1,NA
anamar,AnaMar,NA,NA,unknown,self_alias,0.94,self
ananda pharma,Ananda Pharma,NA,NA,unknown,self_alias,0.94,self
anaptysbio,AnaptysBio,NA,NA,unknown,self_alias,0.94,self
anaveon,Anaveon,NA,NA,unknown,self_alias,0.94,self
anavex life sciences,Anavex Life Sciences,NA,NA,unknown,self_alias,0.94,self
andi-ventis,Andi-Ventis,NA,NA,unknown,self_alias,0.94,self
andres iniguez romo,Andrés Íñiguez Romo,NA,NA,unknown,self_alias,0.94,self
andromeda biotec,Andromeda Biotec,NA,NA,unknown,self_alias,0.94,self
anebulo pharmaceuticals,Anebulo Pharmaceuticals,NA,NA,unknown,self_alias,0.94,self
anergis,Anergis,NA,NA,unknown,self_alias,0.94,self
angelini pharma italia aziende chimiche riunite angelini francesc o a c r a f s p a,Angelini Pharma Italia Aziende Chimiche Riunite Angelini Francesc O A.C.R.A.F.,NA,NA,NA,ctis_businesskey,0.95,NA
anges,AnGes,NA,NA,unknown,self_alias,0.94,self
