raw_substance,reason
"10 Solution.
•	Pharmaceutical form: solution (oil)
•	Route of administration: oral
•	Storage: Store tightly closed below 25°C and protected from light like the verum form.
•	Country of origin: Italy.","Dosage/storage prose, no substance named"
Route of administration: Oral use,
Verum 2,Study-arm label
10 mg NEXThaler DPI,
"100 ML, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE",
100 mg filmomhulde tabletten,
125 mg apvalkotās tabletes,
"2,5 microgramos, solución para inhalación",
"4,5 microgramos",
6 microgramos por inhalación polvo para inhalación,
20 cm2,
40 cm2,
200 IU Chewable Tablet,
800 IU chewable tablets,
"200 mg i.v., poeder voor oplossing voor intraveneuze infusie",
24 timer depotplaster,"Dosage form description in Danish (24-hour patch), not a substance name"
"24 timer, depotplaster.","Dosage form description in Danish (24-hour patch), not a substance name"
24h,dosage/timing placeholder
24h transdermal patch,dosage form/device description
300 mg comprimés pelliculés,"Only strength and dosage form, no substance named"
300 mg oldatos infúzió,
infúzió,
325mg suspensie voor oraal gebruik in sachet.,"Dosage form description, not a substance"
"400 mg per 4,3 ml suspensie voor oraal gebruik","Dosage form description, not a substance"
5 CO2,unclear placeholder-like description
"ACE INHIBITORS, PLAIN","Drug class, not a specific substance"
ACE inhibitors,"Drug class, not a specific substance"
"dose, solution pour pulvérisation nasale",
AUSTRIA,"Appears to be a country name, not a substance"
Austria,"Appears to be a country name, not a substance"
Alpha blockers,"Drug class label, not a specific substance"
Beta Blockers,"Drug class label, not a specific substance"
Anti-Depressants,"Generic drug class description, not a specific substance"
Anti-depressants,"Generic drug class description, not a specific substance"
"Antidepressants SSRI, SNRI","Generic drug class description, not a specific substance"
HER2,"HER2 alone denotes a biomarker/target, not an administered substance"
BUFFERED SALINE SOLUTION,"Generic vehicle/diluent, not an active substance"
Behring,"Manufacturer name only, not a substance"
DARWIN,"Ambiguous code/name, likely a study name or placeholder, not a substance"
Darwin,"Ambiguous code/name, likely a study name or placeholder, not a substance"
ml + 1000 DPP,"Dosage/volume language, not a substance name"
ml + 150 DPP,"Dosage/volume language, not a substance name"
ml + 50 DPP,"Dosage/volume language, not a substance name"
w Aqueous Nasal Spray,
First generation anti-psychotic drugs,"Drug class description, not a single substance"
Second generation anti-psychotic drugs,"Drug class description, not a single substance"
freeflex,
H-116PI-DE.pdf,"Document filename, not a substance"
H-116PI-de.pdf,"Document filename, not a substance"
Isotonic electrolyte solution,
Isotonic solutions,
sterile isotonic solution,
"sachet ή stick, Κόνις για πόσιμο διάλυμα","Dosage form description, not a substance"
No recommended International Nonproprietary Name INN,
Normal Saline or Dextrose,
Normal saline or dextrose,
"Oral Solution. Each bottle contains 10 ml of solution with the following composition: Sorbitol liquid (70%), Methyl parahydorxybenzoate, Propyl parahydroxybenzoate, Saccharin Sodium, Sour black cherry flavouring, Purified water.",
"Oral solution: Purified water, Methyl Parahydroxybenzoate (Nipagin), Propyl Parahydroxybenzoate(Nipasol).",
"W, fenonip XB and purified water.",
mL oral solution composed of a mixture of Phosal 50PG and Polysorbate 80.,
Preserved water,"formulation vehicle, not an active substance"
non-preserved sterile liquid formulation,"formulation descriptor, not an active substance"
Protease Inhibitors all licenced PIs allowed per the protocol,"Class-level description, not a specific substance"
Protease inhibitors,"Class-level description, not a specific substance"
actuation,"Dosage/administration language, not a substance"
"actuation Nasal Spray, Suspension","Dosage/administration language, not a substance"
mRNA,placeholder generic term
ml + 10 microg,
ml + 5 microg,
ml emulsione iniettabile o per infusione,
ml) emulsione iniettabile o per infusione.,
ml soluzione iniettabile,"Dosage form description, not a substance"
ml Lösung zur Injektion,
ml soluzione per infusione,
TBD,"Placeholder value, not an actual substance name"
ml injeksjons-,"Dosage form/language fragment, not a substance name"
2 ml soluzione iniettabile,"Dosage form/pack description, not a substance"
0.9% w,"Fragment of 'sodium chloride 0.9% w/v', dosage language, not a substance name itself"
1 ml soluzione iniettabile,
"22 micrograms inhalation powder, pre-dispensed",
24 h transdermal patch,"Dosage form/device description, not a substance name"
25 mg oral lyophilisate,
35 mg oral lyophilisate,
50 mg oral lyophilisate,
HNO,"Appears to be an abbreviation (e.g., ENT/HNO) rather than a substance name."
"dose nesespray, oppløsning","Norwegian dosage-form/packaging language (nasal spray solution), not an identifiable active substance."
"puff inhalationsspray, suspension","Describes a dosage form/device, not a substance"
0.5 mg sublingual tablets,"Dosage form description, not a substance name"
0.9% (w,"Fragment of dosage/concentration language, likely 'sodium chloride 0.9% (w/v)', not a resolvable substance name"
1 ml Soluzione iniettabile”,"Dosage form description, not a substance"
1.5 ml solution for injection in cartridge,
100 ml Onco-Tain solution injectable,Appears to be a dosage/packaging description rather than an identifiable active substance name.
2 mg sublingual tablets,"Dosage form/strength description, not a substance name"
"2,5 ml soluzione orale in contenitore monodose",
"200 mg ADULTES, poudre pour solution injectable",
50 ml soluzione per infusione,"Dosage/form description, not a substance name"
Belgium,"Geographic location, not a substance"
USP,"USP likely refers to a pharmacopeia standard reference, not an identifiable substance"
"g, gel oftálmico en envase unidosis","Dosage form/packaging description, not an identifiable substance"
infundiranje,"Slovenian word for 'infusion', a dosage/administration term, not a substance name"
ml Lösung zur Modifikation einer Blutfraktion,
"ml innrennslislyf, lausn","Icelandic dosage-form language ('infusion solution, ml') describing pack/form, not an active substance"
ml soluzione orale,"Dosage form/quantity description, not a substance"
ml spinaal,"Dosage/route placeholder text, not a substance name."
"ml, Soluzione per iniezione o infusione",
ongoing,"Not a substance name, appears to be a status label"
per infusione.,"Dosage form language (Italian for 'for infusion'), not a substance name."
souche,"French word for 'strain', a placeholder/descriptor rather than a named substance"
-Biotin and CD19 Systems.,Appears to describe a laboratory/detection system rather than a specific drug substance.
-anionen 153 mval,Describes anion concentration in a solution rather than naming a specific active substance
"0,03 mg omhulde tabletten","Dosage form/strength description, not a substance name"
"0,035mg, Compresse","Dosage/form description, not a substance name"
"0,30 ml, solution injectable en stylo prérempli",
"0,5 g por oldatos infúzióhoz","Dosage form description (powder for solution for infusion), not a substance name"
"0,9% w","Likely refers to 0.9% saline solution concentration, a dosage description not a substance name"
0.5 mg Sublingualtabletten,"Dosage form description, not a substance name"
0.7% (w,"Fragment of dosage/concentration text, not a substance name"
0.9 % w,"Fragment of dosage description (likely 0.9% w/v saline), not a substance name"
"1,25 mg, dispergerbara tabletter för dosdispenser",
"1,5 ml Injektionslösung in einem Fertigpen",
100 mg granules in sachet,"Dosage form/packaging description, not a substance name"
100 ml Flüssigkeit,"Dosage/volume description, not a substance"
100 ml soluzione per infusione,
"100000 IU, pessaries",Dosage/formulation description without an identifiable active substance name
"12 microgram per dosis, inhalatiepoeder",
"16 h system transdermalny, plaster","Describes a transdermal patch dosage form/system, not a named substance"
2 mg comprimés sublinguaux,"Dosage form description, not a substance name"
2 ml Soluzione iniettabile”,"Dosage form description, not a substance name"
2 ml soluzione iniettabile”,"Dosage form/packaging description, not a substance name"
"2,5 ml soluzione orale",
20 ml soluzione per infusione,
20mL Soluzione Iniettabile,"Dosage form/volume description, not a substance name"
24 timmar intrauterint inlägg,"Describes a dosage form/device (intrauterine insert), not an active substance"
24-Stunden-Pflaster,"Describes a dosage form (24-hour patch), not a specific active substance"
"3 g, gel vaginal",
4 ml Soluzione iniettabile,"Describes dosage form and volume, not a substance"
400 mg kauwtabletten,"Dosage form/strength description ('400 mg chewable tablets'), not a substance name."
"5 micrograms pressurised inhalation, suspension",
5 ml Soluzione orale,
5 ml polvere per sospensione orale,"Describes dosage form/pack (powder for oral suspension), not a substance name."
5 ml soluzione per infusione,
5 ml sospensione orale,"Dosage form/pack description, not a substance"
"50 mg nourrissons et enfants, poudre pour solution injectable (I.V.)",
5ml sospensione orale gusto arancia senza zucchero,
7 ml soluzione orale,
80 mg granules in sachet,
80 mg tuggutöflur,"Dosage form description (chewable tablets 80 mg) in Icelandic, not a substance name"
"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS","This is a drug class description (ATC category), not a specific substance."
ANTIMETABOLITES,"Drug class descriptor, not a specific substance"
"ARNi, and a MRA","This is a class description (angiotensin receptor-neprilysin inhibitor and mineralocorticoid receptor antagonist), not a specific substance name."
ASSOCIAZIONI VARIE,"Generic Italian phrase meaning 'various combinations', not a specific substance"
Agujas,"Spanish for 'needles', a device not a substance"
Antibacterial for systemic use,"Generic drug class description, not a specific substance"
Antibacterials for systemic use,
Apherese DRK Blutspendedienst,"Refers to apheresis blood donation service, not a substance"
Barilla Pastasauce with basil,"A food product, not a clinical trial substance"
Basis voor SDD suspensie,"Describes a base/vehicle for selective digestive decontamination suspension, not a specific active substance"
C09AA,"ATC class code (ACE inhibitors), not a substance name"
C09CA,"ATC classification code, not a specific substance"
CARDIOPLEGIA SOLUTIONS,"Describes a solution category/procedure, not a specific active substance"
Cadisco Tomatojuice,"Appears to be a food/beverage product name, not a pharmaceutical substance."
Cell Bandage,Appears to be a device/product name rather than a defined pharmaceutical substance
DC Bead,"DC Bead is a drug delivery/embolization device, not a pharmacological substance itself"
DIRECT ACTING ANTIVIRALS,"Generic drug class label, not a specific substance"
DISCI-Studie,"Appears to be a study name/identifier, not a substance."
Dosis Pulver zur Inhalation,"Dosage form description (powder for inhalation), not a substance name"
"Dosis, einzeldosiertes Pulver zur Inhalation","Describes dosage form (single-dose inhalation powder), not a substance"
ELAD,"ELAD is a bioartificial liver support device, not a chemical/biological substance"
"Elektrolyt-Infusionslösung 153
Gesamtkationen",
Elpenhaler,"Elpenhaler is a dry powder inhaler device name, not an active substance."
Emollients and protectives,Describes a drug class/dosage category rather than a specific active substance
"External):
P5D21A04B | L018661
Site of manufacturing (name and 
site):
Sharp Packaging Solutions, Allentown, US
Date of bulk manufacture: 01-Nov-2021
Shelf life: 60 months
Storage conditions: Store below 30°C
Sponsor name: Sahlgrenska University Hospital Östra Hospital
Sponsor study reference: ESR-19-20262, (D9484C00005), (OPRA-HF) 
EUDRACT number 2020-005176-3","Batch/manufacturing metadata, not a substance name"
FERTYPHARM TEST,"Appears to be a placeholder or test product name, not an identifiable substance."
Homeopathic remedies,"Vague placeholder describing a category, not a specific identifiable substance"
IUPAC,"Not a substance name, likely a placeholder/reference to IUPAC naming convention rather than an actual identified substance"
L01XX,"ATC classification code, not a substance name"
Linola Fett,"Linola Fett is a German OTC emollient/skin barrier ointment, not a defined pharmacologic substance."
Locobase REPAIR,"Emollient/skin cream product, not an active pharmaceutical substance"
MK-6024_PBO_0.5mL,"Labeled as placebo (PBO) for MK-6024 trial, not an active substance"
ML SOLUZIONE INIETTABILE 5 FIALE  1 ML,"Dosage form/packaging description, not a substance name"
MUGARD,"MuGard is an oral mucoadhesive device product, not a pharmacological substance"
Matches test film-coated tablets,"Placeholder/device-like description, not a substance name"
Multiple IMPs,"Placeholder describing multiple investigational medicinal products, not a single substance."
NEUROFARMAGEN,"Neurofarmagen is a pharmacogenetic testing panel/device, not a drug substance"
ORAL CONTRACEPTIVE,"Describes a drug class/study drug category, not a specific identifiable substance."
PERITONEAL Dialytics,"Refers to peritoneal dialysis solution/device, not a specific active substance"
PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS,
Pasta Antibitica Tpica PAT,"Generic description of a topical antibiotic paste, not a specific identifiable substance"
Patchinga Freestyle Libre 3 Patch,"Device (continuous glucose monitor patch), not a drug substance"
Peregrine System™ Kit,"Appears to be a device/kit name, not a pharmacological substance"
Ph. Eur.,"Reference to European Pharmacopoeia standard, not a substance name"
Posterisan corte Placebozpfchen,"Placebo suppository, not an active substance"
Rectal bacteriotherapy instillation,"Describes a procedure/method (fecal/bacteriotherapy instillation), not a specific substance"
Saliva Natura,"Appears to be a product/device name, not a pharmacologically identifiable substance"
Schweppes™,"Brand of carbonated beverage, likely used as a flavoring/vehicle in trial, not a drug substance"
"Sirupus simplex 30mL followed by 15mL after two hours, at one study visit",
Syrspend oraaliliuos,"Syrspend SF is a suspending vehicle/excipient system, not an active substance"
Tap water,
ToothGuide,"Device/tool for shade matching, not a substance"
UROLOGICALS,"Drug class/category label, not a specific substance"
"V, liquide pour inhalation par vapeur",
Vasodilators,"Drug class description, not a specific substance"
Viet Nam,"Country name, not a substance"
Watchful waiting,
Xience V,"Xience V is a drug-eluting coronary stent device, not a pharmaceutical substance"
"annos inhalaatiosumute, suspensio","Finnish dosage form description (metered-dose inhalation spray, suspension), not a substance name"
antibiotic whatever type the GP would usually use as first line for acute bronchitis,
aucun mdicament exprimental,French for 'no investigational medicinal product'; not a substance
"batch number 
(AstraZeneca","Placeholder/administrative text, not a substance"
dose spray sublinguale,
"dosis, transdermale gel",Describes dosage form/route (transdermal gel) rather than naming an actual substance
entfllt,German placeholder meaning 'not applicable'
film-coated tablets for oral administration,
g -geeli,Appears to be a dosage form/gel description fragment rather than an identifiable substance name
g gel vaginal.,"Dosage form/quantity description, not an identifiable substance"
g hüvelykrém,"Not a substance name; appears to be dosage/form language (Hungarian for 'g vaginal cream'), not an active ingredient."
g pomada,Appears to be dosage form language (ointment 'pomada') without identifiable active substance
"g, Salbe","Fragment of dosage/form text (ointment, 'Salbe'), not a substance name"
"g-gel, doseringspump","Appears to be a dosing pump/device description, not an identifiable active substance"
infusione,"Generic dosage-form/route term (Italian for 'infusion'), not a substance name."
infusioonilahus,"Estonian for 'solution for infusion', a dosage form description, not a substance"
infusioonilahuse kontsentraat,"Estonian for 'concentrate for solution for infusion', a dosage form description, not a substance name"
"infusjonsvæske, emulsjon","Norwegian dosage form description (infusion emulsion), not a substance name"
išpurškime suslėgtoji įkvepiamoji suspensija,"Lithuanian dosage form description ('pressurised inhalation suspension'), not a substance name"
"l, soluzione per infusione""","Dosage form description, not a substance"
mL Emulsion zur Injektion,"Dosage form/packaging language, not a substance name"
mL Penfill solution for injection in cartridge,
mL cartridge,
mL dispersione iniettabile,"Dosage form description, not a substance"
mL soluzione iniettabile,"Dosage form language, not a substance"
"mL, 5 mL Drug Product",
"mL, solution injectable (I.V.-I.M.)",
ml - Injektionsloesung,"Dosage form/packaging language, not a substance"
ml - Stechampullen,"Dosage/packaging language, not a substance"
ml Concentrato per soluzione iniettabile o per infusione,
"ml INTRAVEINEUX, solution injectable",
ml Injektionslösung in Durchstechflasche,
ml Injektionslösung in einer Patrone,
ml buffrad,"Appears to be dosage/packaging language (volume + buffer descriptor), not a substance name"
ml concentrato per soluzione orale,"Dosage form/packaging description, not a substance name"
"ml mikstur, suspensjon","Dosage form description, not a substance"
"ml nenäsumute, liuos","Dosage form/packaging description (nasal spray solution), not a substance name"
ml oplossing voor subcutane injectie,
ml parenterale Rntgenkontrastmittellsung,"Generic dosage-form description ('ml parenteral radiocontrast solution'), not a specific substance name."
ml polvere per sospensione iniettabile,
ml solucin inyectable,"Dosage/form language, not an identifiable substance"
ml solución inyectable subcutánea,"Dosage form/route description, not a substance name"
ml solution for injection in a cartridge,
ml solution for injection in cartridge.,
ml solution for injetion,"Dosage form language, not a substance"
ml sospensione iniettabile,"Dosage form description, not a substance"
ml škidums infuzijam,"Dosage form description (solution for infusion), not a substance name."
"ml), emulsie voor injectie of infusie",
"ml, oplossing voor huidpriktest","Dosage/form description for a skin prick test solution, not a substance name"
modifiziertes Schema,"German for 'modified schedule/regimen', a dosing description not a substance name"
nein,"German word for 'no', not a substance name"
nicht zutreffend,
nothing (blank,"Blank/placeholder entry, not a substance"
per infusione,"Italian phrase meaning 'for infusion', a dosage/route descriptor not a substance"
procedimiento IBGM PEI 10-134,"Appears to be a study procedure/protocol identifier, not a substance name."
"reconstitution solution containing: 5% dextrose, 2.5% sodium chloride, 1.6% sodium acetate in sterile water; pH: 6.0-6.5",
sterilized lyophilized powder with no active,Describes a placebo/vehicle lyophilized powder explicitly containing no active ingredient; no substance named.
syringe,
syringe.,
w and 0.1% w,"Fragment of concentration/dosage text, not a substance name"
NOTAVAILABLE,
NotApplicable,
