entity_id,canonical,legal_entity,parent,entity_type,salt_form,brand,confidence,decided_by,decided_at_utc,model_id,prompt_version,merged_into,note
ent_000020,13-deoxydoxorubicin,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,13-deoxydoxorubicin
ent_000021,"14,18",,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,"14,18"
ent_000022,14g2a,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,14g2a
ent_000023,16.alpha.-bromoepiandrosterone,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,16.alpha.-bromoepiandrosterone
ent_000024,18-methoxycoronaridine,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,18-methoxycoronaridine
ent_000025,1d09c3,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,1d09c3
ent_000026,2-(aminomethyl)phenol,,,,acetate,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,2-(aminomethyl)phenol
ent_000027,2-(aminomethyl)phenol acetate,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,ent_000026,2-(aminomethyl)phenol acetate
ent_000028,"2-amino-3-hydroxy-3-(pyridin-4-yl)-1-(pyrrolidin-1-yl)propan-1-one, (2r,3s)-",,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,"2-amino-3-hydroxy-3-(pyridin-4-yl)-1-(pyrrolidin-1-yl)propan-1-one, (2r,3s)-"
ent_000029,2-deoxy-d-glucose,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,2-deoxy-d-glucose
ent_000030,2-fluorofucose,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,2-fluorofucose
ent_000031,2-hydroxypropyl-beta-cyclodextrin,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,2-hydroxypropyl-beta-cyclodextrin
ent_000032,2-iminobiotin,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,2-iminobiotin
ent_000033,2-mercaptoethanesulfonic acid,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,2-mercaptoethanesulfonic acid
ent_000034,2-methoxyestradiol,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,2-methoxyestradiol
ent_000035,2-octyl cyanoacrylate,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,2-octyl cyanoacrylate
ent_000036,"2,2'-dithiodiethanesulfonic acid",,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,"2,2'-dithiodiethanesulfonic acid"
ent_000037,"2,3-dimercapto-1-propanesulfonic acid",,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,"2,3-dimercapto-1-propanesulfonic acid"
ent_000038,"2,4-dinitrophenol",,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,"2,4-dinitrophenol"
ent_000039,2'-fucosyllactose,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,2'-fucosyllactose
ent_000040,2'-o-acetylerythromycin a,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,2'-o-acetylerythromycin a
ent_000041,20-hydroxyecdysone,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,20-hydroxyecdysone
ent_000042,25-hydroxyergocalciferol-,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,25-hydroxyergocalciferol-
ent_000043,2x-121,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,2x-121
ent_000044,"3-hydroxybutyric acid, (+|-)-",,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,"3-hydroxybutyric acid, (+|-)-"
ent_000045,"3,3',4',5-tetrachlorosalicylanilide",,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,"3,3',4',5-tetrachlorosalicylanilide"
ent_000046,"3,5-diiodothyropropionic acid",,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,"3,5-diiodothyropropionic acid"
ent_000047,4-demethyl-4-cholesteryloxycarbonylpenclomedine,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,4-demethyl-4-cholesteryloxycarbonylpenclomedine
ent_000048,4-imidazolecarboxylic acid,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,ent_019178,4-imidazolecarboxylic acid
ent_000049,4-isothioureidobutyronitrile,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,4-isothioureidobutyronitrile
ent_000050,4'-thio-2'-deoxycytidine,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,4'-thio-2'-deoxycytidine
ent_000051,4b5,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,4b5
ent_000052,4g7xh22,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,4g7xh22
ent_000053,4sc-203,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,4sc-203
ent_000054,"5-(4-((2s,5s)-5-(4-chlorobenzyl)-2-methylmorpholino)piperidin-1-yl)-1h-1,2,4-triazol-3-amine",,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,"5-(4-((2s,5s)-5-(4-chlorobenzyl)-2-methylmorpholino)piperidin-1-yl)-1h-1,2,4-triazol-3-amine"
ent_000055,"5-(6-benzothiazolylmethylene)-3,5-dihydro-2-(((1s)-1-(methoxymethyl)-3-methylbutyl)amino)-4h-imidazol-4-one, (5z)-",,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,"5-(6-benzothiazolylmethylene)-3,5-dihydro-2-(((1s)-1-(methoxymethyl)-3-methylbutyl)amino)-4h-imidazol-4-one, (5z)-"
ent_000056,5-aminolevulinic acid hydrochloride,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,5-aminolevulinic acid hydrochloride
ent_000057,5-aminovaleric acid,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,5-aminovaleric acid
ent_000058,5-fluoronicotinic acid,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,5-fluoronicotinic acid
ent_000059,5-fluorouridine,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,5-fluorouridine
ent_000060,5-methyl-2'-fluoroarauracil,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,5-methyl-2'-fluoroarauracil
ent_000061,5-methyl-2'-fluoroarauracil f-18,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,5-methyl-2'-fluoroarauracil f-18
ent_000062,552-02,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,552-02
ent_000063,6-mercaptopurine monohydrate,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,6-mercaptopurine monohydrate
ent_000064,6-o-benzylguanine,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,6-o-benzylguanine
ent_000065,"6,7-dihydro-5h-pyrrolo[3,4-b]pyridine",,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,"6,7-dihydro-5h-pyrrolo[3,4-b]pyridine"
ent_000066,7-ethyl-10-hydroxycamptothecin,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,7-ethyl-10-hydroxycamptothecin
ent_000067,7-keto-dehydroepiandrosterone,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,7-keto-dehydroepiandrosterone
ent_000068,7-methylxanthine,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,7-methylxanthine
ent_000069,8-chloroadenosine,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,8-chloroadenosine
ent_000070,8-hydroxy-7-iodo-5-quinolinesulfonic acid,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,8-hydroxy-7-iodo-5-quinolinesulfonic acid
ent_000071,81c6 131i,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,81c6 131i
ent_000072,8h9 131i,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,8h9 131i
ent_000073,9-aminocamptothecin,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,9-aminocamptothecin
ent_000074,90y-ct84.66,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,90y-ct84.66
ent_000075,A|astrakhan|3212|2020 (h5n8)-like strain (cber-rg8a) (clade 2.3.4.4b),,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,a|astrakhan|3212|2020 (h5n8)-like strain (cber-rg8a) (clade 2.3.4.4b)
ent_000076,A|california|07|2009 (h1n1)pdm09-like strain (a|california|07|2009)|a|texas|50|2012 (h3n2)-like strain (a|texas|50|2012)|b|brisbane|60|2008-like strain (b|brisbane|60|2008),,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,a|california|07|2009 (h1n1)pdm09-like strain (a|california|07|2009)|a|texas|50|2012 (h3n2)-like strain (a|texas|50|2012)|b|brisbane|60|2008-like strain (b|brisbane|60|2008)
ent_000077,"A|darwin|9|2021 (h3n2) - like strain (a|norway|16606|2021, medi 355293)|a|victoria|2570|2019 (h1n1)pdm09 - like strain (a|victoria|1|2020, medi 340505)|b|austria|1359417|2021 - like strain (b|austria|1359417|2021, medi 355292)|b|phuket|3073|2013 - like strain (b|phuket|3073|2013, medi 306444)",,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,"a|darwin|9|2021 (h3n2) - like strain (a|norway|16606|2021, medi 355293)|a|victoria|2570|2019 (h1n1)pdm09 - like strain (a|victoria|1|2020, medi 340505)|b|austria|1359417|2021 - like strain (b|austria|1359417|2021, medi 355292)|b|phuket|3073|2013 - like strain (b|phuket|3073|2013, medi 306444)"
ent_000078,A|indonesia|05|2005 (h5n1) like strain used (pr8-ibcdc-rg2),,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,a|indonesia|05|2005 (h5n1) like strain used (pr8-ibcdc-rg2)
ent_000079,"A|missouri|11|2025 (h1n1)pdm09-like strain (a|tasmania|318|2025, cvr-351)|a|darwin|1415|2025 (h3n2)-like strain (a|tasmania|787|2025, cvr-388)|b|pennsylvania|14|2025-like strain (b|arizona|21|2025, wild type)",,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,"a|missouri|11|2025 (h1n1)pdm09-like strain (a|tasmania|318|2025, cvr-351)|a|darwin|1415|2025 (h3n2)-like strain (a|tasmania|787|2025, cvr-388)|b|pennsylvania|14|2025-like strain (b|arizona|21|2025, wild type)"
ent_000080,"A|victoria|4897|2022 (h1n1)pdm09-like strain (a|victoria|4897|2022, ivr-238)|a|thailand|8|2022 (h3n2)-like strain (a|thailand|8|2022 ivr-237)|b|austria|1359417|2021-like strain (b|austria|1359417|2021, bvr-26)|b|phuket|3073|2013-like strain (b|phuket|3073|2013, bvr-1b) influenza virus",,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,"a|victoria|4897|2022 (h1n1)pdm09-like strain (a|victoria|4897|2022, ivr-238)|a|thailand|8|2022 (h3n2)-like strain (a|thailand|8|2022 ivr-237)|b|austria|1359417|2021-like strain (b|austria|1359417|2021, bvr-26)|b|phuket|3073|2013-like strain (b|phuket|3073|2013, bvr-1b) influenza virus"
ent_000081,A|vietnam|1194|2004,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,a|vietnam|1194|2004
ent_000082,"A|wisconsin|67|2022 (h1n1)pdm09-like strain (a|georgia|12|2022, cvr-167) a|massachusetts|18|2022 (h3n2)-like strain (a|sydney|1304|2022, wild type) b|austria|1359417|2021-like strain (b|singapore|wuh4618|2021, wild type) b|phuket|3073|2013-like strain (b|singapore|inftt-16-0610|2016, wild type)",,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,"a|wisconsin|67|2022 (h1n1)pdm09-like strain (a|georgia|12|2022, cvr-167) a|massachusetts|18|2022 (h3n2)-like strain (a|sydney|1304|2022, wild type) b|austria|1359417|2021-like strain (b|singapore|wuh4618|2021, wild type) b|phuket|3073|2013-like strain (b|singapore|inftt-16-0610|2016, wild type)"
ent_000083,A27.15,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,a27.15
ent_000084,A33 131i,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,a33 131i
ent_000085,Ab-001,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,ab-001
ent_000086,Ab-101,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,ab-101
ent_000087,Ab-836,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,ab-836
ent_000088,Ab-8939,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,ab-8939
ent_000089,Abacavir,,,,sulfate,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abacavir
ent_000090,Abacavir (as sulfate)|lamivudine|zidovudine,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abacavir (as sulfate)|lamivudine|zidovudine
ent_000091,Abacavir hydroxyacetate,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abacavir hydroxyacetate
ent_000092,Abacavir sulfate,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,ent_000089,abacavir sulfate
ent_000093,Abacavir|lamivudine,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abacavir|lamivudine
ent_000094,Abafungin,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abafungin
ent_000095,Abagovomab,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abagovomab
ent_000096,Abaloparatide,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abaloparatide
ent_000097,Abamectin,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abamectin
ent_000098,Abametapir,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abametapir
ent_000099,Abanoquil,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abanoquil
ent_000100,Abaperidone,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abaperidone
ent_000101,Abarelix,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abarelix
ent_000102,Abatacept,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abatacept
ent_000103,Abbv-257,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abbv-257
ent_000104,Abbv-3373,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abbv-3373
ent_000105,Abbv-467,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abbv-467
ent_000106,Abbv-744,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abbv-744
ent_000107,Abc-294640,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abc-294640
ent_000108,Abciximab,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abciximab
ent_000109,Abdavomeran,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abdavomeran
ent_000110,Abecarnil,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abecarnil
ent_000111,Abediterol,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abediterol
ent_000112,Abefolastat tesaroxetan,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abefolastat tesaroxetan
ent_000113,Abelacimab,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abelacimab
ent_000114,Abemaciclib,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abemaciclib
ent_000115,Abenacianine,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abenacianine
ent_000116,Abeprazan,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abeprazan
ent_000117,Abequolixron,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abequolixron
ent_000118,Abequolixron zinc,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abequolixron zinc
ent_000119,Abetimus,,,,sodium,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abetimus
ent_000120,Abetimus sodium,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,ent_000119,abetimus sodium
ent_000121,Abexinostat,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abexinostat
ent_000122,Abgn-107,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abgn-107
ent_000123,Abicipar pegol,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abicipar pegol
ent_000124,Abipapogene suvaplasmid,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abipapogene suvaplasmid
ent_000125,Abiprubart,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abiprubart
ent_000126,Abiraterone,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abiraterone
ent_000127,Abiraterone acetate,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,ent_000126,abiraterone acetate
ent_000128,Abiraterone acetate|niraparib (tosilate monohydrate),,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abiraterone acetate|niraparib (tosilate monohydrate)
ent_000129,Abiraterone decanoate,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,ent_000126,abiraterone decanoate
ent_000130,Abitesartan,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abitesartan
ent_000131,Abituzumab,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abituzumab
ent_000132,Abivertinib,,,,maleate,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abivertinib
ent_000133,Abivertinib maleate,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,ent_000132,abivertinib maleate
ent_000134,Ablukast,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,ablukast
ent_000135,Abm-1310,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abm-1310
ent_000136,Abobotulinumtoxina,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abobotulinumtoxina
ent_000137,Abp-700,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abp-700
ent_000138,Abrilumab,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abrilumab
ent_000139,Abrineurin,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abrineurin
ent_000140,Abrocitinib,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abrocitinib
ent_000141,Abrucomstat,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abrucomstat
ent_000142,Abt 737,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abt 737
ent_000143,Abt-072,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abt-072
ent_000144,Abt-102,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abt-102
ent_000145,Abt-107,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abt-107
ent_000146,Abt-126,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abt-126
ent_000147,Abt-288,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abt-288
ent_000148,Abt-384,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abt-384
ent_000149,Abt-510,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abt-510
ent_000150,Abt-639,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abt-639
ent_000151,Abt-751,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abt-751
ent_000152,Abt-806i,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abt-806i
ent_000153,Abt-925,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abt-925
ent_000154,Abunidazole,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abunidazole
ent_000155,Abx-002,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abx-002
ent_000156,Abx-196,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abx-196
ent_000157,Abx-il8,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abx-il8
ent_000158,Abx-ma1,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,abx-ma1
ent_000159,Ac-430,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,ac-430
ent_000160,Ac-480,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,ac-480
ent_000161,Acacia,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,acacia
ent_000162,Acadesine,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,acadesine
ent_000163,Acalabrutinib,,,,maleate,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,acalabrutinib
ent_000164,Acalabrutinib maleate,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,ent_000163,acalabrutinib maleate
ent_000165,Acalabrutinib|acalabrutinib maleate,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,acalabrutinib|acalabrutinib maleate
ent_000166,Acalisib,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,acalisib
ent_000167,Acamprosate,,,,calcium,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,acamprosate
ent_000168,Acamprosate calcium,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,ent_000167,acamprosate calcium
ent_000169,Acapatamab,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,acapatamab
ent_000170,Acaprazine,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,acaprazine
ent_000171,Acarbose,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,acarbose
ent_000172,Acasunlimab,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,acasunlimab
ent_000173,Acazicolcept,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,acazicolcept
