loser_id,winner_id,loser_name,winner_name,salt_form,n_assigned,reason
ent_000411,ent_000410,Agatolimod sodium,Agatolimod,sodium,1,salt/ester rollup: 'Agatolimod sodium' -> 'Agatolimod' (sodium)
ent_000439,ent_000438,Alagebrium chloride,Alagebrium,chloride,1,salt/ester rollup: 'Alagebrium chloride' -> 'Alagebrium' (chloride)
ent_000446,ent_000445,Alatrofloxacin mesilate,Alatrofloxacin,mesilate,0,salt/ester rollup: 'Alatrofloxacin mesilate' -> 'Alatrofloxacin' (mesilate)
ent_000447,ent_000445,Alatrofloxacin mesylate,Alatrofloxacin,mesylate,0,salt/ester rollup: 'Alatrofloxacin mesylate' -> 'Alatrofloxacin' (mesylate)
ent_000456,ent_000455,Albitiazolium bromide,Albitiazolium,bromide,0,salt/ester rollup: 'Albitiazolium bromide' -> 'Albitiazolium' (bromide)
ent_000464,ent_000463,Albuterol sulfate,Albuterol,sulfate,10,salt/ester rollup: 'Albuterol sulfate' -> 'Albuterol' (sulfate)
ent_000474,ent_000473,Alcuronium chloride,Alcuronium,chloride,0,salt/ester rollup: 'Alcuronium chloride' -> 'Alcuronium' (chloride)
ent_000480,ent_000479,Aldoxorubicin hydrochloride,Aldoxorubicin,hydrochloride,0,salt/ester rollup: 'Aldoxorubicin hydrochloride' -> 'Aldoxorubicin' (hydrochloride)
ent_000483,ent_000482,Alectinib hydrochloride,Alectinib,hydrochloride,1,salt/ester rollup: 'Alectinib hydrochloride' -> 'Alectinib' (hydrochloride)
ent_000511,ent_000510,Alfentanil hydrochloride,Alfentanil,hydrochloride,4,salt/ester rollup: 'Alfentanil hydrochloride' -> 'Alfentanil' (hydrochloride)
ent_000515,ent_000514,Alfuzosin hydrochloride,Alfuzosin,hydrochloride,0,salt/ester rollup: 'Alfuzosin hydrochloride' -> 'Alfuzosin' (hydrochloride)
ent_000538,ent_000537,Aliskiren fumarate,Aliskiren,fumarate,0,salt/ester rollup: 'Aliskiren fumarate' -> 'Aliskiren' (fumarate)
ent_000563,ent_000562,Allopurinol sodium,Allopurinol,sodium,0,salt/ester rollup: 'Allopurinol sodium' -> 'Allopurinol' (sodium)
ent_000580,ent_000579,Almotriptan malate,Almotriptan,malate,1,salt/ester rollup: 'Almotriptan malate' -> 'Almotriptan' (malate)
ent_000600,ent_000599,Alosetron hydrochloride,Alosetron,hydrochloride,0,salt/ester rollup: 'Alosetron hydrochloride' -> 'Alosetron' (hydrochloride)
ent_000653,ent_000652,Alverine citrate,Alverine,citrate,0,salt/ester rollup: 'Alverine citrate' -> 'Alverine' (citrate)
ent_000655,ent_000654,Alvespimycin hydrochloride,Alvespimycin,hydrochloride,0,salt/ester rollup: 'Alvespimycin hydrochloride' -> 'Alvespimycin' (hydrochloride)
ent_000659,ent_000658,Alvocidib hydrochloride,Alvocidib,hydrochloride,1,salt/ester rollup: 'Alvocidib hydrochloride' -> 'Alvocidib' (hydrochloride)
ent_000669,ent_000668,Amantadine hydrochloride,Amantadine,hydrochloride,5,salt/ester rollup: 'Amantadine hydrochloride' -> 'Amantadine' (hydrochloride)
ent_000671,ent_000670,Amantanium bromide,Amantanium,bromide,0,salt/ester rollup: 'Amantanium bromide' -> 'Amantanium' (bromide)
ent_000678,ent_000677,Ambenonium chloride,Ambenonium,chloride,0,salt/ester rollup: 'Ambenonium chloride' -> 'Ambenonium' (chloride)
ent_000737,ent_000736,Amibegron hydrochloride,Amibegron,hydrochloride,0,salt/ester rollup: 'Amibegron hydrochloride' -> 'Amibegron' (hydrochloride)
ent_000745,ent_000744,Amifampridine phosphate,Amifampridine,phosphate,0,salt/ester rollup: 'Amifampridine phosphate' -> 'Amifampridine' (phosphate)
ent_000752,ent_000751,Amikacin sulfate,Amikacin,sulfate,6,salt/ester rollup: 'Amikacin sulfate' -> 'Amikacin' (sulfate)
ent_000757,ent_000756,Amiloride hydrochloride,Amiloride,hydrochloride,3,salt/ester rollup: 'Amiloride hydrochloride' -> 'Amiloride' (hydrochloride)
ent_000770,ent_000769,Aminolevulinic acid hydrochloride,Aminolevulinic acid,hydrochloride,7,salt/ester rollup: 'Aminolevulinic acid hydrochloride' -> 'Aminolevulinic acid' (hydrochloride)
ent_000777,ent_000776,Aminopterin sodium,Aminopterin,sodium,0,salt/ester rollup: 'Aminopterin sodium' -> 'Aminopterin' (sodium)
ent_000787,ent_000786,Amiodarone hydrochloride,Amiodarone,hydrochloride,8,salt/ester rollup: 'Amiodarone hydrochloride' -> 'Amiodarone' (hydrochloride)
ent_000794,ent_000793,Amiselimod hydrochloride,Amiselimod,hydrochloride,1,salt/ester rollup: 'Amiselimod hydrochloride' -> 'Amiselimod' (hydrochloride)
ent_000800,ent_000799,Amitifadine hydrochloride,Amitifadine,hydrochloride,0,salt/ester rollup: 'Amitifadine hydrochloride' -> 'Amitifadine' (hydrochloride)
ent_000804,ent_000803,Amitriptyline hydrochloride,Amitriptyline,hydrochloride,4,salt/ester rollup: 'Amitriptyline hydrochloride' -> 'Amitriptyline' (hydrochloride)
ent_000815,ent_000813,Amlodipine besilate,Amlodipine,besilate,4,salt/ester rollup: 'Amlodipine besilate' -> 'Amlodipine' (besilate)
ent_000817,ent_000813,Amlodipine besylate,Amlodipine,besylate,5,salt/ester rollup: 'Amlodipine besylate' -> 'Amlodipine' (besylate)
ent_000818,ent_000813,Amlodipine maleate,Amlodipine,maleate,0,salt/ester rollup: 'Amlodipine maleate' -> 'Amlodipine' (maleate)
ent_000827,ent_000826,Amobarbital sodium,Amobarbital,sodium,0,salt/ester rollup: 'Amobarbital sodium' -> 'Amobarbital' (sodium)
ent_000830,ent_000829,Amodiaquine hydrochloride,Amodiaquine,hydrochloride,0,salt/ester rollup: 'Amodiaquine hydrochloride' -> 'Amodiaquine' (hydrochloride)
ent_000860,ent_000856,Amphetamine sulfate,Amphetamine,sulfate,0,salt/ester rollup: 'Amphetamine sulfate' -> 'Amphetamine' (sulfate)
ent_000865,ent_000864,Ampicillin sodium,Ampicillin,sodium,1,salt/ester rollup: 'Ampicillin sodium' -> 'Ampicillin' (sodium)
ent_000868,ent_000867,Ampreloxetine hydrochloride,Ampreloxetine,hydrochloride,1,salt/ester rollup: 'Ampreloxetine hydrochloride' -> 'Ampreloxetine' (hydrochloride)
ent_000877,ent_000876,Amrubicin hydrochloride,Amrubicin,hydrochloride,0,salt/ester rollup: 'Amrubicin hydrochloride' -> 'Amrubicin' (hydrochloride)
ent_000899,ent_000898,Anagrelide hydrochloride,Anagrelide,hydrochloride,3,salt/ester rollup: 'Anagrelide hydrochloride' -> 'Anagrelide' (hydrochloride)
ent_000902,ent_000901,Anamorelin hydrochloride,Anamorelin,hydrochloride,1,salt/ester rollup: 'Anamorelin hydrochloride' -> 'Anamorelin' (hydrochloride)
ent_000911,ent_000910,Anazolene sodium,Anazolene,sodium,0,salt/ester rollup: 'Anazolene sodium' -> 'Anazolene' (sodium)
ent_000932,ent_000931,Angiotensin ii acetate,Angiotensin ii,acetate,2,salt/ester rollup: 'Angiotensin ii acetate' -> 'Angiotensin ii' (acetate)
ent_000938,ent_000937,Anileridine hydrochloride,Anileridine,hydrochloride,0,salt/ester rollup: 'Anileridine hydrochloride' -> 'Anileridine' (hydrochloride)
ent_000939,ent_000937,Anileridine phosphate,Anileridine,phosphate,0,salt/ester rollup: 'Anileridine phosphate' -> 'Anileridine' (phosphate)
ent_000971,ent_000970,Antazoline hydrochloride,Antazoline,hydrochloride,0,salt/ester rollup: 'Antazoline hydrochloride' -> 'Antazoline' (hydrochloride)
ent_000972,ent_000970,Antazoline phosphate,Antazoline,phosphate,0,salt/ester rollup: 'Antazoline phosphate' -> 'Antazoline' (phosphate)
ent_001024,ent_001023,Apilimod mesylate,Apilimod,mesylate,1,salt/ester rollup: 'Apilimod mesylate' -> 'Apilimod' (mesylate)
ent_001032,ent_001031,Aplaviroc hydrochloride,Aplaviroc,hydrochloride,0,salt/ester rollup: 'Aplaviroc hydrochloride' -> 'Aplaviroc' (hydrochloride)
ent_001034,ent_001033,Aplindore fumarate,Aplindore,fumarate,0,salt/ester rollup: 'Aplindore fumarate' -> 'Aplindore' (fumarate)
ent_001042,ent_001041,Apomorphine hydrochloride,Apomorphine,hydrochloride,5,salt/ester rollup: 'Apomorphine hydrochloride' -> 'Apomorphine' (hydrochloride)
ent_001046,ent_001045,Apraclonidine hydrochloride,Apraclonidine,hydrochloride,0,salt/ester rollup: 'Apraclonidine hydrochloride' -> 'Apraclonidine' (hydrochloride)
ent_001090,ent_001089,Arbutamine hydrochloride,Arbutamine,hydrochloride,0,salt/ester rollup: 'Arbutamine hydrochloride' -> 'Arbutamine' (hydrochloride)
ent_001103,ent_001102,Arformoterol tartrate,Arformoterol,tartrate,0,salt/ester rollup: 'Arformoterol tartrate' -> 'Arformoterol' (tartrate)
ent_001109,ent_001105,Arginine hydrochloride,Arginine,hydrochloride,5,salt/ester rollup: 'Arginine hydrochloride' -> 'Arginine' (hydrochloride)
ent_001116,ent_001115,Arimoclomol citrate,Arimoclomol,citrate,1,salt/ester rollup: 'Arimoclomol citrate' -> 'Arimoclomol' (citrate)
ent_001119,ent_001117,Aripiprazole monohydrate,Aripiprazole,monohydrate,2,salt/ester rollup: 'Aripiprazole monohydrate' -> 'Aripiprazole' (monohydrate)
ent_001121,ent_001120,Arlipoic acid choline ester chloride,Arlipoic acid choline ester,chloride,0,salt/ester rollup: 'Arlipoic acid choline ester chloride' -> 'Arlipoic acid choline ester' (chloride)
ent_001154,ent_001153,Articaine hydrochloride,Articaine,hydrochloride,3,salt/ester rollup: 'Articaine hydrochloride' -> 'Articaine' (hydrochloride)
ent_001160,ent_001159,Arzoxifene hydrochloride,Arzoxifene,hydrochloride,0,salt/ester rollup: 'Arzoxifene hydrochloride' -> 'Arzoxifene' (hydrochloride)
ent_001166,ent_001165,Asalhydromorphone hydrochloride,Asalhydromorphone,hydrochloride,0,salt/ester rollup: 'Asalhydromorphone hydrochloride' -> 'Asalhydromorphone' (hydrochloride)
ent_001171,ent_001170,Asciminib hydrochloride,Asciminib,hydrochloride,3,salt/ester rollup: 'Asciminib hydrochloride' -> 'Asciminib' (hydrochloride)
ent_001177,ent_001176,Asenapine maleate,Asenapine,maleate,1,salt/ester rollup: 'Asenapine maleate' -> 'Asenapine' (maleate)
ent_001208,ent_001207,Aspacytarabine hydrochloride,Aspacytarabine,hydrochloride,0,salt/ester rollup: 'Aspacytarabine hydrochloride' -> 'Aspacytarabine' (hydrochloride)
ent_001218,ent_001217,Aspirin trelamine hydrochloride,Aspirin trelamine,hydrochloride,0,salt/ester rollup: 'Aspirin trelamine hydrochloride' -> 'Aspirin trelamine' (hydrochloride)
ent_001225,ent_001224,Astodrimer sodium,Astodrimer,sodium,2,salt/ester rollup: 'Astodrimer sodium' -> 'Astodrimer' (sodium)
ent_001246,ent_001244,Atazanavir sulfate,Atazanavir,sulfate,5,salt/ester rollup: 'Atazanavir sulfate' -> 'Atazanavir' (sulfate)
ent_001279,ent_001278,Atomoxetine hydrochloride,Atomoxetine,hydrochloride,10,salt/ester rollup: 'Atomoxetine hydrochloride' -> 'Atomoxetine' (hydrochloride)
ent_001281,ent_001280,Atopaxar hydrobromide,Atopaxar,hydrobromide,0,salt/ester rollup: 'Atopaxar hydrobromide' -> 'Atopaxar' (hydrobromide)
ent_001284,ent_001283,Atorvastatin calcium,Atorvastatin,calcium,8,salt/ester rollup: 'Atorvastatin calcium' -> 'Atorvastatin' (calcium)
ent_001287,ent_001285,Atosiban acetate,Atosiban,acetate,0,salt/ester rollup: 'Atosiban acetate' -> 'Atosiban' (acetate)
ent_001290,ent_001289,Atracurium besylate,Atracurium,besylate,2,salt/ester rollup: 'Atracurium besylate' -> 'Atracurium' (besylate)
ent_001292,ent_001291,Atrasentan hydrochloride,Atrasentan,hydrochloride,0,salt/ester rollup: 'Atrasentan hydrochloride' -> 'Atrasentan' (hydrochloride)
ent_001299,ent_001297,Atropine sulfate,Atropine,sulfate,6,salt/ester rollup: 'Atropine sulfate' -> 'Atropine' (sulfate)
ent_001317,ent_001316,Aumolertinib mesilate,Aumolertinib,mesilate,0,salt/ester rollup: 'Aumolertinib mesilate' -> 'Aumolertinib' (mesilate)
ent_001318,ent_001316,Aumolertinib mesylate,Aumolertinib,mesylate,0,salt/ester rollup: 'Aumolertinib mesylate' -> 'Aumolertinib' (mesylate)
ent_001342,ent_001341,Avacincaptad pegol sodium,Avacincaptad pegol,sodium,0,salt/ester rollup: 'Avacincaptad pegol sodium' -> 'Avacincaptad pegol' (sodium)
ent_001354,ent_001353,Avatrombopag maleate,Avatrombopag,maleate,2,salt/ester rollup: 'Avatrombopag maleate' -> 'Avatrombopag' (maleate)
ent_001363,ent_001362,Avexitide acetate,Avexitide,acetate,0,salt/ester rollup: 'Avexitide acetate' -> 'Avexitide' (acetate)
ent_001372,ent_001371,Avibactam sodium,Avibactam,sodium,2,salt/ester rollup: 'Avibactam sodium' -> 'Avibactam' (sodium)
ent_001399,ent_001398,Avutometinib potassium,Avutometinib,potassium,0,salt/ester rollup: 'Avutometinib potassium' -> 'Avutometinib' (potassium)
ent_001427,ent_001426,Azamethonium bromide,Azamethonium,bromide,0,salt/ester rollup: 'Azamethonium bromide' -> 'Azamethonium' (bromide)
ent_001438,ent_001437,Azaspirium chloride,Azaspirium,chloride,0,salt/ester rollup: 'Azaspirium chloride' -> 'Azaspirium' (chloride)
ent_001441,ent_001440,Azatadine maleate,Azatadine,maleate,0,salt/ester rollup: 'Azatadine maleate' -> 'Azatadine' (maleate)
ent_001443,ent_001442,Azathioprine sodium,Azathioprine,sodium,0,salt/ester rollup: 'Azathioprine sodium' -> 'Azathioprine' (sodium)
ent_001520,ent_001519,Azelastine hydrochloride,Azelastine,hydrochloride,4,salt/ester rollup: 'Azelastine hydrochloride' -> 'Azelastine' (hydrochloride)
ent_001524,ent_001523,Azeloprazole sodium,Azeloprazole,sodium,0,salt/ester rollup: 'Azeloprazole sodium' -> 'Azeloprazole' (sodium)
ent_001549,ent_001548,Azithromycin monohydrate,Azithromycin,monohydrate,3,salt/ester rollup: 'Azithromycin monohydrate' -> 'Azithromycin' (monohydrate)
ent_001551,ent_001550,Azlocillin sodium,Azlocillin,sodium,0,salt/ester rollup: 'Azlocillin sodium' -> 'Azlocillin' (sodium)
ent_001563,ent_001562,Bacampicillin hydrochloride,Bacampicillin,hydrochloride,0,salt/ester rollup: 'Bacampicillin hydrochloride' -> 'Bacampicillin' (hydrochloride)
ent_001593,ent_001592,Balsalazide disodium,Balsalazide,disodium,0,salt/ester rollup: 'Balsalazide disodium' -> 'Balsalazide' (disodium)
ent_001611,ent_001610,Bamocaftor potassium,Bamocaftor,potassium,0,salt/ester rollup: 'Bamocaftor potassium' -> 'Bamocaftor' (potassium)
ent_001619,ent_001618,Barbital sodium,Barbital,sodium,0,salt/ester rollup: 'Barbital sodium' -> 'Barbital' (sodium)
ent_001640,ent_001639,Batabulin sodium,Batabulin,sodium,0,salt/ester rollup: 'Batabulin sodium' -> 'Batabulin' (sodium)
ent_001670,ent_001669,Bazedoxifene acetate,Bazedoxifene,acetate,1,salt/ester rollup: 'Bazedoxifene acetate' -> 'Bazedoxifene' (acetate)
ent_001691,ent_001690,Beclometasone dipropionate|formoterol fumarate dihydrate|glycopyrronium bromide,Beclometasone dipropionate|formoterol fumarate dihydrate|glycopyrronium,bromide,2,salt/ester rollup: 'Beclometasone dipropionate|formoterol fumarate dihydrate|glycopyrronium bromide' -> 'Beclometasone dipropionate|formoterol fumarate dihydrate|glycopyrronium' (bromide)
ent_001693,ent_001692,Beclomethasone dipropionate,Beclomethasone,dipropionate,17,salt/ester rollup: 'Beclomethasone dipropionate' -> 'Beclomethasone' (dipropionate)
ent_001701,ent_001700,Bedaquiline fumarate,Bedaquiline,fumarate,1,salt/ester rollup: 'Bedaquiline fumarate' -> 'Bedaquiline' (fumarate)
ent_001705,ent_001704,Bedoradrine sulfate,Bedoradrine,sulfate,0,salt/ester rollup: 'Bedoradrine sulfate' -> 'Bedoradrine' (sulfate)
ent_001732,ent_001731,Belotecan hydrochloride,Belotecan,hydrochloride,0,salt/ester rollup: 'Belotecan hydrochloride' -> 'Belotecan' (hydrochloride)
ent_001738,ent_001737,Belumosudil mesilate,Belumosudil,mesilate,0,salt/ester rollup: 'Belumosudil mesilate' -> 'Belumosudil' (mesilate)
ent_001739,ent_001737,Belumosudil mesylate,Belumosudil,mesylate,0,salt/ester rollup: 'Belumosudil mesylate' -> 'Belumosudil' (mesylate)
ent_001754,ent_001753,Bemiparin sodium,Bemiparin,sodium,2,salt/ester rollup: 'Bemiparin sodium' -> 'Bemiparin' (sodium)
ent_001757,ent_001756,Bemnifosbuvir sulfate,Bemnifosbuvir,sulfate,1,salt/ester rollup: 'Bemnifosbuvir sulfate' -> 'Bemnifosbuvir' (sulfate)
ent_001770,ent_001769,Benazepril hydrochloride,Benazepril,hydrochloride,0,salt/ester rollup: 'Benazepril hydrochloride' -> 'Benazepril' (hydrochloride)
ent_001781,ent_001779,Bendamustine hydrochloride,Bendamustine,hydrochloride,5,salt/ester rollup: 'Bendamustine hydrochloride' -> 'Bendamustine' (hydrochloride)
ent_001802,ent_001801,Benoxinate hydrochloride,Benoxinate,hydrochloride,0,salt/ester rollup: 'Benoxinate hydrochloride' -> 'Benoxinate' (hydrochloride)
ent_001821,ent_001820,Benzalkonium chloride,Benzalkonium,chloride,3,salt/ester rollup: 'Benzalkonium chloride' -> 'Benzalkonium' (chloride)
ent_001828,ent_001827,Benzethonium chloride,Benzethonium,chloride,0,salt/ester rollup: 'Benzethonium chloride' -> 'Benzethonium' (chloride)
ent_001831,ent_001830,Benzgalantamine gluconate,Benzgalantamine,gluconate,0,salt/ester rollup: 'Benzgalantamine gluconate' -> 'Benzgalantamine' (gluconate)
ent_001833,ent_001832,Benzhydrocodone hydrochloride,Benzhydrocodone,hydrochloride,0,salt/ester rollup: 'Benzhydrocodone hydrochloride' -> 'Benzhydrocodone' (hydrochloride)
ent_001835,ent_001834,Benzilonium bromide,Benzilonium,bromide,0,salt/ester rollup: 'Benzilonium bromide' -> 'Benzilonium' (bromide)
ent_001847,ent_001846,Benzododecinium chloride,Benzododecinium,chloride,0,salt/ester rollup: 'Benzododecinium chloride' -> 'Benzododecinium' (chloride)
ent_001850,ent_001849,Benzopyrronium bromide,Benzopyrronium,bromide,0,salt/ester rollup: 'Benzopyrronium bromide' -> 'Benzopyrronium' (bromide)
ent_001854,ent_001853,Benzoxonium chloride,Benzoxonium,chloride,0,salt/ester rollup: 'Benzoxonium chloride' -> 'Benzoxonium' (chloride)
ent_001857,ent_001856,Benzoylpas calcium,Benzoylpas,calcium,0,salt/ester rollup: 'Benzoylpas calcium' -> 'Benzoylpas' (calcium)
ent_001860,ent_001859,Benzphetamine hydrochloride,Benzphetamine,hydrochloride,0,salt/ester rollup: 'Benzphetamine hydrochloride' -> 'Benzphetamine' (hydrochloride)
ent_001863,ent_001862,Benzpyrinium bromide,Benzpyrinium,bromide,0,salt/ester rollup: 'Benzpyrinium bromide' -> 'Benzpyrinium' (bromide)
ent_001866,ent_001865,Benzquinamide hydrochloride,Benzquinamide,hydrochloride,0,salt/ester rollup: 'Benzquinamide hydrochloride' -> 'Benzquinamide' (hydrochloride)
ent_001869,ent_001868,Benztropine mesylate,Benztropine,mesylate,1,salt/ester rollup: 'Benztropine mesylate' -> 'Benztropine' (mesylate)
ent_001871,ent_001870,Benzydamine hydrochloride,Benzydamine,hydrochloride,10,salt/ester rollup: 'Benzydamine hydrochloride' -> 'Benzydamine' (hydrochloride)
ent_001882,ent_001881,Bepirovirsen sodium,Bepirovirsen,sodium,0,salt/ester rollup: 'Bepirovirsen sodium' -> 'Bepirovirsen' (sodium)
ent_001884,ent_001883,Bepotastine besylate,Bepotastine,besylate,0,salt/ester rollup: 'Bepotastine besylate' -> 'Bepotastine' (besylate)
ent_001887,ent_001886,Bepridil hydrochloride,Bepridil,hydrochloride,0,salt/ester rollup: 'Bepridil hydrochloride' -> 'Bepridil' (hydrochloride)
ent_001891,ent_001890,Beraprost sodium,Beraprost,sodium,1,salt/ester rollup: 'Beraprost sodium' -> 'Beraprost' (sodium)
ent_001893,ent_001892,Berberine chloride,Berberine,chloride,0,salt/ester rollup: 'Berberine chloride' -> 'Berberine' (chloride)
ent_001906,ent_001905,Beroterkib anhydrous,Beroterkib,anhydrous,0,salt/ester rollup: 'Beroterkib anhydrous' -> 'Beroterkib' (anhydrous)
ent_001909,ent_001907,Berotralstat hydrochloride,Berotralstat,hydrochloride,0,salt/ester rollup: 'Berotralstat hydrochloride' -> 'Berotralstat' (hydrochloride)
ent_001912,ent_001911,Bersiporocin hydrochloride,Bersiporocin,hydrochloride,0,salt/ester rollup: 'Bersiporocin hydrochloride' -> 'Bersiporocin' (hydrochloride)
ent_001916,ent_001915,Berubicin hydrochloride,Berubicin,hydrochloride,1,salt/ester rollup: 'Berubicin hydrochloride' -> 'Berubicin' (hydrochloride)
ent_001922,ent_001921,Besifloxacin hydrochloride,Besifloxacin,hydrochloride,0,salt/ester rollup: 'Besifloxacin hydrochloride' -> 'Besifloxacin' (hydrochloride)
ent_001925,ent_001924,Besigliptin tosylate,Besigliptin,tosylate,0,salt/ester rollup: 'Besigliptin tosylate' -> 'Besigliptin' (tosylate)
ent_001937,ent_001936,Betahistine hydrochloride,Betahistine,hydrochloride,3,salt/ester rollup: 'Betahistine hydrochloride' -> 'Betahistine' (hydrochloride)
ent_001939,ent_001938,Betaine anhydrous,Betaine,anhydrous,0,salt/ester rollup: 'Betaine anhydrous' -> 'Betaine' (anhydrous)
ent_001940,ent_001938,Betaine hydrochloride,Betaine,hydrochloride,0,salt/ester rollup: 'Betaine hydrochloride' -> 'Betaine' (hydrochloride)
ent_001944,ent_001943,Betamethasone acetate,Betamethasone,acetate,2,salt/ester rollup: 'Betamethasone acetate' -> 'Betamethasone' (acetate)
ent_001949,ent_001943,Betamethasone dipropionate,Betamethasone,dipropionate,11,salt/ester rollup: 'Betamethasone dipropionate' -> 'Betamethasone' (dipropionate)
ent_001952,ent_001943,Betamethasone valerate,Betamethasone,valerate,9,salt/ester rollup: 'Betamethasone valerate' -> 'Betamethasone' (valerate)
ent_001958,ent_001957,Betaxolol hydrochloride,Betaxolol,hydrochloride,0,salt/ester rollup: 'Betaxolol hydrochloride' -> 'Betaxolol' (hydrochloride)
ent_001960,ent_001959,Betazole hydrochloride,Betazole,hydrochloride,0,salt/ester rollup: 'Betazole hydrochloride' -> 'Betazole' (hydrochloride)
ent_001963,ent_001962,Bethanechol chloride,Bethanechol,chloride,1,salt/ester rollup: 'Bethanechol chloride' -> 'Bethanechol' (chloride)
ent_001965,ent_001964,Bethanidine sulfate,Bethanidine,sulfate,0,salt/ester rollup: 'Bethanidine sulfate' -> 'Bethanidine' (sulfate)
ent_001971,ent_001970,Betrixaban maleate,Betrixaban,maleate,0,salt/ester rollup: 'Betrixaban maleate' -> 'Betrixaban' (maleate)
ent_001977,ent_001976,Bevantolol hydrochloride,Bevantolol,hydrochloride,1,salt/ester rollup: 'Bevantolol hydrochloride' -> 'Bevantolol' (hydrochloride)
ent_002029,ent_002028,Bibenzonium bromide,Bibenzonium,bromide,0,salt/ester rollup: 'Bibenzonium bromide' -> 'Bibenzonium' (bromide)
ent_002041,ent_002040,Bictegravir sodium,Bictegravir,sodium,1,salt/ester rollup: 'Bictegravir sodium' -> 'Bictegravir' (sodium)
ent_002104,ent_002103,Biperiden hydrochloride,Biperiden,hydrochloride,0,salt/ester rollup: 'Biperiden hydrochloride' -> 'Biperiden' (hydrochloride)
